# CK2CULTUREGFX;EU4CULTUREGFX;Custom Defined;Comment

frankishgfx;westerngfx;0;
englishgfx;westerngfx;0;
germangfx;westerngfx;0;
occitangfx;westerngfx;0;
southerngfx;westerngfx;0;
celticgfx;westerngfx;0;
norsegfx;westerngfx;0;
knightsgfx;westerngfx;0;
republicsgfx;westerngfx;0;
saxongfx;westerngfx;0;
normangfx;westerngfx;0;
westerngfx;westerngfx;0;

easternslavicgfx;easterngfx;0;
westernslavicgfx;easterngfx;0;
byzantinegfx;easterngfx;0;
ugricgfx;easterngfx;0;
easterngfx;easterngfx;0;

arabicgfx;muslimgfx;0;
turkishgfx;muslimgfx;0;
africangfx;muslimgfx;0;
andalusiangfx;muslimgfx;0;
persiangfx;muslimgfx;0;
muslimgfx;muslimgfx;0;

westafricangfx;africangfx;0;

mongolgfx;asiangfx;0;

mesoamericangfx;southamericagfx;0;

indiangfx;indiangfx;0;
southindiangfx;indiangfx;0;

#WTWSMS new gfxcultures
britongfx;westerngfx;0
gothicgfx;westerngfx;0
romangfx;easterngfx;0
mediterreaneangfx;westerngfx;0
eastwelshgfx;asiangfx;0
muhammadgfx;muslimgfx;0
tuareggfx;muslimgfx;0
kemeticgfx;muslimgfx;0
