# CK2TITLE;EU4ID;Filename;Comment

# WtWSMS
c_nafusa;2450;2450 - Ghadames;Nafusa - Ghadames
c_sarbisa;2449;2449 - Jufra;Sarbisa - Jufra
c_tmenya;2456;2456 - Touggourt;Tmenya- Touggourt
c_tam;2457;2457 - Mzab;Tam - Mzab
c_taggara;2472;2472 - Ouargla;Taggara - Ouargla
c_garama;2474;2474 - Tajhari;Garama - Tajhari

# Iceland

c_vestisland;370;370 - Reykjavik;Vestisland - Reykjavik

c_austisland;371;371 - Akureyri;Austisland - Akureyri

# Ireland
d_ulster;4121;4121 - Ulaidh;Duchy Ulster - Ulaidh
c_ulster;4121;4121 - Ulaidh;County Ulster - Ulaidh
c_tyrone;372;372 - Ulster;Tyrone - Ulster
c_tyrconnell;4380;4380 - Donegal;Tyrconnell - Donegal
c_oriel;373;373 - Ulster;Oriel - Ulster
c_dublin;373;373 - Meath;Dublin - Meath
d_connacht;376;376 - Connaught;Duchy Connacht - Connaught
c_connacht;376;376 - Connaught;County Connacht - Connaught
c_connacht;4119;4119 - Sligo;County Connacht - Sligo
c_breifne;4379;4379 - Middlands;Breifne - Middlands
c_kildare;4120;4120 - Cilldara;Kildare - Cilldara
d_leinster;374;374 - Leinster;Duchy Leinster - Leinster
c_leinster;374;374 - Leinster;County Leinster - Leinster
c_ossory;4377;4377 - Leinster;Ossory - Leinster
c_thomond;375;375 - Munster;Thomond - Munster
c_ormond;4118;4118 - Ormond;Ormond - Ormond
c_desmond;4118;4118 - Deasmhumhain;Desmond - Deasmhumhain
c_desmond;4378;4378 - Kinsale;Desmond - Kinsale

# Scotland

d_galloway;249;249 - Ayrshire;Duchy Galloway - Ayrshire
c_galloway;249;249 - Ayrshire;County Galloway - Ayrshire
c_carrick;249;249 - Ayrshire;Carrick - Ayrshire
c_clydesdale;249;249 - Ayrshire;Clydesdale - Ayrshire

d_lothian;248;248 - Lothian;Duchy Lothian - Lothian
c_lothian;248;248 - Lothian;County Lothian - Lothian

c_dunbar;4361;4361 - East March;Dunbar - East March

c_teviotdale;4362;4362 - West March;Teviotdale - West March

c_fife;250;250 - Perth;Fife - Perth
c_strathearn;250;250 - Perth;Strathearn - Perth

c_gowrie;251;251 - Aberdeen;Gowrie - Aberdeen
c_atholl;251;251 - Aberdeen;Atholl - Aberdeen
c_buchan;251;251 - Aberdeen;Buchan - Aberdeen

d_moray;252;252 - Highlands;Duchy Moray - Highlands
c_moray;252;252 - Highlands;County Moray - Highlands

c_argyll;4363;4363 - Argyll;Argyll - Argyll

c_ross;4110;4110 - Sutherland;Ross - Sutherland
c_caithness;4110;4110 - Sutherland;Caithness - Sutherland

c_innse_gall;253;253 - Western Isles;Innse Gall - Western Isles
c_innse_gall;4364;4364 - Inner Hebrides;Innse Gall - Inner Hebrides

# England & Wales

d_northumberland;246;246 - Northumberland;Duchy Northumberland - Northumberland
c_northumberland;246;246 - Northumberland;County Northumberland - Northumberland
c_durham;246;246 - Northumberland;Durham - Northumberland

c_cumberland;247;247 - Cumbria;Cumberland - Cumbria

c_isle_of_man;4365;4365 - Mann;Isle of Man - Mann

c_york;245;245 - Yorkshire;York - York
c_york;4368;4368 - Scarborough;York - Scarborough
c_york;4367;4367 - Hull;York - Hull

d_lancaster;244;244 - Lancashire;Duchy Lancaster - Lancashire
c_lancaster;244;244 - Lancashire;Lancaster - Lancashire
c_westmorland;244;244 - Lancashire;Westmorland - Lancashire

c_chester;4375;4375 - Chester;Chester - Chester

c_lincoln;243;243 - Lincoln;Lincoln - Lincoln

c_derby;1861;1861 - Derby;Derby - Derby

c_leicester;4376;4376 - Leicester;Leicester - Leicester

d_hereford;240;240 - Shrewsbury;Duchy Hereford - Shrewsbury
c_hereford;240;240 - Shrewsbury;County Hereford - Shrewsbury
c_shrewsbury;240;240 - Shrewsbury;Shrewsbury - Shrewsbury
c_worcester;240;240 - Shrewsbury;Worcester - Shrewsbury

c_warwick;4372;4372 - Coventry;Warwick - Coventry

d_gwynedd;242;242 - Gwynedd;Duchy Gwynedd - Gwynedd
c_gwynedd;242;242 - Gwynedd;County Gwynedd - Gwynedd
c_perfeddwlad;242;242 - Gwynedd;Perfeddwlad - Gwynedd

c_powys;4366;4366 - Montgomery;Powys - Montgomery

d_deheubarth;241;241 - Glamorgan;Duchy Deheubarth - Glamorgan
c_glamorgan;241;241 - Glamorgan;Glamorgan - Glamorgan
c_gwent;241;241 - Glamorgan;Gwent - Glamorgan

c_dyfed;4369;4369 - Carmarthen;Dyfed - Carmarthen

d_gloucester;239;239 - Gloucestershire;Duchy Gloucester - Gloucestershire
c_gloucester;239;239 - Gloucestershire;County Gloucester - Gloucestershire
c_wiltshire;239;239 - Gloucestershire;Wiltshire - Gloucestershire

d_somerset;234;234 - Wessex;Duchy Somerset - Wessex
c_winchester;234;234 - Wessex;Winchester - Wessex

c_dorset;4374;4374 - Dorset;Dorset - Dorset

d_cornwall;233;233 - Cornwall;Duchy Cornwall - Cornwall
c_cornwall;233;233 - Cornwall;County Cornwall - Cornwall

c_devon;4373;4373 - Devon;Devon - Devon

c_somerset;4130;4130 - Somerset;Somerset - Somerset

c_oxford;237;237 - Oxfordshire;Oxford - Oxfordshire

c_middlesex;236;236 - London;Middlesex - London

c_essex;238;238 - Essex;Essex - Essex

d_norfolk;1860;1860 - Norfolk;Duchy Norfolk - Norfolk
c_norfolk;1860;1860 - Norfolk;County Norfolk - Norfolk
c_suffolk;1860;1860 - Norfolk;Suffolk - Norfolk

c_northampton;4370;4370 - Cambridgeshire;Northampton - Cambridgeshire
c_bedford;4370;4370 - Cambridgeshire;Bedford - Cambridgeshire

d_canterbury;235;235 - Kent;Duchy Canterbury - Kent
c_kent;235;235 - Kent;Kent - Kent

c_surrey;4371;4371 - Sussex;Surrey - Sussex
c_sussex;4371;4371 - Sussex;Sussex - Sussex

# Norway

c_faereyar;1979;1979 -Faroes;Faereyar - Färöarna

c_shetland;1978;1978 - Shetlands;Shetland - The Shetlands

c_orkney;369;369 - Orkney;Orkney - Orkney

c_bergenshus;23;23-Bergenshus;Bergenhus - Bergenhus
c_rogaland;24;24-Agder;Rogaland - Agder

c_agder;4145;4145 - Agdesiden;Agder - Agdesiden
c_telemark;4144;4144 - Bratsberg;Telemark - Bratsberg

c_akershus;4143;4143 - Smalenene;Akershus - Smalenene
c_vestfold;17;17-Akershus;Vestfold - Akershus

c_hedmark;22;22-Eisdiva;Hedmark - Eidsiva
c_oppland;22;22-Eisdiva;Oppland - Eidsiva

d_trondelag;20;20-Trondelag;Duchy Trondelag - Trondelag
c_naumadal;20;20-Trondelag;Naumadal - Trondelag

c_trondelag;2752;2752 - Sogn;County Trondelag - Sogn

c_halogaland;21;21-Halogaland;Halogaland - Hålogaland
c_nordland;21;21-Halogaland;Nordland - Hålogaland

c_finnmark;315;315 - Finnmark;Finnmark - Finnmark

d_jamtland;10;10-Jamtland;Duchy Jämtland - Jämtland
c_jamtland;10;10-Jamtland;County Jämtland - Jämtland
c_herjedalen;10;10-Jamtland;Herjedalen - Jämtland

c_viken;16;16-Bohuslan;Viken - Bohuslän

# Sweden & Finland

c_vastergotland;7;7-Vastergotland;Västergötland - Västergötland
c_vastergotland;4163;4163 - Elfsborg;Västergötland - Elfsborg

c_smaland;4166;4166 - Tioharad;Småland - Tioharad

d_smaland;3;3 - Kalmar;Duchy Småland - Kalmar
c_more;3;3 - Kalmar;Möre - Kalmar
c_oland;3;3 - Kalmar;Öland - Kalmar

c_ostergotland;2;2-Ostergotland;Östergötland - Östergötland
c_tjust;2;2-Ostergotland;Tjust - Östergötland

c_narke;1985;1985-Narke;Närke - Närke

c_gotland;25;25-Gotland;Gotland - Gotland

c_sodermanland;1;1-Uppland;Södermanland - Stockholm
c_uppland;1;1-Uppland;Uppland - Stockholm

c_aland;1930;1930 - Aland;Åland - Åland

c_varmland;5;5-Varmland;Värmland - Värmland
c_dal;4164;4164 - Dal;Dal - Dal

c_vastmanland;4;4-Bergslagen;Västmanland - Bergslagen

c_dalarna;8;8-Dalaskogen;Dalarna - Dalaskogen

c_halsingland;9;9-Halsingland;Hälsingland - Hälsingland
c_gastrikland;9;9-Halsingland;Gästrikland - Hälsingland
c_medelpad;9;9-Halsingland;Medelpad - Hälsingland

c_vasterbotten;11;11-Vasterbotten;Västerbotten - Västerbotten
c_angermanland;11;11-Vasterbotten;Ångermanland - Västerbotten

c_lappland;18;18-Lappland;Lappland - Lappland
c_lappland;4114;4114-Jokkmokk;Lappland - Jokkmokk

c_finland;27;27-Finland;Finland - Finland

c_satakunta;4123;4123-Birkaland;Satakunta - Birkaland

c_nyland;28;28 - Nyland;Nyland - Nyland

c_tavasts;29;29 -Tavastland;Tavasts - Tavastland

c_savolaks;31;31 - Savolaks;Savolaks - Savolax

c_kexholm;30;30 - Viborg;Kexholm - Viborg
c_kexholm;32;32 - Keksholm;Kexholm - Kexholm
c_kexholm;4124;4124 - Karelia;Kexholm - Karelia

c_osterbotten;19;19-Osterbotten;Österbotten - Österbotten
c_osterbotten;4152;4152 - Kajaani;Österbotten - Kajaani

c_kemi;4113;4113-Rovaniemi;Kemi - Rovaniemi
c_kemi;4151;4151 - Inari;Kemi - Inari
c_kola;1777;1777-Kola;Kola - Kola

c_karelen;1776;1776-Karelia;Karelen - Karelia
c_kandalax;1776;1776-Karelia;Kandalax - Karelia

c_onega;309;309 - Olonets;Onega - Olonets
c_zaozerye;309;309 - Olonets;Zaozerye - Olonets

c_vodi;33;33-Neva;Vodi - Neva
c_vodi;34;34-Ingermanland;Vodi - Ingermanland

c_narva;1842;1842 - Narva;Narva - Narva

c_reval;36;36 - Estland;Reval - Reval

# Denmark

c_skane;6;6-Skane;Skåne - Skåne
c_skane;4165;4165 - Goinge;Skåne - Goinge

c_halland;26;26-Halland;Halland - Halland

c_blekinge;1982;1982-Blekinge;Blekinge - Blekinge

c_bornholm;1981;1981-Bornholm;Bornholm - Bornholm

c_sjaelland;12;12-Sjaelland;Sjaelland - Sjaelland
c_sjaelland;1983;1983-Lolland;Sjaelland - Lolland

c_fyn;14;14-Fyn;Fyn - Fyn

c_jylland;1984;1984-Nordjylland;Jylland - Nordjylland
c_jylland;15;15-Jylland;Jylland - Midtjylland
c_jylland;4142;4142 - Aarhus;Jylland - Aarhus
c_jylland;4149;4149 - Kolding;Jylland - Kolding


c_slesvig;13;13-Slesvig;Slesvig - Slesvig

c_holstein;1775;1775 - Holstein;Holstein - Holstein

c_holstein;4141;4141 - Ditmarschen;Holstein - Ditmarschen

# Francia

c_french_leon;170;170 - Finistere;French Leon - Finistere
c_cornouaille;170;170 - Finistere;Cornouaille - Finistere

c_penthievre;169;169 - Armor;Penthievre - Armor

c_rennes;4384;4384 - Rennes;Rennes - Rennes

c_vannes;171;171 - Vannetais;Vannes - Vannetais

c_nantes;172;172 - Vendee;Nantes - Vendee

c_avranches;168;168 - Normandie;Avranches - Normandie
c_avranches;4385;4385 - Cotentin;Avranches - Cotentin
c_avranches;1879;1879 - Alencon;Avranches - Alencon
c_evreux;168;168 - Normandie;Evreux - Normandie

c_chartres;4388;4388 - Chartres;Chartres - Chartres

c_arques;167;167 - Caux;Arques - Caux
c_eu;167;167 - Caux;Eu - Caux
c_vexin;167;167 - Caux;Vexin - Caux

c_thouars;4386;4386 - Vendee;Thouars - Vendee

c_saintonge;4111;4111 - Santoigne;Saintonge - Santoigne

c_bordeaux;174;174 - Gascogne;Bordeaux - Gascogne

c_labourd;173;173 - Labourd;Labourd - Labourd
c_albret;173;173 - Labourd;Albret - Labourd

c_bearn;176;176 - Bearn;Bearn - Bearn

c_agen;175;175 - Armagnac;Agen - Armagnac
c_armagnac;175;175 - Armagnac;Armagnac - Armagnac

c_rosello;197;197 - Roussillon;Rosello - Roussillon
c_foix;197;197 - Roussillon;Foix - Roussillon

c_toulouse;196;196 - Toulouse;Toulouse - Toulouse
c_carcassonne;196;196 - Toulouse;Carcassonne - Toulouse

c_rouergue;198;198 - Rouergue;Rouergue - Rouergue

c_montpellier;200;200 - Languedoc;Montpellier - Languedoc

c_narbonne;2753;2753 - Narbonne;Narbonne - Narbonne

c_provence;201;201 - Provence;Provence - Provence
c_forcalquier;201;201 - Provence;Forcalquier - Provence
c_provence;2991;2991 - Draguignan;Provence - Draguignan
c_forcalquier;2991;2991 - Draguignan;Forcalquier - Draguignan

c_venaissin;202;202 - Avignon;Venaissin - Avignon

c_dauphine_viennois;204;204 - Dauphine;Dauphine Viennois - Dauphine

c_viviers;4391;4391 - Vivarais;Viviers - Vivarais
c_gevaudan;4391;4391 - Vivarais;Gevaudan - Vivarais

c_lyon;203;203 - Lyonnais;Lyon - Lyonnais
c_forez;203;203 - Lyonnais;Forez - Lyonnais

d_auvergne;199;199 - Auvergne;Duchy Auvergne - Auvergne
c_auvergne;199;199 - Auvergne;County Auvergne - Auvergne

c_perigord;4112;4112 - Cahors;Perigord - Cahors
c_perigord;194;194 - Cahors;Perigord - Cahors

c_angouleme;4387;4387 - Angouleme;Angouleme - Angouleme

c_lusignan;180;180 - Perigord;Lusignan - Perigord
c_poitiers;180;180 - Poitou;Poitiers - Poitou

c_tourraine;4389;4389 - Touraine;Tours - Touraine

c_limousin;195;195 - Limousin;Limousin - Limousin
c_la_marche;195;195 - Limousin;La Marche - Limousin

c_bourbon;190;190 - Bourbon;Bourbon - Bourbon

d_berry;179;179 - Berry;Berry - Berry
c_tourraine;179;179 - Berry;Tourraine - Berry
c_bourges;179;179 - Berry;Bourges - Berry

c_maine;177;177 - Maine;Maine - Maine

c_anjou;178;178 - Anjou;Anjou - Anjou

c_ile_de_france;183;183 - Ile-de-France;Ile de France - Ile-de-France

d_orleans;184;184 - Orleanais;Duchy Orleans - Orleanais
c_orleans;184;184 - Orleanais;County Orleans - Orleanais
c_blois;184;184 - Orleanais;Blois - Orleanais
c_vendome;184;184 - Orleanais;Vendome - Orleanais

c_reims;186;186 - Vermandois;Reims - Vermandois

c_troyes;4390;4390 - Troyes;Troyes - Troyes

c_sens;185;185 - Othe;Sens - Nemours

c_nevers;191;191 - Nevers;Nevers - Nevers

c_auxerre;4392;4392 - Auxerrois;Auxerre - Auxerrois

c_dijon;192;192 - Bourgogne;Dijon - Bourgogne

c_charolais;1877;1877 - Charolais;Charolais - Charolais
c_charolais;1877;1877 - Charolais;Duplicate to increase weight
c_macon;1877;1877 - Charolais;Macon - Charolais
c_chalons;1877;1877 - Charolais;Chalons - Charolais

c_amiens;182;182 - Cambray;Amiens - Cambray

c_vermandois;181;181 - Valenciennes;Vermandois - Valenciennes

c_boulogne;89;89 - Picardie;Boulogne - Picardie

c_guines;87;87 - Calais;Guines - Calais

c_artois;88;88 - Artois;Artois - Artois

c_bar;187;187 - Barrois;Bar - Barrois
c_saintois;187;187 - Barrois;Santois - Barrois
c_verdun;187;187 - Barrois;Verdun - Barrois

c_metz;188;188 - Metz;Metz - Metz

c_lorraine;189;189 - Lothringen;Lorraine - Lothringen

c_besancon;193;193 - Franche-Comte;Besancon - Franche-Comte

c_sundgau;1880;1880 - Sundgau;Sundgau - Sundgau

# Hispania

