#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
coa_plain_celtic;Celtic Coat of Arms;Armoiries celtiques;;;;;;;;;;;;x
religion_openly_celtic_or_reformed_tooltip;Openly Celtic Pagan or Druidic;Suit publiquement la religion celtique ou druidique;;;;;;;;;;;;x
religion_openly_in_celtic_subgroup_tt;Openly practice a Celtic religion;Pratique ouvertement une religion celtique;;;;;;;;;;;;x
true_religion_in_celtic_subgroup_tooltip;Truly practicing a Celtic religion;Pratique en réalité une religion celtique;;;;;;;;;;;;x
secret_religion_in_celtic_subgroup_tooltip;Secretly practicing a Celtic religion;Pratique secrètement une religion celtique;;;;;;;;;;;;x
has_liege_vassal_or_neighbor_of_celtic_religion_tt;Has a §YLiege§!, §YVassal§!, or a §Yneighboring ruler§! who follows the §YCeltic§! faith\n;A un §Yseigneur lige§!, un §Yvassal§! ou un §Yvoisin§! qui suit la religion §Ycelitique§!\n;Hat einen §YLehnsherrn§!, §YVasallen§! oder §Ybenachbarten Herrscher§!, der dem §YKeltisch§! Glauben folgt\n;;Tiene un §Yseñor§!, §Yvasallo§!, o §Ygobernante vecino§! que sigue la fe §Yceltica§! \n;;;;;;;;;x
religion_feature_celtic;Clans of Dannu;Clans de Dannu;;;;;;;;;;;;x
religion_feature_celtic_desc;As we move forward into a new age for the Celtic faith we must look to the spirits of the land for guidance. The power of prophecy will shine a light on an uncertain future.;Alors que nous entrons dans un nouvel âge pour la foi celtique, nous devons nous tourner vers les esprits de la terre pour nous guider. Le pouvoir de la prophétie éclairera un avenir incertain.;;;;;;;;;;;;x
###### Religion/titles definitions;;;;;;;;;;;;;;x
HERO_RELIGION;Heroic Religion;Religion héroïque;;;;;;;;;;;;x
HERO_RELIGION_HOME_TERRITORY;Heroic Religion in Home Territory;Religion héroïque dans sa terre d'origine;;;;;;;;;;;;x
GOD_CERNNUNOS;Cernunnos;Cernunnos;Cernunnos;;Cernunnos;;;;;;;;;x
GOD_HORNED_ONE;The Horned One;Le Cornu;;;;;;;;;;;;x
GOD_ANGUS;Angus mac Og;Oengus;;;;;;;;;;;;x
GOD_DAGHDA;The Daghda;Le Dagda;;;;;;;;;;;;x
GOD_MANANNAN;Manannan mac Lir;Manannan Mac Lir;;;;;;;;;;;;x
GOD_LUGH;Lugh;Lugh;;;;;;;;;;;;x
GOD_MACHA;Macha;Macha;;;;;;;;;;;;x
GOD_DANA;Dannu;Dannu;;;;;;;;;;;;x
GOD_NUADA;Nuada;Nuada;;;;;;;;;;;;x
GOD_UNSEELIE;the Unseelie;l'Unseelie ;;;;;;;;;;;;x
GOD_RHIANNON;Rhiannon;Rhiannon;;;;;;;;;;;;x
GOD_SEQUANA;Sequana;Sequana;;;;;;;;;;;;x
celtic_pagan;Celtic;celtique;;;;;;;;;;;;x
celtic_pagan_reformed;Druidic;druidique;;;;;;;;;;;;x
celtic_pagan_DESC;Celtic paganism is one of the last surviving branch of the ancient druidic belief systems. A pantheon of gods and a world full of spirits, the children of Dannu rule the Skies, the Earth and the Otherworld. The main gods are Cernunnos, the Horned One, Dannu and Nuada, Angus, the god of Youth, Macha, the horse goddess, the great Daghda, Manannan mac Lir, the Sea God and Lugh of the Long Spear.;Le paganisme celtique est l'une des dernières branches survivantes des anciennes croyances druidiques. Un panthéon de dieux et un monde rempli d'esprits, les enfants de Danna dirigent le ciel, la terre et l'autre monde. Les principaux dieux sont Cernunnos, Le Cornu, Dannu and Nuada, Angus, le dieu de la jeunesse, Macha, déesse des chevaux, le grand Dagda, Manannan mac Lir, le Dieu de la mer et Lugh à la longue lance. ;;;;;;;;;;;;x
celtic_pagan_reformed_DESC;The reformed Celtic faith has a standardized liturgy etched on the many raised stones on the British Isles, telling the story of the Tuatha De Danann. It is led by the Circle of the Druids with the Archdruid as the religious leader of the faithful.;La foi celtique réformée possède une liturgie standardisée gravée sur les nombreuses pierres dressées dans les îles britanniques, elles racontent l'histoire de la tribu de Dana. Elle est dirigée par le cercle des druides avec à sa tête l'Archidruide.;;;;;;;;;;;;x
celtic_pagan_FEATURES;§Y*§! Can declare Subjugation Wars against all other pagans\n§Y*§! Rulers are limited to Gavelkind Succession;§Y*§! Peut déclarer des guerres d'assujettissement contre toutes les religions païennes\n§Y*§! Les dirigeants n'ont accès qu'à la succession Partage Salique;;;;;;;;;;;;x
celtic_pagan_reformed_FEATURES;§Y*§! The Arch Druid is elected by, and from, the members of the Circle;§Y*§! L'Archidruide est élu par, et parmi les membres du cercle;;;;;;;;;;;;x
THE_STONES;The Sacred Stones;Les pierres sacrées;;;;;;;;;;;;x
THE_BALLADS;The Ballads;Les ballades;;;;;;;;;;;;x
DRUID;Druid;Druide;;;;;;;;;;;;x
THE_FOMORIANS;The Fomorians;Les Fomorians;;;;;;;;;;;;x
EVIL_BALOR;Balor;Balor;;;;;;;;;;;;x
EVIL_BRES;Bres;Bres;;;;;;;;;;;;x
GOD_CAILLEACH;Cailleach;Cailleach;;;;;;;;;;;;x
d_celtic_pagan_reformed;The Circle of Druids;Le Cercle des Druides;;;;;;;;;;;;x
d_celtic_pagan_reformed_adj;Druidic;Druidique;;;;;;;;;;;;x
ARCH_DRUID;Archdruid;Archidruide;;;;;;;;;;;;x
ARCH_DRUIDESS;Archdruidess;Archidruide;;;;;;;;;;;;x
ARCH_DRUID_FOA;Eldest of the Druids;Druide ainé;;;;;;;;;;;;x
nick_pendragon;Pendragon;Pendragon;;;;;;;;;;;;x
nick_the_gaul;the Gaul;le Gaulois;;;;;;;;;;;;x
acr_circle_of_druids;Circle of Druids;Cercle des druides;;;;;;;;;;;;x
acr_druid_of_the_circle;Druid of The Circle;Druide du Cercle;;;;;;;;;;;;x
