#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
###### Event/decision/modifier definitions;;;;;;;;;;;;;;x
###### Druidic rebirth;;;;;;;;;;;;;;x
reinstate_celtic_rites;Reinstate Celtic Rite;Restaurer le rite celtique;;;;;;;;;;;;x
reinstate_celtic_rites_desc;With the help of our court wizard, we could reinstate much of the old Celtic ways.;Avec l'aide de notre magicien de la cour, nous pourrions rétablir la plupart des anciennes méthodes celtiques.;;;;;;;;;;;;x
invite_bard_to_court;Invite a Bard to Court;Inviter un barde à la cour;;;;;;;;;;;;x
invite_bard_to_court_desc;We could patronize one of the many bards wondering the realms and have them serve in our court.;Nous pourrions demander à un des nombreux bardes de servir dans notre cour.;;;;;;;;;;;;x
celtic_ways;Celtic Rites;Rites celtiques;;;;;;;;;;;;x
celtic_ways_desc;This character has taken up ancient Celtic traditions.;Ce personnage a repris les anciennes traditions celtiques.;;;;;;;;;;;;x
celtic.0.desc;A faint whisper draws your attention and you find a haggard old man in a dark corner of your castle. Before you have a chance to throw him out, he explains that he is a wizard. He claims to be powerful in the ways of the old gods, and he has come to offer you his services.;Un faible chuchotement attire votre attention et vous trouvez un vieillard maigrichon dans un coin sombre de votre château. Avant d'avoir une chance de le jeter dehors, il explique qu'il est un magicien. Il prétend être puissant dans les voies des anciens dieux, et il est venu pour vous offrir ses services.;;;;;;;;;;;;x
celtic.0.a;A man should keep eyes on all matters.;Un homme doit garder les yeux sur toutes les questions.;;;;;;;;;;;;x
celtic.0.b;Strange man, begone!;Homme étrange, partez !;;;;;;;;;;;;x
begone_sorcerer;You send the pagan away.;Vous faites sortir ce païen.;Ihr schickt die elende Kreatur fort.;;Echas a la criatura miserable.;;;;;;;;;x
celtic.1.desc;The exploits of the heroes of old, of the High Kings of Albion, Eire and Alba, these stories bring up visions of a better time, when giants and fairies where friends, before man destroyed all in his folly. With the help of your court wizard, you have decided to adopt certain old Celtic rites.;Les exploits des héros anciens, des grands rois d'Albion, d'Irlande et d'Alba, ces histoires évoquent des visions d'un temps meilleur, où les géants et les fées étaient les amis, avant l'homme détruit tout dans sa folie. Avec l'aide de votre magicien de la cour, vous avez décidé d'adopter certains vieux rites celtiques.;;;;;;;;;;;;x
celtic.1.a;The spirits of the land must be appeased;Les esprits de la terre doivent être apaisés;;;;;;;;;;;;x
adopt_celtic_rites;You re-institute old pagan traditions\n;Vous rétablissez les anciennes traditions païennes\n;;;;;;;;;;;;x
celtic.2.desc;Revolted by the resurgence of old practices in your lands, a priest has come to your court, asking you to reform your ways.;Révolté par la résurgence des vieilles pratiques dans vos terres, un prêtre est venu à votre cour, vous demandant de réformer vos voies.;;;;;;;;;;;;x
celtic.2.a;Why limit myself to one God?;Pourquoi me limiter à un seul Dieu ?;;;;;;;;;;;;x
adopt_druidism;You become a Celtic pagan\n;Vous devenez un païen celtique\n;;;;;;;;;;;;x
celtic.2.b;The Old Ways are barbarous, the power of God conquers all.;Les vieilles méthodes sont barbares, la puissance de Dieu conquiert tout.;;;;;;;;;;;;x
celtic.2.c;I'll return to orthodoxy, publically...;Je vais revenir à l'orthodoxie, publiquement...;;;;;;;;;;;;x
celtic.3.desc;Your liege has started to follow the teachings of an unwashed pagan wizard and is reinstating old practices, as a Celt, you find these ideas somewhat interesting...;Votre seigneur a commencé à suivre les enseignements d'un magicien païen sale et réinstalle de vieilles pratiques, en tant que Celte, vous trouvez ces idées un peu intéressantes ...;;;;;;;;;;;;x
celtic.3.a;The spirits of the land must be appeased;Les esprits de la terre doivent être apaisés;;;;;;;;;;;;x
