#EGYPTIAN FLAVOR;;;;;;;;;;;;;;x
ancrel.4101.desc;The Nile begins to flood once more. Egyptians everywhere sigh with relief - the coming year will give them an unremarkable but decent harvest.;;;;;;;;;;;;;x
ancrel.4102.desc;The Nile swells with a bountiful flood this year! Egyptians everywhere rejoice, for there shall be a harvest even better than usual.;;;;;;;;;;;;;x
ancrel.4103.desc;Woe! The Nile has overflooded its banks. Egyptians everywhere are alarmed, for the destructive waters will destroy crop fields and cause havoc, and much of the harvest is now ruined.;;;;;;;;;;;;;x
ancrel.4104.desc;Curses! The Nile flood is paltry and weak this year. Egyptians everywhere worry, as the harvest might be inadequate, leading to hunger and even starvation.;;;;;;;;;;;;;x
VIET_nile_flood_good;Nile Flood is Good;;;;;;;;;;;;;x
VIET_nile_flood_good_desc;The Nile's flood is adequate this year.;;;;;;;;;;;;;x
VIET_nile_flood_great;Nile Flood is Great;;;;;;;;;;;;;x
VIET_nile_flood_great_desc;The Nile's flood is rich and fertile this year. Bountiful harvests are guaranteed!;;;;;;;;;;;;;x
VIET_nile_flood_overflow;Nile's Waters Have Overflooded;;;;;;;;;;;;;x
VIET_nile_flood_overflow_desc;The Nile has overflown this year, causing destruction and a potential food crisis!;;;;;;;;;;;;;x
VIET_nile_flood_poor;Nile Flood is Poor;;;;;;;;;;;;;x
VIET_nile_flood_poor_desc;The Nile's flood is poor this year. Starvation and hunger loom ahead!;;;;;;;;;;;;;x
opinion_egyptian_sexytimes;Exciting Romp;;;;;;;;;;;;;x
VIET_garlic_distribution;Distributed Garlic to the Temples;;;;;;;;;;;;;x
VIET_garlic_distribution_desc;Garlic was a highly revered crop and important to the ancient Egyptians.;;;;;;;;;;;;;x
VIET_planted_palm_trees;Planted Palm Trees;;;;;;;;;;;;;x
VIET_planted_palm_trees_desc;Seeking to emulate the ancient Egyptians, the ruler of this province has ordered the planting of palm trees for shade, good luck, and prosperity.;;;;;;;;;;;;;x
VIET_khnum_amulet;Amulet of Khnum;;;;;;;;;;;;;x
VIET_khnum_amulet_desc;This character possesses an amulet of the Egyptian pagan god Khnum.;;;;;;;;;;;;;x
VIET_province_desecrated_egyptian_tombs;Ancient Tombs Desecrated;;;;;;;;;;;;;x
VIET_province_desecrated_egyptian_tombs_desc;Somebody's been ransacking ancient tombs in this province... the gods will punish them in the afterlife. Hopefully.;;;;;;;;;;;;;x
VIET_not_upholding_maat;Not Upholding Ma'at;;;;;;;;;;;;;x
VIET_not_upholding_maat_desc;"You're a terrible ruler! You should be ashamed of yourself! When your heart is judged by Osiris in the afterlife, he shall see the imbalance in your Ma'at and you will be thrown to the terrible beast Ammit!";;;;;;;;;;;;;x
ancrel.4150.desc;In olden times, the people of Egypt valued that most wonderful and delicious vegetable, garlic. It pleased the Gods and was used to take oaths. Perhaps it would be a good idea to order large quantities to garlic to be distributed to the temples scattered across our realm!;;;;;;;;;;;x
ancrel.4150.a;Yes, let's do it. Praise be to the Gods!;;;;;;;;;;;;;x
ancrel.4150.b;No, this sounds silly, and we do not have the resources.;;;;;;;;;;;;;x
ancrel.4151.desc;The powerful men and women of ancient Egypt often planted palm trees not just for their dates, but to provide good shade in their palaces and temples. I feel as if it would be wise if I did the same to my residence and the nearby temples. If anything, I can show many my power and remind them of the splendor of the old Egyptians!;;;;;;;;;;;x
ancrel.4151.a;Let us plant the trees, then!;;;;;;;;;;;;;x
ancrel.4151.b;Perhaps I should not, this seems vain and pointless.;;;;;;;;;;;;;x
ancrel.4152.desc;An important and influential member of the local community in your capital has given you an beautifully crafted gold amulet dedicated to the god Khnum. As controller of the Nile, he brings fortune to all and is not to be ignored.;;;;;;;;;;;x
ancrel.4152.a;Thank you! May this amulet help me in this life.;;;;;;;;;;;;;x
ancrel.4153.desc;Ill news! Lately it seems a crafty band of robbers have been breaking into various tombs in [Root.GetName], desecrating corpses and making away with whatever riches they can find. How now will the dead be able to properly protect their descendants, much less live contentedly in the afterlife with Osiris? This is a shame, indeed, and nothing but a shame!;;;;;;;;;;;x
ancrel.4153.a;Hopefully local security will catch these brigands...;;;;;;;;;;;;;x
ancrel.4153.b;We will provide some aid to protect any unplundered tombs.;;;;;;;;;;;;;x
ancrel.4154.desc;In my dream I was surrounded by evil spirits. I was lost. I was scared. I fell to despair, I lost hope. But then came the god Bes, that dwarf-god of grotesque appearance, and I saw him as he took out his swords and knives and waved them like a soldier, to ward off the demons. I saw as he took out his musical instruments and played loud songs to frighten them. As I awoke, I felt at peace.;;;;;;;;;;;x
ancrel.4154.a;As he protected the Pharaohs of old, so has he protected me just now!;;;;;;;;;;;;;x
ancrel.4155.desc;I feel that despite my many good deeds, there are is still Isfet- evil -within me that must be purged, for I have certainly done sinful things as a ruler. If my heart is out of balance with Ma'at, then in the afterlife I will be devoured by the terrible beast Ammit and I will have no chance of a peaceful immortality. Thus, I desire to find a good sorcerer-priest, who knows how to alleviate me of this worry!;;;;;;;;;;;x
ancrel.4155.a;I must ensure my place in the afterlife!;;;;;;;;;;;;;x
ancrel.4155.b;On second thought, all this talk of "evil" and the afterlife is stupid.;;;;;;;;;;;;;x
ancrel.4156.tooltip;Off to the temple we go.;;;;;;;;;;;x
ancrel.4156.title;Expel the Evil in my Heart;;;;;;;;;;;x
