#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
coa_plain_kemetic;Kemetic Coat of Arms;;;;;;;;;;;;;x
###### Religion/titles definitions;;;;;;;;;;;;;;x
egyptian_pagan;Kemetic;Kémite;Kemetic;;Kemetic;;;;;;;;;x
egyptian_pagan_DESC;The Kemetic religion is polytheistic, with a large selection of gods and cults. It originated in ancient Egypt and with the conquests of the Egyptian empire, it would go on to become the dominant religion in the middle east until the rise of the Roman empire.;La religion kémite est polythéiste, avec un grand nombre de dieux et de cultes. Elle est née dans l'Ancienne Egypte et s'étendit avec les conquestes de l'Empire Egyptien, au point de devenir la religion dominante au Moyen-Orient jusqu'à l'avènement de l'Empire Romain.;;;;;;;;;;;;x
egyptian_pagan_FEATURES;§Y*§! Can proselytize pagan religions \n§Y*§! Can restore Luxor Temple \n§Y*§! Can construct pyramids;Peut répandre sa religion chez les Païens \n§Y*§! Peut restaurer le Temple de Luxor \n§Y*§! Peut construire des Pyramides;;;;;;;;;;;;x
aten_pagan;Atenic;Atonien(ne);Atenic;;Atenic;;;;;;;;;x
aten_pagan_DESC;The Atenic religion is a proto-monotheistic religion that split off from Kemetism. Originally founded by the pharaoh Akhenaten, this heresy usurped the position of supreme god, typically held by Amun, with Aten. In addition, this heresy completely disowns the other Kemetic gods in complete favour of Aten. The heresy died out shortly after Akhenaten's death.;Le culte d'Aton est une religion proto-monothéiste qui dérive du Kémitisme. Fondée par le pharaon Akhénaton, cette hérésie plaça Aton en position de dieu supresme, au lieu de l'habituel Amon. De plus, cette hérésie balaie complètement les aultres dieux kémites en faveur d'Aton. L'hérésie disparut peu de temps après le trépas d'Akhénaton.;;;;;;;;;;;;x
BOOK_OF_THE_DEAD;Book of the Dead;Book of the Dead;Book of the Dead;;Book of the Dead;;;;;;;;;x
AMARNA_SCROLLS;Amarna Scrolls;Amarna Scrolls;Amarna Scrolls;;Amarna Scrolls;;;;;;;;;x
GOD_AMAUNET;Amaunet;Amaunet;Amaunet;;Amaunet;;;;;;;;;x
GOD_AMON;Amon;Amon;Amon;;Amon;;;;;;;;;x
GOD_KAUKET;Kauket;Kauket;Kauket;;Kauket;;;;;;;;;x
GOD_KEK;Kek;Kek;Kek;;Kek;;;;;;;;;x
GOD_HAUHET;Hauhet;Hauhet;Hauhet;;Hauhet;;;;;;;;;x
GOD_HEH;Heh;Heh;Heh;;Heh;;;;;;;;;x
GOD_NAUNET;Naunet;Naunet;Naunet;;Naunet;;;;;;;;;x
GOD_NUN;Nun;Nun;Nun;;Nun;;;;;;;;;x
GOD_SET;Set;Set;Set;;Set;;;;;;;;;x
GOD_ATEN;Aten;Aton;Aten;;Aten;;;;;;;;;x
GOD_RA;Ra;Ra;Ra;;Ra;;;;;;;;;x
GOD_ISIS;Isis;Isis;Isis;;Isis;;;;;;;;;x
GOD_OSIRIS;Osiris;Osiris;Osiris;;Osiris;;;;;;;;;x
GOD_ANUBIS;Anubis;Anubis;Anubis;;Anubis;;;;;;;;;x
GOD_APEP;Apep;Apep;Apep;;Apep;;;;;;;;;x
###### Titles;;;;;;;;;;;;;;x
d_egyptian_pagan;The Paragon Cult of Amun;Le Culte Parandon d'Amon;The Paragon Cult of Amun;;The Paragon Cult of Amun;;;;;;;;;x
d_egyptian_pagan_adj;Cultist;Sectateur;Cultist;;Cultist;;;;;;;;;x
d_anubis;Anubis Guard;Garde d'Anubis;Anubis Guard;;Anubis Guard;;;;;;;;;x
d_anubis_adj;Guardian;Garde;Guardian;;Guardian;;;;;;;;;x
d_horus;Horus Guard;Garde d'Horus;Horus Guard;;Horus Guard;;;;;;;;;x
d_horus_adj;Guardian;Garde;Guardian;;Guardian;;;;;;;;;x
k_aten_pagan;The Paragon Cult of Aten;;;;;;;;;;;;;x
k_aten_pagan_adj;Atenic;;;;;;;;;;;;;x
d_burning_blades;The Burning Blades;;;;;;;;;;;;;x
d_burning_blades_adj;Burning;;;;;;;;;;;;;x
###### FOA egyptian_pagan;;;;;;;;;;;;;;x
count_egyptian_pagan;Irypat;Irypat;Irypat;;Irypat;;;;;;;;;x
duke_egyptian_pagan;Nomarch;Nomarque;Nomarch;;Nomarch;;;;;;;;;x
king_egyptian_pagan;Pharaoh;Pharaon;Pharaoh;;Pharaoh;;;;;;;;;x
king_female_egyptian_pagan;Pharaoh;Pharaon;Pharaoh;;Pharaoh;;;;;;;;;x
emperor_egyptian_pagan;Aai-Pharaoh;Aai-Pharaoh;Aai-Pharaoh;;Aai-Pharaoh;;;;;;;;;x
emperor_female_egyptian_pagan;Aai-Pharaoh;Aai-Pharaoh;Aai-Pharaoh;;Aai-Pharaoh;;;;;;;;;x
title_queen_mother_egyptian_pagan;Mewet Pharaoh;Mewet Pharaon;Mewet Pharaoh;;Mewet Pharaoh;;;;;;;;;x
temple_baron_egyptian_pagan;Local Cult Leader;Dirigeant du Culte Local;Local Cult Leader;;Local Cult Leader;;;;;;;;;x
temple_count_egyptian_pagan;Priest;Prêtre;Priest;;Priest;;;;;;;;;x
