#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
###### Modifiers;;;;;;;;;;;;;;x
luxor_admin;Luxor Administrative Offices;Bureaux administratifs de Louxor;Luxor Administrative Offices;;Luxor Administrative Offices;;;;;;;;;x
luxor_fanaticism;Fanatic Shrine;Sanctuaire fanatique;Fanatic Shrine;;Fanatic Shrine;;;;;;;;;x
luxor_library;Luxor Library;Bibliothèque de Louxor;Luxor Library;;Luxor Library;;;;;;;;;x
luxor_restored;Luxor Restored;Louxor Restauré;Luxor Restored;;Luxor Restored;;;;;;;;;x
held_sed_festival;Held a Sed festival;A tenu une fête de Sed;;;;;;;;;;;;x
held_failed_sed_festival;Held a failed Sed festival;A tenu une fête de Sed réussite;;;;;;;;;;;;x
held_sed_festival_timer;Held a Sed festival;A tenu un fête de Sed;;;;;;;;;;;;;x
akhetaten_restored;Akhetaten is Restored;Akhetaton est restauré;;;;;;;;;;;;x
akhetaten_admin;Administrative Offices;Bureaux administratifs;;;;;;;;;;;;x
akhetaten_fanaticism;Fanatacism;Fanatisme;;;;;;;;;;;;x
akhetaten_library;Great Library;Grande bibliothèque;;;;;;;;;;;;x
###### Decisions;;;;;;;;;;;;;;x
restore_luxor;Restore Luxor Temple;Restaurer le Temple de Louxor;Restore Luxor Temple;;Restore Luxor Temple;;;;;;;;;x
restore_luxor_desc;Restore Luxor Temple to its former glory.;Restaurer le Temple de Louxor à la hauteur de son lustre d'antan.;Restore Luxor Temple to its former glory.;;Restore Luxor Temple to its former glory.;;;;;;;;;x
restore_priesthood_egyptian_pagan;Restore the Paragon Xroj;Restaurer le Parangon Xroj;Restore the Paragon Xroj;;Restore the Paragon Xroj;;;;;;;;;x
restore_priesthood_egyptian_pagan_desc;Restore the Paragon Xroj.;Restaurer le Parangon Xroj;Restore the Paragon Xroj;;Restore the Paragon Xroj;;;;;;;;;x
luxor_restored_condition;The temple of Luxor is restored;Le temple de Louxor est restauré;;;;;;;;;;;;x
build_pyramid;Build a Pyramid;Construire une pyramide;Build a Pyramid;;Build a Pyramid;;;;;;;;;x
build_pyramid_desc;Build yourself a mighty tomb;Vous vous construisez une tombe majestueuse.;Build yourself a mighty tomb;;Build yourself a mighty tomb;;;;;;;;;x
organize_anubis;Organize the Anubis Guard;Organiser la Garde d'Anubis;Organize the Anubis Guard;;Organize the Anubis Guard;;;;;;;;;x
organize_anubis_desc;Organize the Anubis Guard Holy Order;Organiser l'Ordre Saint de la Garde d'Anubis;Organize the Anubis Guard Holy Order;;Organize the Anubis Guard Holy Order;;;;;;;;;x
organize_horus;Organize the Horusian Guard;Organiser la Garde d'Horus;Organize the Horusian Guard;;Organize the Horusian Guard;;;;;;;;;x
organize_horus_desc;Organize the Horusian Guard Holy Order;Organiser l'Ordre Saint de la Garde d'Horus.;Organize the Horusian Guard Holy Order;;Organize the Horusian Guard Holy Order;;;;;;;;;x
hold_sed_festival;Hold a Sed Festival;Organiser une fête de Sed;Hold a Sed Festival;;Hold a Sed Festival;;;;;;;;;x
hold_sed_festival_desc;Traditionally, after 30 years of rule and every 3 years after that, a Pharaoh holds a festival to celebrate his continuous success, renew his royal powers and rejuvenate his strength.;Traditionnellement, après 30 ans de règne et tous les trois ans après cela, un Pharaon organise un festival pour célébrer son succès continu, renouveler ses pouvoirs royaux et rajeunir sa force.;;;;;;;;;;;;x
organize_burning_blades;Organize the Burning Blades;Organiser les Lames Brûlantes;;;;;;;;;;;;x
organize_burning_blades_desc;Organize the Burning Blades Holy Order;Organiser les Lames Brûlantes;;;;;;;;;;;;x
restore_priesthood_aten_pagan;Restore the Priesthood of Aten;Restaurer le Sacerdoce d'Aton;;;;;;;;;;;;
restore_priesthood_aten_pagan_desc;Establish yourself as the Meryaten, highest priest of the Aten faith, and living god!;Établissez vous même, en tant que Meryaten, prêtre suprême de la foi d'Aton et dieu vivant !;;;;;;;;;;;;x
akhetaten_restored_condition;The temple of Akhenaten is restored;Le temple d'Akhenaton est restauré;;;;;;;;;;;;x
restore_akhetaten;Restore Akhetaten;Restaurer Akhetaton;;;;;;;;;;;;x
restore_akhetaten_desc;Restore the ancient center of Aten's worship, Akhetaten.;Restaurer l'ancien centre de Aton, Akhetaton.;;;;;;;;;;;;x
###### Events;;;;;;;;;;;;;;x
egyptian.0.title;The Restoration of Luxor Temple;La restauration du Temple de Louxor;The Restoration of Luxor Temple;;The Restoration of Luxor Temple;;;;;;;;;x
egyptian.0.desc;Much time has passed since Luxor Temple’s last official use and the peasantry has moved into its location since then. A sad sight it is indeed to see it in its current status. You decide that it is in the best interest of everyone to restore this temple to its former glory and make it a beacon of a revitalized Kemetic religion.;Bien du temps a passé depuis le dernier usage officiel du Temple de Louxor et la paysannerie s'est installée dans ses lieux depuis. C'est en effet une bien triste vision que le temple dans son état actuel. Vous décidez que c'est dans l'intérêt général de restaurer ce temple dans sa gloire d'antan et d'en faire le symbole d'une religion kémite revigorée.;Much time has passed since Luxor Temple’s last official use and the peasantry has moved into its location since then. A sad sight it is indeed to see it in its current status. You decide that it is in the best interest of everyone to restore this temple to its former glory and make it a beacon of a revitalized Kemetic religion.;;Much time has passed since Luxor Temple’s last official use and the peasantry has moved into its location since then. A sad sight it is indeed to see it in its current status. You decide that it is in the best interest of everyone to restore this temple to its former glory and make it a beacon of a revitalized Kemetic religion.;;;;;;;;;x
egyptian.0.a;Make it the greatest temple there ever was!;Faites-en le plus grand temple jamais construit !;Make it the greatest temple there ever was!;;Make it the greatest temple there ever was!;;;;;;;;;x
egyptian.1.title;New Wing;Nouvelle aile;New Wing;;New Wing;;;;;;;;;x
egyptian.1.desc;The restoration of Luxor Temple is nearly complete and your chief architect inquires if you would like to add a new wing to the temple.;La restauration du Temple de Louxor est presque achevée et votre architecte en chef vous demande si vous aimeriez ajouter une nouvelle aile au temple.;The restoration of Luxor Temple is nearly complete and your chief architect inquires if you’d like to add a new wing to the temple.;;The restoration of Louxor Temple is nearly complete and your chief architect inquires if you’d like to add a new wing to the temple.;;;;;;;;;x
egyptian.1.a;Build a grand library.;Construisez une grande bibliothèque.;Build a grand library.;;Build a grand library.;;;;;;;;;x
egyptian.1.b;Build a shrine for fanatics.;Construire un sanctuaire pour les fanatiques.;Build a shrine for fanatics.;;Build a shrine for fanatics.;;;;;;;;;x
egyptian.1.c;Build administrative offices.;Construire des bureaux administratifs.;Build administrative offices.;;Build administrative offices.;;;;;;;;;x
egyptian.2.title;Luxor Temple Restored;Temple de Louxor Restauré;Luxor Temple Restored;;Luxor Temple Restored;;;;;;;;;x
egyptian.2.desc;The temple has finally been restored to its former glory.;Le temple a enfin été restauré à la hauteur de sa splendeur d'antan.;The temple has finally been restored to its former glory.;;The temple has finally been restored to its former glory.;;;;;;;;;x
egyptian.2.a;Excellent;Excellent;Excellent;;Excellent;;;;;;;;;x
egyptian.3.title;The Luxor Temple Restored!;Le Temple de Louxor est restauré !;The Luxor Temple Restored!;;The Luxor Temple Restored!;;;;;;;;;x
egyptian.3.desc;It would seem that the Egyptians have been very busy recently. A recent resurgence of Kemetic fanaticism has swept Egypt and the pinnacle of their fanaticism has been reached with the restoration of Luxor Temple. Located on the east bank of the Nile, this temple is both splendid to withhold and enormous in size. It even holds an entirely new wing, attached to the groundwork of the original temple.;Il semblerait que les Égyptiens aient été actifs ces derniers temps. L'Égypte a été prise récemment par une recrudescence du fanatisme kémite et le summum de leur fanatisme a été atteint avec la restauration du Temple de Louxor. Situé sur la rive est du Nil, ce temple est à la fois d'une beauté à couper le souffle et d'une taille gigantesque. Il abrite même une nouvelle aile, attenante aux fondations du temple d'origine.;It would seem that the Egyptians have been very busy recently. A recent resurgence of Kemetic fanaticism has swept Egypt and the pinnacle of their fanaticism has been reached with the restoration of Luxor Temple. Located on the east bank of the Nile, this temple is both splendid to withhold and enormous in size. It even holds an entirely new wing, attached to the groundwork of the original temple.;;It would seem that the Egyptians have been very busy recently. A recent resurgence of Kemetic fanaticism has swept Egypt and the pinnacle of their fanaticism has been reached with the restoration of Luxor Temple. Located on the east bank of the Nile, this temple is both splendid to withhold and enormous in size. It even holds an entirely new wing, attached to the groundwork of the original temple.;;;;;;;;;x
egyptian.3.a;Worrying...;Inquiétant...;Worrying...;;Worrying...;;;;;;;;;x
egyptian.4.desc;The pharaohs of ancient times would often have massive tombs erected in their honour during their reign. Such effort was put into the construction of these pyramids that often decades would go by before being completed and the pharaoh who commissioned the pyramid would already be long dead. Regardless, it was seen as a very prestigious and important thing to do as a pharaoh.;Les pharaons des temps anciens érigeaient souvent d'imposantes tombes en leur honneur pendant leur règne. La construction de ces pyramides représentait un labeur si titanesque que des décennies étaient souvent nécessaires pour les construire et les pharaons qui en avoient lancé la construction étaient défunts depuis longtemps. Quoi qu'il en soit, c'était considéré une besogne très prestigieuse et importante à accomplir pour un pharaon.;The pharaohs of ancient times would often have massive tombs erected in their honour during their reign. Such effort was put into the construction of these pyramids that often decades would go by before being completed and the pharaoh who commissioned the pyramid would already be long dead. Regardless, it was seen as a very prestigious and important thing to do as a pharaoh.;;The pharaohs of ancient times would often have massive tombs erected in their honour during their reign. Such effort was put into the construction of these pyramids that often decades would go by before being completed and the pharaoh who commissioned the pyramid would already be long dead. Regardless, it was seen as a very prestigious and important thing to do as a pharaoh.;;;;;;;;;x
egyptian.4.a;Tradition drives me to do it;La tradition me pousse à le faire;Tradition drives me to do it;;Tradition drives me to do it;;;;;;;;;x
egyptian.5.desc;Over a decade has passed since the construction of this pyramid began. Over a hundred thousand workers toiled during this period, often times giving their very lives in order to honor their sacred pharaoh. One cannot deny the sheer impressiveness of this structure.;Plus d'une décennie s'est écoulée depuis le début de la construction de cette pyramide. Pendant cette période, plus de cent mille ouvriers ont travaillé dur sur ce projet, souvent en donnant leur propre vie afin d'honorer leur pharaon sacré. On ne peut nier la pure magnificence de ce bâtiment.;Over a decade has passed since the construction of this pyramid began. Over a hundred thousand workers toiled during this period, often times giving their very lives in order to honour their sacred pharaoh. One cannot deny the sheer impressiveness of this structure.;;Over a decade has passed since the construction of this pyramid began. Over a hundred thousand workers toiled during this period, often times giving their very lives in order to honour their sacred pharaoh. One cannot deny the sheer impressiveness of this structure.;;;;;;;;;x
egyptian.5.a;My pyramid will last for millennia!;Ma pyramide tiendra des millénaires !;My pyramid will last millenia!;;My pyramid will last millenia!;;;;;;;;;x
egyptian.5.b;A fine sight, hopefully my pyramid will be even better;Une belle vue, j'espère que ma pyramide sera encor meilleure;A fine sight, hopefully my pyramid will be even better;;A fine sight, hopefully my pyramid will be even better;;;;;;;;;x
egyptian.5.c;I was wondering what happened to all my workers...;Je me demandais ce qui est advenu de tous mes ouvriers...;I was wondering what happened to all my workers...;;I was wondering what happened to all my workers...;;;;;;;;;x
egyptian.6.title;The Rise of Amun-ra;L'ascension d'Amon-ra;The Rise of Amun-ra;;The Rise of Amun-ra;;;;;;;;;x
