#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
###### Epic Bloodline Events;;;;;;;;;;;;;;x
EVTDESCancrel.3000;You've recently finished studying the classics, and you couldn't help but be inspired by the great heroes of the epic poems. Perhaps you should try emulating these mythic figures?;;;;;;;;;;;;;x
EVTOPTAancrel.3000;I think I shall!;;;;;;;;;;;;;x
EVTOPTBancrel.3000;No point in chasing the impossible...;;;;;;;;;;;;;x
EVTDESCancrel.3001;The greatest heroes were those who took part in the Trojan War. Admirable qualities could be found on both sides of that terrible war, but still you must decide, from which side will your heroic muse come?;;;;;;;;;;;;;x
EVTOPTAancrel.3001;The Greeks!;;;;;;;;;;;;;x
EVTOPTBancrel.3001;The Trojans!;;;;;;;;;;;;;x
EVTDESCancrel.3002;Of the epic heroes who sided with the Greeks, there were three who stood out as exemplars, which shall you choose to emulate?;;;;;;;;;;;;;x
EVTOPTAancrel.3002;I shall endeavour to be like the mighty Achilles!;;;;;;;;;;;;;x
EVTOPTBancrel.3002;Odysseus' towering intellect shall be my inspiration.;;;;;;;;;;;;;x
EVTOPTCancrel.3002;The honeyed words of Nestor shall guide my life.;;;;;;;;;;;;;x
EVTDESCancrel.3003;Among the many great heroes who defended the walls of Troy, three stood out from the rest, which shall you choose to emulate?;;;;;;;;;;;;;x
EVTOPTAancrel.3003;Hector, the great commander!;;;;;;;;;;;;;x
EVTOPTBancrel.3003;Aeneas, founder of Rome!;;;;;;;;;;;;;x
EVTOPTCancrel.3003;Paris, lover of women!;;;;;;;;;;;;;x
EVTDESCancrel.3004;Congrats! You are the child of a reborn hero!;;;;;;;;;;;;;x
EVTDESCancrel.3005;All through the world, tales of your legendary deeds are spreading! Many have witnessed your great deeds and the strange things that have happened to you, countless more have heard the stories. You are now widely recognized as the reincarnation of your personal hero, a legendary figure from the epic poems.;;;;;;;;;;;;;x
EVTOPTAancrel.3005;Glorious!;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTDESCancrel.3010;One of your favored courtesans has been saying flattering, if a bit indiscrete, things about your skills in the bedroom. Comparisons to such legendary love makers as Paris and Helen have been made, and these rumors are beginning to spread beyond the palace and local brothels.;;;;;;;;;;;;;x
EVTOPTAancrel.3010;I am pretty great, aren't I?;;;;;;;;;;;;;x
EVTOPTBancrel.3010;We cannot allow these rumors to continue!;;;;;;;;;;;;;x
EVTDESCancrel.3011;Although your role in [Root.GetTitledFirstName]'s death has been revealed, admiration toward you for the sheer brilliance of the scheme is growing quickly throughout the realm. Spymasters from nearby kingdoms work feverishly to uncover what they are sure to be many plots in their masters realms that you have orchestrated.;;;;;;;;;;;;;x
EVTOPTAancrel.3011;Well, silver linings and all that.;;;;;;;;;;;;;x
EVTDESCancrel.3012;After treating with hundreds of foreign dignataries and resolving disputes between thousands of subjects throughout the realm, your wisdom and good council have become almost legendary.;;;;;;;;;;;;;x
EVTOPTAancrel.3012;It's nice to be recognized! I once knew a man who...;;;;;;;;;;;;;x
EVTDESCancrel.3013;In the final battle to take the enemy town you found yourself overwhelmed with the thrill of combat and charged headlong into the enemy ranks. Before long you were surrounded, far from your personal guard. But this did not deter you. Instead, you single-handedly cut down thirty men. But, if you were to listen to the rumors that have been circulating through [From.GetBaseName] it was more like 300! Some say that you were the image of Achilles himself.;;;;;;;;;;;;;x
EVTOPTAancrel.3013;All I can remember is the exhileration...;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
###### Epic Bloodline Modifiers;;;;;;;;;;;;;;x
emulating_achilles;Emulating Achilles;;;;;;;;;;;;;x
emulating_achilles_desc;This character strives to be like the hero Achilles.;;;;;;;;;;;;;x
emulating_odysseus;Emulating Odysseus;;;;;;;;;;;;;x
emulating_odysseus_desc;This character is modeling their life after Odysseus.;;;;;;;;;;;;;x
emulating_nestor;Emulating Nestor;;;;;;;;;;;;;x
emulating_nestor_desc;Nestor's example guides this character's life.;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
emulating_hector;Emulating Hector;;;;;;;;;;;;;x
emulating_hector_desc;This character is using Hector as a guide for their life.;;;;;;;;;;;;;x
emulating_aeneas;Emulating Aeneas;;;;;;;;;;;;;x
emulating_aeneas_desc;Aeneas is providing this character a model of life.;;;;;;;;;;;;;x
emulating_paris;Emulating Paris;;;;;;;;;;;;;x
emulating_paris_desc;This character strives to be like Paris of Troy.;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
###### Epic Bloodline Traits;;;;;;;;;;;;;;x
descendant_of_achilles;Blood of Achilles;;;;;;;;;;;;;x
descendant_of_achilles_desc;This character is recognized as a direct descendant of Achilles. Their presence on the battlefield unnerves their enemies.;;;;;;;;;;;;;x
descendant_of_odysseus;Blood of Odysseus;;;;;;;;;;;;;x
descendant_of_odysseus_desc;This character is recognized as a direct descendant of Odysseus. Their presence as part of a conspiracy makes others more confident in it's success, and those who conspire against them are less confident in their own success.;;;;;;;;;;;;;x
descendant_of_nestor;Blood of Nestor;;;;;;;;;;;;;x
descendant_of_nestor_desc;This character is recognized as a direct descendant of Geronian Nestor. Their words are respected throughout the known world, and their presence at the negotiating table is an important influence.;;;;;;;;;;;;;x
