#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#;;;;;;;;;;;;;;x
ca_culture_roman_1_desc;Rome's military might has always relied upon highly disciplined and heavily armored infantry. This is where such soldiers are drilled.;La puissance militaire de Rome a toujours compté sur une infanterie lourde et hautement disciplinée. C'est ici que de tels soldats sont entraînés.;;;;;;;;;;;;x
ca_culture_roman_1;Legionary Training Camp;Camp de Légionnaires;;;;;;;;;;;;x
ca_culture_roman_2;Legionary Training Camp;Camp de Légionnaires;;;;;;;;;;;;x
ca_culture_roman_3;Legionary Training Camp;Camp de Légionnaires;;;;;;;;;;;;x
ca_culture_roman_4;Legionary Training Camp;Camp de Légionnaires;;;;;;;;;;;;x

#;;;;;;;;;;;;;;x
hellenic.230.title;The Province of Cyrenaica et Creta;La province de Cyrénaïque et de Crète;;;;;;;;;;;;x
hellenic.230.desc;The citizens of Cyrenaica et Creta can rejoice, as Roman law is once more upheld in this barren land. Yet another ancient Roman province has been returned to the bosom of the mightiest empire the civilised world has ever seen. May it never suffer the cruel touch of barbarians again.;Les citoyens de Cyrénaïque et de Crète peuvent se réjouir, puisque la loi de Rome est une fois encore respectée sur ces terres stériles. Encore une province romaine de plus revient dans le sein du plus puissant empire que le monde civilisé ait connu. Que plus jamais il ne souffre aux prises des mains cruelles des barbares.;;;;;;;;;;;;x
hellenic.231.title;The Province of Sicilia;La province de Sicile;;;;;;;;;;;;x
hellenic.231.desc;Imperial rule over Sicilia, one of the last western outposts of the Empire to be lost to barbarian rule, has been reinstated yet again - this time hopefully for good.;La loi impériale sur la Sicile, l'un des derniers avant postes de l'Empire à être perdu aux barbares, a été réinstauré à nouveau - cette fois pour de bon avec de la chance;;;;;;;;;;;;x
hellenic.232.title;The Province of Corsica et Sardinia;La province de Corse et de Sardaigne;;;;;;;;;;;;x
hellenic.232.desc;The islands of Corsica and Sardinia, originally incorporated in the empire after the First Punic War, is yet again under imperial rule. The conquest of this strategic location in the Mediterranean heralds a glorious westward expansion of the Empire.;Les îles de Corse et de Sardaigne, à l'origine incorporées dans l'empire après la Première Guerre Punique, est à nouveau sous contrôle impérial. La conquête de cet endroit stratégique en Méditerranée annonce une expansion glorieuse de l'Empire vers l'ouest.;;;;;;;;;;;;x
hellenic.233.title;The Province of Viennensis;La province de Viennoise;;;;;;;;;;;;x
hellenic.233.desc;Viennensis, named after the town Vienne in southeastern Gaul, has long been lost to Roman rule, but has now been incorporated back into the Empire. It was originally formed as a merger of the provinces Gallia Aquitania and Gallia Narbonensis created by Caesar after his campaigns had expanded the old province of Gaul too far to be administered as a single province.;La Viennoise, appelée ainsi d'après la ville de Vienne dans l'extrême sud-est de la Gaule, et longtemps écartée de Rome, est maintenant réincorporée dans l'Empire. Elle a été formée à l'origine lors de la fusion des provinces de Gallia Aquitania et Gallia Narbonensis crées par César après que ses campagnes aient étendu les frontières de la vieille Gaule trop loin pour être administrées en une seule province.;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
restore_roman_empire_hre;Restore the Roman Empire;Rétablir l'Empire romain;Das Römische Reich wiederherstellen;;Reinstaurar el Imperio Romano;;;;;;;;;x
restore_roman_empire_hre_desc;If Rome, Constantinople, and other key territories of the old empire could be reclaimed, the Holy Roman Empire would win recognition in the eyes of the East as the true and rightful successor of the Roman State.;Si Rome, Constantinople, et d'autre territoires clés de l'ancien empire pouvaient être récupérés, le Saint Empire Romain gagnerait la reconnaissance aux yeux de l'Est d'être le vrai et légitime successeur de l'État de Rome.;;;;;;;;;;;;x
recreate_roman_empire;Recreate the Roman Empire;Recréer l'Empire romain;;;;;;;;;;;;x
recreate_roman_empire_desc;If we were to hold all the core territories of the old empire, we could gain recognition as the true and rightful successor of the Roman State.;Si nous possédions tous les territoires du cœur de le l'ancien empire, nous pourrions gagner la reconnaissance en tant que vrai et légitime successeur de l'État de Rome.;;;;;;;;;;;;x
hellenic.222.desc;Friends, Romans, countrymen, lend me your ears! After the miraculous recovery of territory lost centuries ago, the Roman Empire has been reborn! Europe has endured dark times since the imperial frontiers were stormed by barbarians and province after province burned at their touch, but now a bright new age has dawned for all of civilization.\n\nThe Roman State will no longer be referred to as the "Empire of the Germans" by jealous pretenders in the East, but recognized as the true heir to the legacy of Rome. [Root.GetTitledFirstName] rules a restored Imperium Romanum, but much work remains to be done. There is still territory to recover and ancient borders to reclaim. For the Senate and People of Rome!;Amis, romains, compatriotes, prêtez l'oreille ! Après la récupération miraculeuse de territoires perdu il y a des siècles, l'Empire Romain, renaît ! L'Europe a connu des périodes sombres depuis que les frontières impériales ont été prises d'assaut par les barbares et province après province brûlées à leur contact, mais maintenant un âge de lumière nouveau est apparu pour le monde civilisé.\n\nL'État Romain ne sera plus mentionné comme "Empire des Germains" par les prétendants jaloux de l'Est, mais reconnu comme l'héritier légitime de Rome.[Root.GetTitledFirstName] dirige un Imperium Romanum restauré, mais il reste beaucoup de travail. Il y a encore des territoires à retrouver et d'anciennes frontières à récupérer. Pour le Sénat et le Peuple de Rome !;;;;;;;;;;;;x
hellenic.223.desc;The Holy Roman Empire, previously referred to as the "Empire of the Germans" by many in the East, have somehow managed to reclaim enough lost territory to declare the Roman Empire restored! It can no longer be denied that they are the true successors of Rome and its glorious legacy. They claim a new era is upon us.;Le Saint Empire Romain, auparavant appelé l'"Empire des Germains" par beaucoup à l'Est, a réussi a récupéré suffisamment de territoires perdus pour déclarer l'Empire Romain restauré ! Il ne peut plus être nié qu'ils sont les vrais successeurs de Rome et de son glorieux héritage. Ils affirment qu'une nouvelle ère s'ouvre devant nous.;;;;;;;;;;;;x
hellenic.224.desc;Friends, Romans, countrymen, lend me your ears! The Roman Empire, long thought to be lost to the world, has been reborn! Europe has endured dark times since the imperial frontiers were stormed by barbarians and province after province burned at their touch, but now a bright new age has dawned for all of civilization.\n\n[Root.GetTitledFirstName] rules a restored Imperium Romanum, but much work remains to be done. There is still territory to recover and ancient borders to reclaim. For the Senate and People of Rome!;Amis, romains, compatriotes, prêtez l'oreille ! L'Empire Romain, longtemps cru perdu aux yeux du monde, est rené ! L'Europe a connu des périodes sombres depuis que les frontières impériales ont été prises d'assaut par les barbares et provinces après provinces brûlées à leur contact, mais maintenant un âge de lumière nouveau est apparu pour le monde civilisé. \n\n[Root.GetTitledFirstName] dirige un Imperium Romanum restauré, mais il reste beaucoup de travail. Il y a encore des territoires à retrouver et d'anciennes frontières à récupérer. Pour le Sénat et le Peuple de Rome !;;;;;;;;;;;;x
hellenic.225.desc;[From.GetTitledFirstName] has declared the Roman Empire, long thought to be lost to the world, to be restored! Having laid claim to the homelands of the old empire, it can no longer be denied that they are the true successors of Rome and its glorious legacy. They claim a new era is upon us.;[From.GetTitledFirstName] déclare que l'Empire Romain, qui a pendant longtemps été cru perdu aux yeux du monde, a été restauré ! Après avoir récupéré les terres natales de l'ancien empire, il ne peut plus être nié qu'ils sont les vrais successeurs de Rome et de son héritage glorieux. Ils affirment qu'une nouvelle ère s'ouvre devant nous.;;;;;;;;;;;;x
make_rome_capital_city;Make Rome Capital;Faire de Rome la capitale;Macht Rom zur Hauptstadt;;Hacer de Roma la capital.;;;;;;;;;x
make_rome_capital_city_desc;The city of Rome has seen better days, but no one can deny its symbolic power. If you so wish, you may restore it as the capital of the Empire.;La cité de Rome a connu des jours meilleurs, mais personne ne peut nier son pouvoir symbolique. ;Die Stadt Rom hat schon bessere Tage gesehen, doch niemand kann ihre symbolische Macht leugnen. Wenn Ihr es wünscht, könnt Ihr sie wieder zur Hauptstadt des Reiches auferstehen lassen.;;La ciudad de Roma ha visto días mejores, pero nadie puede negar su poder simbólico. Si lo deseas, puedes reinstaurarla como la capital del Imperio.;;;;;;;;;x
#;;;;;;;;;;;;;;x
hellenic.200.desc;With the city back under Catholic control, the Latin Patriarchate of Antioch has been properly restored as a episcopal see under papal authority. It was originally founded by Saint Peter the Apostle, the first Pope of the Catholic Church.;Avec la cité à nouveau sous contrôle, le Patriarcat latin d'Antioche a été correctement restauré en tant que siège épiscopal sous autorité papale. Il a été à l'origine fondé par Saint Pierre l'Apôtre, le premier Pape de l'Église Catholique.;;;;;;;;;;;;x
hellenic.201.desc;With the city back under Catholic control, the Latin Patriarchate of Jerusalem has been properly restored as a episcopal see under papal authority. It was originally founded by Saint James the Just, who was made head of the Church in Jerusalem soon after the death of Jesus.;Avec la cité à nouveau sous contrôle, le Patriarcat latin de Jérusalem a été correctement restauré en tant que siège épiscopal sous autorité papale. Il a été à l'origine fondé par Saint Jacques le Juste, qui a été chef de l'Église à Jérusalem peu après la mort de Jésus.;;;;;;;;;;;;x
hellenic.202.desc;With the city back under Catholic control, the Latin Patriarchate of Alexandria has been properly restored as a episcopal see under papal authority. It was originally founded by Saint Mark the Evangelist, who became Alexandria's first patriarch.;Avec la cité à nouveau sous contrôle, le Patriarcat latin d'Alexandrie a été correctement restauré en tant que siège épiscopal sous autorité papale. Il a été à l'origine fondé par Saint Marc l'Évangéliste, qui devint le premier patriarche d'Alexandrie.;;;;;;;;;;;;x
hellenic.203.desc;With the city back under Catholic control, the Latin Patriarchate of Constantinople has been properly restored as a episcopal see under papal authority. If all five historical patriarchates of the Pentarchy are returned to papal control, the Great Schism between the Eastern and Western churches may finally be mended.;Avec la cité à nouveau sous contrôle, le Patriarcat latin de Constantinople a été correctement restauré en tant que siège épiscopal sous autorité papale. Si les cinq patriarcats de la Pentarchie retournent sous contrôle papal, le Grand Schisme entre les Églises de l'Est et l'Ouest pourrait enfin être résorbé.;;;;;;;;;;;;x
catholic_mend_great_schism;Mend the Great Schism;Mettre fin au Grand Schisme;Heile das Große Schisma;;Reparar el Gran Cisma;;;;;;;;;x
catholic_mend_great_schism_desc;Force the world to recognize the supremacy of the Western Catholic Church over all Christendom.;Forcer le monde à reconnaître la suprématie de l'Église catholique de l'Ouest sur toute la Chrétienté.;;;;;;;;;;;;x
