#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
religion_openly_in_hellenic_subgroup_tooltip;Openly worship an Ancient Hellenic religion.;Pratique ouvertement une ancienne religion hellénique.;;;;;;;;;;;;x
true_religion_in_hellenic_subgroup_tooltip;Truly practicing an Ancient Hellenic religion.;Pratique en réalité une ancienne religion hellénique.;;;;;;;;;;;;x
secret_religion_in_hellenic_subgroup_tooltip;Secretly practicing an Ancient Hellenic religion.;Pratique secrètement une ancienne religion hellénique.;;;;;;;;;;;;x
coa_plain_hellenic;Hellenic Coat of Arms;Armoiries helléniques;;;;;;;;;;;;x
###### Religion/titles definitions;;;;;;;;;;;;;;x
GOD_PLUTO;Pluto;Pluton;Pluto;;Pluto;;;;;;;;;x
GOD_JUNO;Hera;Héra;Hera;;Hera;;;;;;;;;x
#GOD_VESTA;Vesta;Vesta;Vesta;;Vesta;;;;;;;;;x
GOD_MINERVA;Athena;Athéna;Athene;;Atenea;;;;;;;;;x
GOD_CERES;Demeter;Déméter;Demeter;;Deméter;;;;;;;;;x
GOD_DIANA;Artemis;Artémis;Artemis;;Artemisa;;;;;;;;;x
GOD_VENUS;Aphrodite;Aphrodite;Aphrodite;;Afrodita;;;;;;;;;x
GOD_MARS;Ares;Arès;Ares;;Ares;;;;;;;;;x
GOD_MERCURY;Hermes;Hermès;Hermes;;Hermes;;;;;;;;;x
GOD_JUPITER;Zeus;Zeus;Zeus;;Zeus;;;;;;;;;x
GOD_NEPTUNE;Neptune;Neptune;Neptun;;Neptuno;;;;;;;;;x
GOD_VULCAN;Vulcan;Vulcain;Vulcanus;;Vulcano;;;;;;;;;x
GOD_APOLLO;Apollo;Apollon;Apollon;;Apolo;;;;;;;;;x
GOD_HECATE;Hecate;Hécate;;;;;;;;;;;;x
GOD_PROMETHEUS;Prometheus;Prometheus;;;;;;;;;;;;x
GOD_KRONOS;Kronos;Kronos;;;;;;;;;;;;x
THE_THEOGONY;The Theogony;La Théogonie;Die Theogonie;;La Teogonía;;;;;;;;;x
hellenic_pagan_FEATURES;§Y*§! Can try to reconquer the land of the old Roman Empire from non-pagan rulers.\n§Y*§! Can liberate Italian and Greek provinces from non-pagan rulers.;§Y*§! Peut tenter de recapturer les terres du vieil Empire romain dirigées par des non païens.\n§Y*§! Peut libérer les provinces italiennes et grecques dirigées par des non païens.;;;;;;;;;;;;x
AncientThinker_Aristotle;Aristotle;Aristote;;;;;;;;;;;;x
AncientThinker_Plato;Plato;Platon;;;;;;;;;;;;x
AncientThinker_Socrates;Socrates;Socrate;;;;;;;;;;;;x
AncientThinker_Xenophon;Xenophon;Xénophon;;;;;;;;;;;;x
AncientThinker_Pliny;Pliny;Pline ;;;;;;;;;;;;x
AncientThinker_Epicurious;Epicurious;Épicure;;;;;;;;;;;;x
AncientThinker_Zeno;Zeno;Zénon;;;;;;;;;;;;x
AncientThinker_Posidonius;Posidonius;Posidonios;;;;;;;;;;;;x
AncientThinker_Seneca;Seneca;Sénèque;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
acr_sided_with_church;Sided with the Church;A pris le parti de l'église;;;;;;;;;;;;x
acr_sided_with_church_desc;This character recently sided with the church in a dispute.;Ce personnage a récemment soutenu l'église dans un conflit.;;;;;;;;;;;;x
acr_shielded_heretic;Shielded a Heretic;A couvert un hérétique;;;;;;;;;;;;x
acr_shielded_heretic_desc;This character protected a heretic from persecution by the church.;Ce personnage a protégé un hérétique de la persécution de l'église.;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
first_academy_restored;First Academy restored;Première Académie restaurée;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
nick_the_stammerer_greek;Psellos;Psellos;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
organize_sacred_band;Organize the Sacred Band;Organiser la Bande Sacrée;Organize the Sacred Band;;Organize the Sacred Band;;;;;;;;x
organize_sacred_band_desc;Organize the Sacred Band Holy Order;Organiser l'ordre de la Bande Sacrée;Organize the Sacred Band;;Organize the Sacred Band;;;;;;;;x
d_sacred_band;Sacred Band;La Bande Sacrée;;;;;;;;;;;x
d_sacred_band_adj;Sacred Band;Bande Sacrée;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
king_hellenic_pagan;Despot;Despote;Despot;;Déspota;;;;;;;x
king_hellenic_pagan_byzantine;Regas;Regas;Regas;;Rey;;;;;;;;;x
king_female_hellenic_pagan;Regina;Regina;Regina;;Reina;;;;;;;;;x
duke_hellenic_pagan;Legatus Augusti;Legatus Augusti;;;;;;;;;;;;x
duke_female_hellenic_pagan;Legata Augusti;Legata Augusti;;;;;;;;;;;;x
count_hellenic_pagan;Legatus;Legatus;;;;;;;;;;;;x
count_female_hellenic_pagan;Legata;Legata;;;;;;;;;;;;x
baron_hellenic_pagan;Eques;Eques;;;;;;;;;;;;x
#baron_female_hellenic_pagan;Eques;Eques;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
#temple_king_hellenic_pagan;Rex Sacrorum;Rex Sacrorum;Rex Sacrorum;;Rey Sacrorum;;;;;;;;;x
temple_king_female_hellenic_pagan;Regina Sacrorum;Regina Sacrorum;Regina Sacrorum;;Reina Sacrorum;;;;;;;;;x
#temple_duke_hellenic_pagan;Pontifex Magnus;Pontifex Magnus;;;;;;;;;;;;x
temple_count_hellenic_pagan;Pontifex;Pontifex;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
city_emperor_hellenic_pagan;Emperor;Empereur;Kaiser;;Emperador;;;;;;;;;x
city_king_hellenic_pagan;Consul;Consul;Konsulat;;Cónsul;;;;;;;;;x
city_king_hellenic_pagan_byzantine;Hypatos;Hypatos;;;;;;;;;;;;x
city_duke_hellenic_pagan;Proconsul;Proconsul;Prokonsul;;Procónsul;;;;;;;;;x
city_count_hellenic_pagan;Lord Prefect;Seigneur-Préfet;Oberbürgermeister;;Gran Prefecto;;;;;;;;;x
#city_baron_hellenic_pagan;Prefect;Préfet;Bürgermeister;;Prefecto;;;;;;;;;x
