#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#Event/decision/modifier definitions;;;;;;;;;;;;;;x
###### Hellenic revival;;;;;;;;;;;;;;x
#nick_the_apostate;the Apostate;l'Apostat;;;;;;;;;;;;x
opinion_no_hellenic_state_religion;Did not establish a Hellenic state religion;N'a pas choisi l'hellénisme comme religion d'État;;;;;;;;;;;;x
opinion_no_forced_hellenic_state_religion;Did not enforce a Hellenic state religion;N'a pas imposé l'hellénisme en tant que religion d'État;;;;;;;;;;;;x
opinion_hellenic_state_religion;Established a Hellenic state religion;A établi l'hellénisme comme religion d'État;;;;;;;;;;;;x
opinion_forced_hellenic_state_religion;Enforced a Hellenic state religion;A imposé l'hellénisme comme religion d'État;;;;;;;;;;;;x
opinion_adopted_hellenic_state_religion;Adopted the Hellenic state religion;A adopté l'hellénisme en tant que religion d'État;;;;;;;;;;;;x
opinion_rejected_hellenic_state_religion;Rejected the Hellenic state religion;A rejeté l'hellénisme en tant que religion d'État;;;;;;;;;;;;x
ancrel_streamlined_court;Streamlined Court;Cour simplifiée;;;;;;;;;;;;x
ancrel_streamlined_court_desc;This character's court policies have recently been overhauled, streamlining the bureaucracy of the realm and making it more efficient.;Les politiques judiciaires de ce personnage ont récemment été révisées, simplifiant la bureaucratie du domaine et la rendant plus efficace.;;;;;;;;;;;;x
ancrel_platonic_curriculum;Neoplatonic Curriculum;Programme néo-platonique;;;;;;;;;;;;x
ancrel_platonic_curriculum_desc;A curriculum heavy in Neoplatonic Philosophy and emphasizing exploration of new ideas is currently in place at Universities in this province.;Un programme lourd dans la philosophie néo-platonique et l'exploration de nouvelles idées est actuellement en place dans les universités de cette province.;;;;;;;;;;;;x
ancrel_imperial_chronicle;Imperial Chronicle;Chronique impériale;;;;;;;;;;;;x
ancrel_imperial_chronicle_desc;A recently published chronicle of the last century of Imperial History has cast this character's rule in a positive light, giving them increased legitimacy in the eyes of the Empire.;Une chronique récemment publiée du siècle dernier de l'histoire impériale a révélé que le règne brillant de ce personnage, lui donnant une légitimité accrue aux yeux de l'Empire.;;;;;;;;;;;;x
hellenic.0.desc;A stuttering, but clearly brilliant, teacher of philosophy from the University of Constantinople has approached you and offered his services as an advisor. There is no doubt at court that he is a genius, and could provide much good council. However, some believe his reverence for Plato borders on the heretical. What is your answer?;Une personne qui bégaye, mais clairement brillant, professeur de philosophie de l'université de Constantinople vous a abordé et offert ses services en tant que conseiller. Il n'y a aucun doute à la cour qu'il est un génie, et pourrait fournir beaucoup de bons conseils. Cependant, certains croient que son respect pour Platon frôle l'hérésie. Quelle est votre réponse ?;;;;;;;;;;;;x
hellenic.0.a;The Empire could use wise council in this time of need.;L'Empire pourrait utiliser un conseiller judicieux en cette période de besoin.;;;;;;;;;;;;x
hellenic.0.a.tt;The Philosopher joins your court.;Le philosophe rejoins votre cours.;;;;;;;;;;;;x
hellenic.0.b;I need swords and coin, not words!;J'ai besoin d'épées et d'argent, pas de mots !;;;;;;;;;;;;x
hellenic.0.b.tt;The professor of philosophy stays at the University.;Le professeur de philosophie reste à l'université.;;;;;;;;;;;;x
hellenic.2.desc;The professor who petitioned to join your court, [From.GetFirstNameWithNick], has come to you with a request. He is currently making a bid for the office of Hypatos Philosphon, "Chief Philosopher." This would make him the head of the University. "From this position I can better serve you and the Empire," he says. The burghers will not like this interference in local affairs.;Le professeur qui a demandé à rejoindre votre cour, [From.GetFirstNameWithNick], est venu à vous avec une demande. Il fait actuellement une offre pour le bureau d'Hypatos Philosphon, "Philosophe en chef". Il deviendrait le chef de l'université. "Avec cette position, je peux mieux servir, vous et l'Empire" dit-il. Les bourgeois n'aiment pas cette ingérence dans les affaires locales.;;;;;;;;;;;;x
hellenic.2.a;I'm the [Root.GetTitle], the burghers will learn this.;Je suis le [Root.GetTitle], les bourgeois devront faire avec.;;;;;;;;;;;;x
hellenic.2.b;I can't involve myself in this.;Je ne peux pas m'impliquer dans cette situation.;;;;;;;;;;;;x
hellenic.5.desc;You've been approached by [From.GetTitledFirstName]. He says that the priesthood is concerned with the curriculum employed by [FromFrom.GetFirstName] and they believe the philosophy he teaches is too much like the pagan teachings of the old empire. [From.GetFirstName] implores you to deal with the matter. You could force [FromFrom.GetFirstName] to make a public profession of faith and restore the old curriculum, or allow him to continue.;Vous avez été abordé par [From.GetTitledFirstName]. Il dit que le sacerdoce est concerné par le programme employé par [FromFrom.GetFirstName] et ils croient que la philosophie qu'il enseigne est trop comme les enseignements païens de l'ancien empire. [From.GetFirstName] vous implore de traiter la question. Vous pouvez forcer [FromFrom.GetFirstName] à faire une profession publique de foi et à restaurer l'ancien programme ou lui permettre de continuer.;;;;;;;;;;;;x
hellenic.5.a;I support [FromFrom.GetFirstName]'s decisions...;J'appuie les décisions de [FromFrom.GetFirstName] ...;;;;;;;;;;;;x
hellenic.5.b;We need unity of faith in these dark times...;Nous avons besoin d'une unité de foi dans ces temps sombres ...;;;;;;;;;;;;x
hellenic.7.desc;[From.GetFirstNameWithNick] seems excited as [From.GetSheHe] joins your council this morning. "I was translating another of [Root.GetRandomAncientThinker]'s texts last night and was struck with inspiration for some experiments. I'm not sure where this will lead, but I'm certain it will be of value to the Empire. Of course, it would require some funding...";[From.GetFirstNameWithNick] semble excité puisqu'[From.GetSheHe] se joint à votre conseil ce matin. "J'ai traduit un autre des textes de [Root.GetRandomAncientThinker] hier soir et j'ai été frappé d'inspiration pour certaines expériences. Je ne sais pas où cela mènera, mais je suis certain qu'il sera utile à l'Empire. Bien sûr, il faudrait un financement ...";;;;;;;;;;;;x
hellenic.7.a;I look forward to seeing what you come up with.;Je suis impatient de voir ce que vous allez en faire.;;;;;;;;;;;;x
hellenic.7.a.tt;[From.GetFirstNameWithNick] gets to work.;[From.GetFirstNameWithNick] se met au travail.;;;;;;;;;;;;x
hellenic.7.b;I'm sorry, I simply can't spare the coin.;Je suis désolé, mais je n'ai pas l'argent.;;;;;;;;;;;;x
hellenic.8.desc;"As I suspected, the research has born fruit, my [Root.GetTitle]." [FromFrom.GetFirstNameWithNick] stands before your throne with bundles of schematics and formulae. "These results will improve our military.";"Comme je l'ai soupçonné, la recherche a porté ses fruits, mon/ma [Root.GetTitle]." [FromFrom.GetFirstNameWithNick] se trouve devant votre trône avec des ensembles de schémas et de formules. "Ces résultats amélioreront notre armée".;;;;;;;;;;;;x
hellenic.9.desc;"The research did not go where I expected, but I think the results will speak for themselves." [FromFrom.GetFirstNameWithNick] stands beside your desk with rolled up blueprints and maps, and several small crates of what appear to be trade goods. "The Economy can be improved somewhat, with the careful application of these results.";"La recherche n'a pas porté ses fruits, mais je pense que les résultats parleront eux-mêmes". [FromFrom.GetFirstNameWithNick] se trouve à côté de votre bureau avec des plans et des cartes enroulés, et plusieurs petites caisses de ce qui semble être des marchandises commerciales. "L'économie peut être légèrement améliorée, avec l'application minutieuse de ces résultats.";;;;;;;;;;;;x
