#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
title_acr_champion;Champion;Champion;Champion;;Campeón;;;;;;;;;x
title_acr_champion_desc;The person that this title is bestowed upon is considered to be the Champion of the Realm. There is surely no greater honour for mortal men to aspire to.;La personne à qui ce titre est décerné est considérée comme le champion du royaume. Aucun mortel ne saurait espérer titre plus honorable.;Die Person, die diesen Titel erhalten hat, wird als Champion des Reiches angesehen. Es gibt wahrlich keine größere Ehre für Sterbliche.;;La persona a la que se le otorga este título es considerada como el Campeón del Reino. No se puede aspirar a un honor mayor para los hombres mortales.;;;;;;;;;x
title_master_arms;Master of Arms;Maître des armes;;;;;;;;;;;;x
title_master_arms_desc;The Master of Arms is responsible for maintaining the production and storage of weapons and armor in the realm. An important and prestigious post.;Le maître des armes est responsable du maintien de la production et du stockage des armes et des armures dans le domaine. Un poste important et prestigieux.;;;;;;;;;;;;x
title_keeper_flock;Fylakasminos;Fylakasminos;;;;;;;;;;;;x
title_keeper_flock_desc;The "keeper of the flock" is responsible for the realm's herds of sacrificial animals. They manage the shepherds and priests who ensure the animals are raised according to the sacrificial requirements, as dictated by the gods. ;Les "gardien du troupeau" est responsable des troupeaux d'animaux sacrificiels du royaume. Ils gèrent les bergers et les prêtres qui s'assurent que les animaux sont élevés selon les besoins sacrificiels, tels que dictées par les dieux.;;;;;;;;;;;;x
title_hellanodikos;Hellanodikos;Hellanodikos;;;;;;;;;;;;x
title_hellanodikos_desc;The "judges of hellenes" are responsible for maintaining the integrity of athletic competitions. The hellanodikai collectively arrange the various games and events for grand competitions such as the Olympics, and more local tournaments. They are also responsible for judging the outcomes of the games, and are held to an impeccable standard of honesty and justice.;Les "juges des hellènes" sont responsables du maintien de l'intégrité des compétitions sportives. Les hellanodikai organisent collectivement les différents jeux et événements pour les grandes compétitions, comme les Jeux olympiques, et plus de tournois locaux. Ils sont également responsables de juger les résultats des jeux, et sont tenus à un niveau impeccable d'honnêteté et de justice.;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
HEAD_PRIEST_finnish_pagan_reformed;Pääpappi;Pääpappi;Pääpappi;;Pääpappi;;;;;;;;;x
HEAD_PRIESTESS_finnish_pagan_reformed;Pääpapitar;Pääpapitar;Pääpapitar;;Pääpapitar;;;;;;;;;x
HEAD_PRIEST_baltic_pagan_reformed;Kriwe;Kriwe;Kriwe;;Kriwe;;;;;;;;;x
HEAD_PRIESTESS_baltic_pagan_reformed;Kriwe Ponia;Kriwe Ponia;Kriwe Ponia;;Kriwe Ponia;;;;;;;;;x
HEAD_PRIEST_slavic_pagan_reformed;Hlava Knez;Hlava Knez;Hlava Knez;;Hlava Knez;;;;;;;;;x
HEAD_PRIESTESS_slavic_pagan_reformed;Hlava Knazka;Hlava Knazka;Hlava Knazka;;Hlava Knazka;;;;;;;;;x
HEAD_PRIEST_african_pagan_reformed;Kungo Hogon;Kungo Hogon;Kungo Hogon;;Kungo Hogon;;;;;;;;;x
HEAD_PRIESTESS_african_pagan_reformed;Musoo Hogon;Musoo Hogon;Musoo Hogon;;Musoo Hogon;;;;;;;;;x
HEAD_PRIEST_aztec_reformed;Quetzalcoatl;Quetzalcoatl;Quetzalcoatl;;Quetzalcoatl;;;;;;;;;x
HEAD_PRIESTESS_aztec_reformed;Quetzalcoatl;Quetzalcoatl;Quetzalcoatl;;Quetzalcoatl;;;;;;;;;x
###### Other stuff ;;;;;;;;;;;;;;x
TITAN;Titanic;Titanesque;;;;;;;;;;;;x
EXP_RELIGION;Expansionist Religion;Religion expansionniste;;;;;;;;;;;;x
EXP_RELIGION_HOME_TERRITORY;Expansionist Religion Home Territory;Territoire national de religion expansionniste;;;;;;;;;;;;x
DEATH_LOST_DESERT;became lost in the desert, and never returned;s'est perdu dans le désert, et n'est jamais revenu;;;;;;;;;;;;x
CTT_CRUSADE_PAGANIFIED;In a paganified world, Crusades can only be called if a player is Christian.;Dans un monde paganifié, les Croisades ne peuvent être appelées que si un joueur est chrétien.;;;;;;;;;;;;x
CTT_JIHAD_PAGANIFIED;In a paganified world, Jihads can only be called if a player is Muslim.;Dans un monde paganifié, les djihadistes ne peuvent être appelés que si un joueur est musulman.;;;;;;;;;;;;x
Actor;Actor;Acteur;;;;;;;;;;;;x
Actress;Actress;Actrice;;;;;;;;;;;;x
###### Misc keys for events;;;;;;;;;;;;;;x
ancrel.damn;Damn!;Merde !;;;;;;;;;;;;;x
ancrel.horrible;This is horrible!;C'est horrible !;;;;;;;;;;;;;x
ancrel.troublesome;Troublesome indeed...;Troublant, en effet ...;;;;;;;;;;;;;x
ancrel.that_bastard;Bastard...;Bâtard ...;;;;;;;;;;;;x
ancrel.bummer;That's disappointing...;C'est décevant ...;;;;;;;;;;;;x
ancrel.fantastic;That's fantastic!;C'est fantastique !;;;;;;;;;;;;x
ancrel.fool;That fool.;Ce fou.;;;;;;;;;;;;x
ancrel.well_done;Well done!;Bien joué !;;;;;;;;;;;;x
province_loses_prosperity_custom_tooltip;[Root.GetName] loses some of it's prosperity!;[Root.GetName] perd une partie de sa prospérité !;;;;;;;;;;;;x
province_prospers_custom_tooltip;[Root.GetName] becomes more prosperous!;[Root.GetName] deviens plus prospère !;;;;;;;;;;;;x
province_prospers_major_custom_tooltip;[This.GetName] becomes far more prosperous!;[This.GetName] devient beaucoup plus prospère !;;;;;;;;;;;;x
String_July;July;juillet;;;;;;;;;;;;;x
String_friendly_to_outsiders;how friendly the emperor is to outsiders.;à quel point l'empereur est amical avec les étrangers.;;;;;;;;;;;;;x
acr_weight_loss_small;You lose a little weight.;Vous perdez un peu de poids.;;;;;;;;;;;;;x
acr_weight_loss_medium;You lose weight.;Vous perdez du poids.;;;;;;;;;;;;;x
acr_weight_loss_large;You lose a great deal of weight.;Vous perdez beaucoup de poids.;;;;;;;;;;;;;x
acr_weight_gain_small;You gain a little weight.;Vous prenez un peu de poids.;;;;;;;;;;;;;x
acr_weight_gain_medium;You gain weight.;Vous prenez du poids.;;;;;;;;;;;;;x
acr_weight_gain_large;You gain a great deal of weight.;Vous prenez beaucoup de poids.;;;;;;;;;;;;;x
acr_weight_balance_small;You're weight gets a little healthier.;Votre poids devient un peu plus sain.;;;;;;;;;;;;;x
acr_weight_balance_medium;You're weight gets healthier.;Votre poids devient plus sain.;;;;;;;;;;;;;x
acr_weight_balance_large;You're weight gets a lot healthier.;Votre poids devient beaucoup plus sain.;;;;;;;;;;;;;x
###### Misc opinion modifiers;;;;;;;;;;;;;x
ancrel_honored_me;Honored Me;M'a honoré;;;;;;;;;;;;x
ancrel_dissapointed;Disappointed;Déçu;;;;;;;;;;;;x
ancrel_jealous;Jealous;Jaloux;;;;;;;;;;;;x
ancrel_pleased;Pleased;Content;;;;;;;;;;;;x
ancrel_furious;Furious;Furieux;;;;;;;;;;;;x
ancrel_grateful;Grateful;Reconnaissant;;;;;;;;;;;;x
ancrel_interesting;Interesting...;Intéressant...;;;;;;;;;;;;x
ancrel_shared_religious_experience;Shared a religious experience;Ont partagé une expérience religieuse;;;;;;;;;;;;x
paganify_the_world;Lets. Get. PAGAN!;DEVENONS-PAÏENS !;;;;;;;;;;;;x
paganify_the_world_desc;Convert all characters to a not Christian and not Muslim religion, based on culture. Does not affect religious heads, so the Caliphate remains. May bring older machines to their knees.;Convertir tous les personnages en une religion non chrétienne et non musulmane, fondée sur la culture. N'affecte pas les têtes religieuses, de sorte que le Califat reste. Peut amener des machines anciennes à genoux.;;;;;;;;;;;;x
ancrel.paganify.tooltip;Turn the world pagan by culture. This is mostly for development.;Transformer le monde païen par la culture. Ceci est principalement pour le développement.;;;;;;;;;;;;x
ancrel.9001.desc;Do you want to turn most of the world pagan? Be warned, nearly every single character will receive an event that converts their religion and that of their personal demesne. This may bring older computers to their knees. This is an unsupported feature primarily for development use!;Voulez-vous transformer la plupart des païens du monde ? Soyez averti, presque tous les personnages recevront un événement qui convertira leur religion et celle de leur possession personnelle. Cela peut amener les ordinateurs plus anciens à genoux. C'est une fonctionnalité non prise en charge principalement pour l'utilisation du développement !;;;;;;;;;;;;x
ancrel.9001.a;To the Old Gods!;Aux anciens dieux !;;;;;;;;;;;;x
ancrel.9002.desc;Congrats! You're Celtic Pagan!;Félicitation ! Vous êtes un païen celtique !;;;;;;;;;;;;x
ancrel.9003.desc;Congrats! You're Hellenic Pagan!;Félicitation ! Vous êtes un païen hellénique !;;;;;;;;;;;;x
ancrel.9004.desc;Congrats! You're Egyptian Pagan!;Félicitation ! Vous êtes un païen égyptien !;;;;;;;;;;;;x
ancrel.9005.desc;Congrats! You're West African Pagan!;Félicitation ! Vous êtes un païen africain de l'Ouest !;;;;;;;;;;;;x
ancrel.9006.desc;Congrats! You're Slavic Pagan!;Félicitation ! Vous êtes un païen slave !;;;;;;;;;;;;x
ancrel.9007.desc;Congrats! You're Norse Pagan!;Félicitation ! Vous êtes un païen nordique !;;;;;;;;;;;;x
ancrel.9008.desc;Congrats! You're Zoroastrian!;Félicitation ! Vous êtes un zoroastrien !;;;;;;;;;;;;x
ancrel.9009.desc;Congrats! You're Tengri Pagan!;Félicitation ! Vous êtes un païen tengri !;;;;;;;;;;;;x
ancrel.9012.desc;Congrats! You're a Titan Cultist!;Félicitation ! Vous êtes un adepte du culte des Titans !;;;;;;;;;;;;x
ancrel.9013.desc;Congrats! You're an Aten Pagan!;Félicitation ! Vous êtes un païen d'Aton !;;;;;;;;;;;;x
ancrel.9024.desc;It seems you've got an ancrel_oilworks, why don't I take that off your hands for the fair sum of 200g? I won't take no for an answer!;Il semble que vous ayez un ancrel_oilworks, pourquoi ne pas vous l'enlever de la main pour la juste somme de 200g ? Je n'accepterai pas un non pour une réponse !;;;;;;;;;;;;x
MNM.70400.c;This is too much!;C'est beaucoup trop !;;;;;;;;;;;;x
MNM.70400.c.tt;You leave the [Root.GetSocietyName];Vous quittez la/l'[Root.GetSocietyName];;;;;;;;;;;;x
must_not_fear_persecution;This character is too afraid of persecution to join.;Ce personnage a trop peur de la persécution pour se joindre.;;;;;;;;;;;;x
###### Holy Order Template Events and Decisions ;;;;;;;;;;;;;x
borrow_money_from_holy_order;Borrow Money from the [Root.primary_title.GetName];Emprunter de l'argent à [Root.primary_title.GetName];;;;;;;;;;;x
borrow_money_from_holy_order_desc;Take out a loan of 300g with [Root.primary_title.GetName]. They will want to be repaid eventually, and the church will disapprove of your debt.;Prendre un prêt de 300 or auprès de [Root.primary_title.GetName]. Ils voudront être remboursés un jour et l'Église désapprouvera de votre dette.;;;;;;;;;;;x
no_loans_or_expulsion;Cannot have an extant loan with the order, nor can the order have been expelled from the lands.;Il n'est pas possible d'avoir un prêt existant avec l'ordre, et l'ordre ne peut pas non plus avoir été expulsé des terres.;;;;;;;;;;;x
donate_money_to_holy_order;Donate Money to the [Root.primary_title.GetName];Donner de l'argent au [Root.primary_title.GetName];;;;;;;;;;;x
donate_money_to_holy_order_desc;Aid the [Root.primary_title.GetName] in their cause by donating 300g. They will appreciate this gesture, and other members of the faith are sure to notice your generosity as well.;Aidez le[ Root.primary_title.GetName] dans sa cause en donnant 300 or. Ils apprécieront ce geste, et les autres membres de la foi ne manqueront pas de remarquer votre générosité.;;;;;;;;;;;x
expel_holy_order;Expel the [Root.primary_title.GetName];Expulser le [Root.primary_title.GetName];;;;;;;;;;;x
expel_holy_order_desc;You can expel the [Root.primary_title.GetName] from your realm, seizing all titles and lands they hold there. This will prevent you from dealing with them in the future and damage the authority of [Root.Religion.GetName];Vous pouvez expulser le [Root.primary_title.GetName] de votre royaume, en saisissant tous les titres et terres qu'il détient. Cela vous empêchera de traiter avec eux à l'avenir et portera atteinte à l'autorité de [Root.Religion.GetName].;;;;;;;;;;;x
vassalize_holy_order;Vassalize Holy Order;Vassaliser l'ordre sacré;;;;;;;;;;;x
vassalize_holy_order_named;Vassalize the [Root.primary_title.GetName];Vassaliser le [Root.primary_title.GetName];;;;;;;;;;;x
vassalize_holy_order_desc;You can exert your authority over the [Root.primary_title.GetName], forcing them to recognize you as their liege.;Vous pouvez exercer votre autorité sur le [Root.primary_title.GetName], en le forçant à vous reconnaître comme suzerain.;;;;;;;;;;;x
ancrel.9101.desc;Your courtier, [From.GetBestName], has requested your leave to join the [holy_order.GetName] and fight for [From.GetReligionAdherent]s.;Votre courtisan, [From.GetBestName], a demandé votre permission de rejoindre le [holy_order.GetName] et de se battre pour [From.GetReligionAdherent]s.;;;;;;;;;;;x
ancrel.9101.a;Go, bring glory to [From.Religion.GetRandomGodName].;Allez, apportez la gloire à [From.Religion.GetRandomGodName].;;;;;;;;;;;x
ancrel.9101.a.tt;[From.GetFirstName] is pleased!;[From.GetFirstName] est ravi !;;;;;;;;;;;x
ancrel.9101.b;No, I forbid it!;Non, je l'interdis !;;;;;;;;;;;x
ancrel.9101.b.tt;[From.GetFirstName] is disappointed in your answer...;[From.GetFirstName] est déçu par votre réponse ...;;;;;;;;;;;x
ancrel.9107.desc;Greetings [Root.GetTitledFirstName], I hope this meets you well. I have learned of an excellent location to build a new fortress for the [holy_order.GetName] in [From.GetName]. We would of course compensate you for the land.\n\nWhat say you?;Salutations [Root.GetTitledFirstName], j'espère que cela vous plaira bien. J'ai appris l'existence d'un excellent emplacement pour construire une nouvelle forteresse pour le [saint_ordre.GetName] à [From.GetName]. On vous dédommagerait bien sûr pour la terre.\n\nQu'en dites-vous ?;;;;;;;;;;;x
ancrel.9107.a;Permission Granted;Permission accordée;;;;;;;;;;;x
ancrel.9107.b;I will do no such thing!;Je ne ferai rien de tel !;;;;;;;;;;;x
ancrel.9108.desc;The construction of [holy_order.GetName] new fortress in [GetName] is completed!;La construction de la nouvelle forteresse de [holy_order.GetName] dans [GetName] est terminée !;;;;;;;;;;;x
ancrel.9110.desc;The [From.GetTitle] have been expelled from your realm!;Les [From.GetTitle] ont été expulsés de votre royaume !;;;;;;;;;;;x
ancrel.9110.a;Good riddance!;Bon débarras !;;;;;;;;;;;x
ancrel.9112.desc;The [From.GetTitle] have received your generous donation!;Les [From.GetTitle] ont reçu votre généreux don !;;;;;;;;;;;x
ancrel.9116.desc;Greetings [Root.GetTitledFirstName], \nThe [holy_order.GetName] is willing to... forget, your outstanding debts. But you must send your [FromFrom.GetSonDaughter] [FromFrom.GetFirstName] to us to join our cause.;Salutations [Root.GetTitledFirstName], \nLe [holy_order.GetName] est prêt à.... oublier, vos dettes impayées. Mais vous devez nous envoyer votre [FromFrom.GetSonDaughter] [FromFrom.GetFirstName]  pour nous rejoindre dans notre cause.;;;;;;;;;;;x
ancrel.9116.a;[FromFrom.GetFirstName] will fight with honor.;[FromFrom.GetFirstName] combattra avec honneur.;;;;;;;;;;;x
ancrel.9116.b;Take the money, leave my [FromFrom.GetSonDaughter]!;Prenez l'argent, laissez mon [FromFrom.GetSonDaughter]!;;;;;;;;;;;x
ancrel.9116.c;I don't take demands from you!;Je ne prends pas de demandes de votre part !;;;;;;;;;;;x
ancrel.9118.desc;Your loan from the [holy_order.GetName] has been approved!;Votre prêt de [holy_order.GetName] a été approuvé !;;;;;;;;;;;x
ancrel.9120.desc;[From.GetFullName], [holy_order.GetRulerTitle] of the [holy_order.GetName], has recognised you as [From.GetHerHis] liege!;[From.GetFullName], [holy_order.GetRulerTitle] de [holy_order.GetName], vous a reconnu comme [De.GetHerHis] suzerain !;;;;;;;;;;;x
ancrel.9124.desc;[borrower.GetTitledFirstName], \n\nIn lieu of payment for your outstanding debt, we insist you grant us leave to construct a fortress in your lands.;[borrower.GetTitledFirstName], \n\nEn lieu de paiement pour votre dette impayée, nous insistons pour que vous nous autorisiez à construire une forteresse dans vos terres.;;;;;;;;;;;x
ancrel.9124.a;I suppose I have no choice...;Je suppose que je n'ai pas le choix ...;;;;;;;;;;;x
ancrel.9124.b;I have your money, now go!;J'ai votre argent, maintenant allez vous-en !;;;;;;;;;;;x
ancrel.9124.c;I refuse!;Je refuse !;;;;;;;;;;;x
ancrel.9125.desc;A fortress has been constructed in [Root.GetName] by the [holy_order.GetName].;Une forteresse a été construite dans [Root.GetName] par le [holy_order.GetName].;;;;;;;;;;;x
ancrel.9125.a;I see...;Je vois...;;;;;;;;;;;x
###### Generic Artifacts;;;;;;;;;;;;;x
wine_left_0;Poisoned Wine;Vin empoisonné;;;;;;;;;;;x
wine_left_0_desc;These bottles of otherwise acceptable wine have been infused with a, potentially deadly, poison.;Ces bouteilles de vin autrement acceptable ont été infusées avec un poison potentiellement mortel.;;;;;;;;;;;x
wine_left_1;Weak Wine;Vin faible;;;;;;;;;;;x
wine_left_1_desc;This wine is weak, both in flavor and alcohol. It is good for cooking and desperate drunks.;Ce vin est faible, à la fois dans la saveur et l'alcool. C'est bon pour la cuisine et les ivrognes désespérés.;;;;;;;;;;;x
wine_left_2;Common Wine;Vin moyen;;;;;;;;;;;x
wine_left_2_desc;These bottles contain average wine. It won't offend anyone, but it won't impress either.;Ces bouteilles contiennent du vin de qualité moyenne. Cela n'offensera personne, mais cela ne va pas non plus impressionner.;;;;;;;;;;;x
wine_left_3;Fine Wine;Bon vin;;;;;;;;;;;x
wine_left_3_desc;This wine is of a good quality, something all but the most particular pallete would enjoy.;Ce vin est d'une bonne qualité, ce que tous sauf les palets les plus particulières peuvent apprécier.;;;;;;;;;;;x
wine_left_4;Exquisite Wine;Vin exquis;;;;;;;;;;;x
wine_left_4_desc;This batch of wine is of surpassing quality, very few ever experience the pleasure of drinking a wine like this.;Ce lot de vin est de qualité supérieure, très peu connaissent le plaisir de boire un vin comme celui-ci.;;;;;;;;;;;x
wine_left_5;Perfect Wine;Vin parfait;;;;;;;;;;;x
wine_left_5_desc;These bottles are the pinnacle of wine-making. Skill alone could not produce such a draught, only divine intervention could provide the necessary circumstances.;Ces bouteilles sont le summum de la vinification. Seule une intervention divine peut fournir les circonstances nécessaires pour une telle cuvée, qui est impossible de produire seulement par compétence.;;;;;;;;;;;x
wine_right_0;Deadly Wine;Vin mortel;;;;;;;;;;;x
wine_right_0_desc;These bottles of otherwise acceptable wine have been infused with deadly poison.;Ces bouteilles de vin autrement acceptable ont été infusées de poison mortel.;;;;;;;;;;;x
wine_right_1;Fragrant Wine;Vin parfumé;;;;;;;;;;;x
wine_right_2;Heady Wine;Vin capiteux;;;;;;;;;;;x
wine_right_3;Tart Wine;Vin acide;;;;;;;;;;;x
wine_right_4;Potent Wine;Vin fort;;;;;;;;;;;x
wine_right_5;Spirited Wine;Vin vif;;;;;;;;;;;x
oil_left_0;Poisoned Oil;Huile empoisonnée;;;;;;;;;;;x
oil_left_1;Anointing Oil;Huile d'onction;;;;;;;;;;;x
oil_left_2;Cleansing Oil;Huile purifiante;;;;;;;;;;;x
oil_left_3;Perfumed Oil;Huile parfumée;;;;;;;;;;;x
oil_left_4;Delicate Oil;Huile délicat;;;;;;;;;;;x
oil_left_5;Pheromone Oil;Huile phéromone;;;;;;;;;;;x
oil_right_0;Rancid Oil;Huile rance;;;;;;;;;;;x
oil_right_1;Musky Oil;Huile musquée;;;;;;;;;;;x
oil_right_2;Floral Oil;Huile florale;;;;;;;;;;;x
oil_right_3;Woody Oil;Huile boisé;;;;;;;;;;;x
oil_right_4;Fruity Oil;Huile fruitée;;;;;;;;;;;x
oil_right_5;Rich Oil;Huile riche;;;;;;;;;;;x
