#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ancrel.3400.title;The First Academy Restored;;;;;;;;;;;;;x
ancrel.3400.desc;Centuries after Plato's Academy was shuttered by the Emperor Justinian, [From.GetTitledName] has restored the ancient center of learning to its former glory, establishing it as the center of Promethean philosophy and faith. The Scholarch of the First Academy will lead the Promethean faithful in religious and scholarly matters. This ushers in a new era of Promethean dominance!;;;;;;;;;;;;;x
ancrel.3400.a;Let it shine as a beacon of enlightenment!;;;;;;;;;;;;;x
ancrel.3400.b;Let its holy fires never darken!;;;;;;;;;;;;;x
ancrel.3400.c;Distressing...;;;;;;;;;;;;;x
CHRONICLE_FIRST_ACADEMY;[Root.GetFullName] rebuilt The First Academy and established a new Scholarch to lead the Promethean Faith.;;;;;;;;;;;;;x
ancrel.3402.desc;The province of [From.GetName], devestated after its conquest by your armies, has been slowly settled since then by people from your realm. The majority of its inhabitants are now [This.Culture.GetName] and [This.Religion.GetName]!;;;;;;;;;;;;;x
ancrel.3403.desc;Now that you've come of age, it is time to decide which of the three great philosophical disciplines will you adhere to. This is an important decision in the life of every Promethean. It is not to be made lightly, nor can it be changed on a whim.;;;;;;;;;;;;;x
ancrel.3403.a;Stoicism is my guide.;;;;;;;;;;;;;x
ancrel.3403.b;Skepticism is the way to enlightenment.;;;;;;;;;;;;;x
ancrel.3403.c;Epicureanism is the path to Henosis.;;;;;;;;;;;;;x
ancrel.3404.desc;If there is one thing all three schools of thought within our faith agree on, in substance if not degree, it is that we must always question. To that end, you have begun to question the teachings of your current school. To which of the other two shall you turn your thoughts?;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
ancrel.3411.title;Crotone Construction Begins;;;;;;;;;;;;;x
ancrel.3411.desc;Long has the ancient Pythagorean Academy at Crotone lain in ruins. But no more! You have invested significant resources into restoring this once great center of learning. From the ruins will arise a new Crotone Academy to bring enlightenment to the Western Mediterranean and spread the light of Prometheus' wisdom to all the world!;;;;;;;;;;;;;x
ancrel.3411.a;It will be the greatest Academy yet!;;;;;;;;;;;;;x
ancrel.3412.title;Crotone Academy of...?;;;;;;;;;;;;;x
ancrel.3412.desc;Your architects report that the work on Crotone is coming along famously, the foundations are solid and most of the support structures are complete. However, they wish to know what sort of Academy Crotone will be. This will determine what sort of facilities they will need to build, and it will determine what kind of students will come out of the school.\nWhat are your orders?;;;;;;;;;;;;;x
ancrel.3412.a;It will be a school of the arts!;;;;;;;;;;;;;x
ancrel.3412.b;It shall be a school of engineering!;;;;;;;;;;;;;x
ancrel.3412.c;It shall be a school of war!;;;;;;;;;;;;;x
ancrel.3413.title;Crotone Restored;;;;;;;;;;;;;x
ancrel.3413.desc;The Academy of Crotone is complete! Standing within the Shrine of the Brothers, you look out across the campus. Glittering marble and granite buildings arrayed in perfect geometry, carefully manicured lawns and shrubbery. Truly, this is form and function as one. As you light the Holy Fires of Prometheus in the shrine, opening the school for enrollment, the crowd cheers. This is a glorious day for Prometheans everywhere!;;;;;;;;;;;;;x
ancrel.3413.a;Let the enlightenment begin!;;;;;;;;;;;;;x
ancrel.3414.title;Academy Restored;;;;;;;;;;;;;x
ancrel.3414.desc;Word has reached you that the Ancient Academy of Crotone, located on a Sicilian peninsula, ruined for centuries, has been rebuilt by [From.GetTitledName]. Resplendent in polished marble and granite, it's buildings can be seen for miles. The campus itself is so massive as to practically be a city unto itself, and can support ten thousand students. This shining beacon of Promethean ideals will no doubt strengthen their grip on the Mediterranean.;;;;;;;;;;;;;x
ancrel.3414.a;Glory to the Brothers!;;;;;;;;;;;;;x
ancrel.3414.b;This is troubling...;;;;;;;;;;;;;x
# Unbinding Festival Events ;;;;;;;;;;;;;;x
ancrel.3450.desc;The Unbinding Festival is a time for all Prometheans to come together and celebrate their shared philosophy. To put aside their differences and celebrate the release of Prometheus, the Enlightened One. Soon people from all across [Root.PrimaryTitle.GetBaseName] will be traveling to the capitol for your festival.;;;;;;;;;;;;;x
ancrel.3450.a;We must begin preperations at once!;;;;;;;;;;;;;x
ancrel.3451.desc;The first decision you must make is how much to spend on the opening ceremony? Obviously, the more expensive the ceremony, the prestigious it will be for you.;;;;;;;;;;;;;x
ancrel.3451.a;Lets not waste, simply rent a theatre.;;;;;;;;;;;;;x
ancrel.3451.b;Build a nice stage in the city square.;;;;;;;;;;;;;x
ancrel.3451.c;Prometheus was chained to a mountain, I want a mountain!;;;;;;;;;;;;;x
ancrel.3452.desc;While the opening ceremony is the main event, the bulk of the Unbinding Festival is the festival itself. Firedancers and actors perform for the crowds while sculptors and painters create works of art in honor of our gods, and orators tell the stories of our past so we do not repeat our mistakes. Better performers will cost more coin. How much should we spend on the festivities?;;;;;;;;;;;;;x
ancrel.3452.a;Lets keep it simple, don't empty the treasury.;;;;;;;;;;;;;x
ancrel.3452.b;We don't want to be cheap, but lets not overdo it...;;;;;;;;;;;;;x
ancrel.3452.c;This will be a festival to remember!;;;;;;;;;;;;;x
ancrel.3453.desc;It is the ruler's place to decide who will play the parts of Prometheus and Heracles during the opening ceremony. Traditionally the role of Prometheus is filled by the [Root.job_spiritual.GetJobTitle], but you may choose yourself, someone of exceptional [Root.Religion.GetPietyName], or anyone at all to fill the role.;;;;;;;;;;;;;x
ancrel.3453.a;I shall take the role of Prometheus.;;;;;;;;;;;;;x
ancrel.3453.b;[Root.job_spiritual.GetTitledFirstName] shall perform this task.;;;;;;;;;;;;;x
ancrel.3453.c;I will choose someone of great [Root.Religion.GetPietyName] for this.;;;;;;;;;;;;;x
ancrel.3453.d;I don't really care... how about you?;;;;;;;;;;;;;x
ancrel.3454.desc;Now you must decide who shall play the role of Heracles. Traditionally this would be your [Root.job_marshal.GetJobTitle], but you can choose anyone you like.;;;;;;;;;;;;;x
ancrel.3454.a;I shall be mighty Heracles this time.;;;;;;;;;;;;;x
ancrel.3454.b;[Root.job_marshal.GetTitledFirstName] will do their duty.;;;;;;;;;;;;;x
ancrel.3454.c;I will choose someone prestigous...;;;;;;;;;;;;;x
ancrel.3454.d;I don't care, how about that one over there?;;;;;;;;;;;;;x
ancrel.unbinding_prometheus;The Unbinding of Prometheus;;;;;;;;;;;;;x
ancrel.3455.desc.prometheus;You lie on the false Mount Kazbek, chained to a stone. A puppet eagle is above you, its beak covered in gore. You hear the twang of a bow, and there at the edge of the stage is [festival_heracles.GetFirstName] as Heracles, wielding a bow and wearing a lions pelt. [festival_heracles.GetSheHeCap] recites the lines, "I have come to free you from your bondage, Enlightened One. Even Zeus can see now that your light can not be hidden forever." Heracles lifts his sword and breaks the chains.\nYou recite your lines, "Thank you Heracles, your name shall be honored for all time! Your labors have destroyed barbarism around the world, civilization owes you a great debt!";;;;;;;;;;;;;x
ancrel.3455.desc.heracles;You step onto the stage and see [festival_prometheus.GetFirstName] as Prometheus bound to the false mountain, the puppet eagle perched above with crimson beak. You fire your empty bow, and the bird drops to the ground at the sound of its twang.\nYou speak, "I have come to free you from your bondage, Enlightened One. Even Zeus can see now that your light can not be hidden forever." You lift your sword and break the chains. Prometheus recites [festival_prometheus.GetHerHis] lines, "Thank you Heracles, your name shall be honored for all time! Your labors have destroyed barbarism around the world, civilization owes you a great debt!" The crowds roar with cheering and applause!;;;;;;;;;;;;;x
