#CODE;ENGLISH;;;;;;;;;;;;;x
##### Decisions ;;;;;;;;;;;;;x;
prepare_titan_thysia;You begin preparations for the Thysia.;;;;;;;;;;;;;x
titan_thysia_begins;The priest readies his sickle...;;;;;;;;;;;;;x
EVTDESCancrel.3600;You have sent out summons to all of your vassals for the Great Thysia. Those that have been baptized, profess to follow the teachings of the Prophet, or follow the ways of Prometheus will have to offer gold to be exempted from this magnificent feast.;;;;;;;;;;;;;x
EVTOPTAancrel.3600;I can hardly wait!;;;;;;;;;;;;;x
EVTTOOLTIPancrel.3601;Summoned to Thysia.;;;;;;;;;;;;;x
EVTTOOLTIPancrel.3602;Exempted from Thysia.;;;;;;;;;;;;;x
EVTDESCancrel.3601;Your wise liege, [From.GetTitledFirstName], has summoned you and [From.GetHerHis] other vassals to a Thysia. There you will worship and give sacrifice to the titans before taking part in a great feast where you drink to their name.;;;;;;;;;;;;;x
EVTOPTAancrel.3601;I wouldn't miss it.;;;;;;;;;;;;;x
EVTDESCancrel.3602;Your liege, [From.GetTitledFirstName], remains trapped in [From.GetHerHis] heathen ways, and now [From.GetSheHe] has summoned all of [From.GetHerHis] vassals to a Great Thysia where [From.GetSheHe] intends to give sacrifice to the Titans. Since you do not practise their heathen religion, you will be expected to contribute gold in order to be exempted from this ceremony.;;;;;;;;;;;;;x
EVTOPTAancrel.3602;I suppose I have no choice in the matter.;;;;;;;;;;;;;x
EVTOPTBancrel.3602;As [This.Religion.GetRandomGodNameCap] is my witness, I shan't pay!;;;;;;;;;;;;;x
EVTTOOLTIPancrel.3603;Your payment is received.;;;;;;;;;;;;;x
EVTDESCancrel.3603;[From.GetTitledFirstName], your vassal, is stubborn in [From.GetHerHis] ways and speaks only of the mercy of [From.Religion.GetRandomGodNameCap], but [From.GetSheHe] has wisely decided to offer you some gold to be exempted from the Thysia.;;;;;;;;;;;;;x
EVTOPTAancrel.3603;As well [From.GetSheHe] should.;;;;;;;;;;;;;x
EVTTOOLTIPancrel.3636;Your refusal to pay is received.;;;;;;;;;;;;;x
EVTDESCancrel.3636;Despite having sworn you fealty, [From.GetTitledFirstName] refuses to offer gold in order to be exempted from the Thysia! According to [From.GetFirstName], [From.Religion.GetRandomGodName] would not forgive [From.GetHerHim] if [From.GetSheHe] contributed as much as a single copper to a heathen festival.;;;;;;;;;;;;;x
EVTOPTAancrel.3636;This insult will not be forgotten.;;;;;;;;;;;;;x
EVTDESCancrel.3604;The guests have arrived, and the time has come for the Thysia to begin! You gather outside the temple, and start by offering animals as sacrifice to the titans. While their meat is prepared for the feast that is to follow, the blood is sprinkled on statues of Kronos, Tethys, Hyperion, and the other titans, as well as on the worshippers themselves.;;;;;;;;;;;;;x
EVTOPTAancrel.3604;Now for the human sacrifice...;;;;;;;;;;;;;x
EVTDESCancrel.3605;The time has come for the Thysia held by [From.GetTitledFirstName] to begin! You gather outside the temple, and start by offering animals as sacrifice to the titans. While their meat is prepared for the feast that is to follow, the blood is sprinkled on statues of Kronos, Tethys, Hyperion and the other titans, as well as on the worshippers themselves.;;;;;;;;;;;;;x
EVTDESCancrel.3606;Although you have been told little, the noise from outside your dungeon is enough to make it clear that your captor, [Root.Host.GetTitledFirstName] is holding a thysia where [Root.Host.GetSheHe] will offer sacrifice in worship of the titans. Guards burst inside your cell and drag you away to the gallows outside the local temple... ;;;;;;;;;;;;;x
EVTOPTAancrel.3606;No! Not like this!;;;;;;;;;;;;;x
EVTDESCancrel.3610;[From.GetTitledFirstName] is brought up from your dungeons and escorted to the temple. [From.GetSheHe] is chained to the great stone altar. A small yellow pool forms between [From.GetFirstName]'s legs.;;;;;;;;;;;;;x
EVTOPTAancrel.3610;Great Kronos, we offer you this sacrifice...;;;;;;;;;;;;;x
EVTOPTBancrel.3610;No, I have changed my mind.;;;;;;;;;;;;;x
EVTDESCancrel.3611;[From.GetTitledFirstName] is brought up from your dungeons and escorted to the temple. As [From.GetFirstName] is chained to the great stone altar, [From.GetSheHe] steadies [From.GetHerselfHimself] and murmurs several passages that you recognize as being from the Christian holy book.;;;;;;;;;;;;;x
EVTOPTAancrel.3611;Where is your Blessed Virgin now, [From.GetFirstName]?;;;;;;;;;;;;;x
EVTOPTBancrel.3611;No, perhaps this is a bad idea...;;;;;;;;;;;;;x
