EVTDESC1600000;A storm has struck my fleet! Scores of soldiers and at least one of my commanders have been drowned by the raging waters.;Une tempête a frappé ma flotte ! Nombre de soldats et au moins un de mes commandants ont été noyés par les eaux enragées.;Ein Sturm hat meine Flotte versenkt! Zahlreiche Soldaten und mindestens einer meiner Befehlshabern sind in dem tobenden Wasser ertrunken.;;;;;;;;;;;x
EVTOPTA1600000;Disaster!;Quelle catastrophe !;Katastrophe!;;;;;;;;;;;x
EVTDESC6083;Perhaps it is a miracle - my old injury is beginning to feel a little better.;Peut-être que c'est un miracle - mon ancienne blessure commence à aller un peu mieux.;Vielleicht ist es ein Wunder - meine alte Verletzung beginnt zu heilen und ich fühle mich ein wenig besser.;;Tal vez es un milagro - de mi vieja lesión está empezando a sentir un poco mejor.;;;;;;;;;x
EVTDESC64200;I have grown increasingly attached to [Root.Spouse.GetFirstName], and though our marriage was merely a practical arrangement I wonder if I have now come to love [Root.Spouse.GetHerHim].;Je suis de plus en plus attaché à [Root.Spouse.GetFirstName], et bien que notre mariage n'ai été qu'un arrangement pratique je me demande si je n'en suis pas venu à aimer [Root.Spouse.GetHerHim].;Ich fühle mich immer mehr zu [Root.Spouse.GetFirstName] hingezogen, und das obwohl unsere Ehre eher zweckmäßig war bisher. Ich frage mich ob ich Liebe gegenüber [Root.Spouse.GetHerHim] empfinde.;;;;;;;;;;;x
EVTOPTA64200;This is a marriage of love;C'est un mariage d'amour;Das ist eine Ehe der Liebe;;;;;;;;;;;x
EVTOPTB64200;But all the other girls!;Mais toutes les autres filles !;Aber all die anderen Mädchen!;;;;;;;;;;;x
EVTOPTC64200;But all the other boys!;Mais tous les autres garçons !;Aber all die anderen Jungen!;;;;;;;;;;;x
EVTOPTD64200;I am not ready to commit fully to [Root.Spouse.GetHerHim];Je ne suis pas prêt(e) à m'engager complètement avec [Root.Spouse.GetFirstName].;Ich bin dazu nicht bereit mich völlig mit [Root.Spouse.GetHerHim] zu binden.;;;;;;;;;;;x
EVTDESC1007001;As I was sleeping, [From.GetTitledFirstName] broke into my bedchamber and put a dagger to my throat. I was forced out into the courtyard, where [From.GetHerHis] co-conspirators were waiting on fast horses. [From.GetTitledFirstName] now has me locked up in the basement of [From.GetHerHis] manor and is demanding that I give [From.GetHerHim] the land [From.GetSheHe] considers rightfully [From.GetHerHis]. If I refuse, [From.GetSheHe] is threatening to kill me...;Alors que je dormais, [From.GetTitledFirstName] a pénétré dans ma chambre et m'a mis une dague sous la gorge. J'ai été conduit jusque dans la cour, où [From.GetHerHis] co-conspirateurs attendaient sur des montures fraîches. [From.GetTitledFirstName] m'a désormais enfermé au sous-sol de [From.GetHerHis] manoir et m'a demandé de lui donner la terre qu'[From.GetSheHe] considère comme son droit légitime. Si je refuse, [From.GetSheHe] m'a menacé de me tuer...;Während ich schlief, brach [From.GetTitledFirstName] in meine Kammer ein und setze mir einen Dolch an die Kehle. Ich wurde in den Innenhof gebracht wo bereits [From.GetHerHis]e Mitverschwörer mit schnellen Pferden warteten. [From.GetTitledFirstName] kerkerte mich im Verlies von [From.GetHerHis] ein und verlangte, dass ich [From.GetHerHim] die Ländereien von [From.GetHerHim] an [From.GetSheHe] übergebe, die rechtmäßig [From.GetHerHis] gehören. Wenn ich mich weigere, droht [From.GetSheHe], mich zu töten.;;;;;;;;;;;x
EVTOPTA1007001;Take the land, just don't kill me!;Prend ces terres, ne me tue pas !;Nim mein Land , aber töte mich nicht !;;;;;;;;;;;x
