#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x,,,,
#Extracted from CK2Plus' "0_events.csv"
EVTDESC_Plus_412;[From.GetTitledFirstNameNoRegnal] owed tribute to [current_suzerain.GetTitledName], but that arrangement doesn't necessarily apply to you, [From.GetHerHis] heir. Of course, [current_suzerain.GetTitledFirstNameNoRegnal] might not agree with that idea...;[From.GetTitledFirstNameNoRegnal] owed tribute to [current_suzerain.GetTitledName], but that arrangement doesn't necessarily apply to you, [From.GetHerHis] heir. Of course, [current_suzerain.GetTitledFirstNameNoRegnal] might not agree with that idea...;[From.GetTitledFirstNameNoRegnal] owed tribute to [current_suzerain.GetTitledName], but that arrangement doesn't necessarily apply to you, [From.GetHerHis] heir. Of course, [current_suzerain.GetTitledFirstNameNoRegnal] might not agree with that idea...;;[From.GetTitledFirstNameNoRegnal] owed tribute to [current_suzerain.GetTitledName], but that arrangement doesn't necessarily apply to you, [From.GetHerHis] heir. Of course, [current_suzerain.GetTitledFirstNameNoRegnal] might not agree with that idea...;;;;;;;;;x
EVTOPTA_Plus_412;I will pay tribute to [current_suzerain.GetTitledFirstNameNoRegnal];I will pay tribute to [current_suzerain.GetTitledFirstNameNoRegnal];I will pay tribute to [current_suzerain.GetTitledFirstNameNoRegnal];;I will pay tribute to [current_suzerain.GetTitledFirstNameNoRegnal];;;;;;;;;x
EVTOPTB_Plus_412;[Root.PrimaryTitle.GetName] is no-one's tribute;[Root.PrimaryTitle.GetName] is no-one's tribute;[Root.PrimaryTitle.GetName] is no-one's tribute;;[Root.PrimaryTitle.GetName] is no-one's tribute;;;;;;;;;x
EVTDESC_Plus_413;Shortly following the death of [FromFrom.GetTitledName], an emissary has arrived in [Root.Capital.GetName] from [FromFrom.GetHerHis] heir, offering to renew the tribute from [From.PrimaryTitle.GetName] towards the [Root.PrimaryTitle.GetFullName]. Turn the emissary away, and [From.PrimaryTitle.GetName] will be free of our control...and our protection.;Shortly following the death of [FromFrom.GetTitledName], an emissary has arrived in [Root.Capital.GetName] from [FromFrom.GetHerHis] heir, offering to renew the tribute from [From.PrimaryTitle.GetName] towards the [Root.PrimaryTitle.GetFullName]. Turn the emissary away, and [From.PrimaryTitle.GetName] will be free of our control...and our protection.;Shortly following the death of [FromFrom.GetTitledName], an emissary has arrived in [Root.Capital.GetName] from [FromFrom.GetHerHis] heir, offering to renew the tribute from [From.PrimaryTitle.GetName] towards the [Root.PrimaryTitle.GetFullName]. Turn the emissary away, and [From.PrimaryTitle.GetName] will be free of our control...and our protection.;;Shortly following the death of [FromFrom.GetTitledName], an emissary has arrived in [Root.Capital.GetName] from [FromFrom.GetHerHis] heir, offering to renew the tribute from [From.PrimaryTitle.GetName] towards the [Root.PrimaryTitle.GetFullName]. Turn the emissary away, and [From.PrimaryTitle.GetName] will be free of our control...and our protection.;;;;;;;;;x
EVTOPTA_Plus_413;Naturally we will accept their tribute;Naturally we will accept their tribute;Naturally we will accept their tribute;;Naturally we will accept their tribute;;;;;;;;;x
EVTOPTB_Plus_413;[From.PrimaryTitle.GetName] is more trouble than it's worth;[From.PrimaryTitle.GetName] is more trouble than it's worth;[From.PrimaryTitle.GetName] is more trouble than it's worth;;[From.PrimaryTitle.GetName] is more trouble than it's worth;;;;;;;;;x
EVTDESC_Plus_414;Your emissary has returned from [From.Capital.GetName], explaining that [From.GetTitledFirstNameNoRegnal] cheerfully accepted [Root.PrimaryTitle.GetName]'s continued tribute towards the [From.PrimaryTitle.GetFullName].;Your emissary has returned from [From.Capital.GetName], explaining that [From.GetTitledFirstNameNoRegnal] cheerfully accepted [Root.PrimaryTitle.GetName]'s continued tribute towards the [From.PrimaryTitle.GetFullName].;Your emissary has returned from [From.Capital.GetName], explaining that [From.GetTitledFirstNameNoRegnal] cheerfully accepted [Root.PrimaryTitle.GetName]'s continued tribute towards the [From.PrimaryTitle.GetFullName].;;Your emissary has returned from [From.Capital.GetName], explaining that [From.GetTitledFirstNameNoRegnal] cheerfully accepted [Root.PrimaryTitle.GetName]'s continued tribute towards the [From.PrimaryTitle.GetFullName].;;;;;;;;;x
EVTDESC_Plus_415;Your emissary has returned from [From.Capital.GetName] with dire news: [From.GetTitledFirstName] has refused the offer of tribute, declaring that [Root.PrimaryTitle.GetName] is 'more trouble than it's worth'. You are freed from [From.PrimaryTitle.GetName]'s control, but also its protection.;Your emissary has returned from [From.Capital.GetName] with dire news: [From.GetTitledFirstName] has refused the offer of tribute, declaring that [Root.PrimaryTitle.GetName] is 'more trouble than it's worth'. You are freed from [From.PrimaryTitle.GetName]'s control, but also its protection.;Your emissary has returned from [From.Capital.GetName] with dire news: [From.GetTitledFirstName] has refused the offer of tribute, declaring that [Root.PrimaryTitle.GetName] is 'more trouble than it's worth'. You are freed from [From.PrimaryTitle.GetName]'s control, but also its protection.;;Your emissary has returned from [From.Capital.GetName] with dire news: [From.GetTitledFirstName] has refused the offer of tribute, declaring that [Root.PrimaryTitle.GetName] is 'more trouble than it's worth'. You are freed from [From.PrimaryTitle.GetName]'s control, but also its protection.;;;;;;;;;x
EVTOPTA_Plus_415;Does [From.GetSheHe] mean to attack us?;Does [From.GetSheHe] mean to attack us?;Does [From.GetSheHe] mean to attack us?;;Does [From.GetSheHe] mean to attack us?;;;;;;;;;x
EVTDESC_Plus_416;Shortly following the death of [FromFrom.GetTitledName], an emissary has arrived in [Root.Capital.GetName] from [FromFrom.GetHerHis] heir, declaring that [From.PrimaryTitle.GetName] shall no longer be subject to the [Root.PrimaryTitle.GetFullName] nor shall it offer any further tribute.;Shortly following the death of [FromFrom.GetTitledName], an emissary has arrived in [Root.Capital.GetName] from [FromFrom.GetHerHis] heir, declaring that [From.PrimaryTitle.GetName] shall not longer be subject to the [Root.PrimaryTitle.GetFullName] nor shall it offer any further tribute.;Shortly following the death of [FromFrom.GetTitledName], an emissary has arrived in [Root.Capital.GetName] from [FromFrom.GetHerHis] heir, declaring that [From.PrimaryTitle.GetName] shall not longer be subject to the [Root.PrimaryTitle.GetFullName] nor shall it offer any further tribute.;;Shortly following the death of [FromFrom.GetTitledName], an emissary has arrived in [Root.Capital.GetName] from [FromFrom.GetHerHis] heir, declaring that [From.PrimaryTitle.GetName] shall not longer be subject to the [Root.PrimaryTitle.GetFullName] nor shall it offer any further tribute.;;;;;;;;;x
EVTOPTA_Plus_416;Let [From.PrimaryTitle.GetName] go;Let [From.PrimaryTitle.GetName] go;Let [From.PrimaryTitle.GetName] go;;Let [From.PrimaryTitle.GetName] go;;;;;;;;;x
EVTOPTB_Plus_416;Is that so? We'll see about that!;Is that so? We'll see about that!;Is that so? We'll see about that!;;Is that so? We'll see about that!;;;;;;;;;x
EVTDESC_Plus_417;The recent death of [From.GetTitledFirstNameNoRegnal] leaves us with a decision to make: does [Root.PrimaryTitle.GetName] offer tribute to [From.GetHerHis] heir, [new_suzerain.GetTitledFirstNameNoRegnal], or does it declare itself free of both [From.PrimaryTitle.GetName]'s control and protection?;The recent death of [From.GetTitledFirstNameNoRegnal] leaves us with a decision to make: does [Root.PrimaryTitle.GetName] offer tribute to [From.GetHerHis] heir, [new_suzerain.GetTitledFirstNameNoRegnal], or does it declare itself free of both [From.PrimaryTitle.GetName]'s control and protection?;The recent death of [From.GetTitledFirstNameNoRegnal] leaves us with a decision to make: does [Root.PrimaryTitle.GetName] offer tribute to [From.GetHerHis] heir, [new_suzerain.GetTitledFirstNameNoRegnal], or does it declare itself free of both [From.PrimaryTitle.GetName]'s control and protection?;;The recent death of [From.GetTitledFirstNameNoRegnal] leaves us with a decision to make: does [Root.PrimaryTitle.GetName] offer tribute to [From.GetHerHis] heir, [new_suzerain.GetTitledFirstNameNoRegnal], or does it declare itself free of both [From.PrimaryTitle.GetName]'s control and protection?;;;;;;;;;x
EVTOPTA_Plus_417;We will offer tribute to [new_suzerain.GetTitledFirstNameNoRegnal];We will offer tribute to [new_suzerain.GetTitledFirstNameNoRegnal];We will offer tribute to [new_suzerain.GetTitledFirstNameNoRegnal];;We will offer tribute to [new_suzerain.GetTitledFirstNameNoRegnal];;;;;;;;;x
EVTOPTB_Plus_417;We will be tributes to [From.PrimaryTitle.GetName] no longer!;We will be tributes to [From.PrimaryTitle.GetName] no longer!;We will be tributes to [From.PrimaryTitle.GetName] no longer!;;We will be tributes to [From.PrimaryTitle.GetName] no longer!;;;;;;;;;x
EVTDESC_Plus_418;An emissary has arrived in [Root.Capital.GetName] from [From.GetTitledName], offering to extend the arrangement of tribute between [From.PrimaryTitle.GetName] and [FromFrom.GetTitledFirstNameNoRegnal] to yourself.;An emissary has arrived in [Root.Capital.GetName] from [From.GetTitledName], offering to extend the arrangement of tribute between [From.PrimaryTitle.GetName] and [FromFrom.GetTitledFirstNameNoRegnal] to yourself.;An emissary has arrived in [Root.Capital.GetName] from [From.GetTitledName], offering to extend the arrangement of tribute between [From.PrimaryTitle.GetName] and [FromFrom.GetTitledFirstNameNoRegnal] to yourself.;;An emissary has arrived in [Root.Capital.GetName] from [From.GetTitledName], offering to extend the arrangement of tribute between [From.PrimaryTitle.GetName] and [FromFrom.GetTitledFirstNameNoRegnal] to yourself.;;;;;;;;;x
EVTOPTA_Plus_418;Of course we shall accept;Of course we shall accept;Of course we shall accept;;Of course we shall accept;;;;;;;;;x
EVTOPTB_Plus_418;No, [From.PrimaryTitle.GetName] is more trouble than it's worth;No, [From.PrimaryTitle.GetName] is more trouble than it's worth;No, [From.PrimaryTitle.GetName] is more trouble than it's worth;;No, [From.PrimaryTitle.GetName] is more trouble than it's worth;;;;;;;;;x
EVTDESC_Plus_419;An emissary has arrived in [Root.Capital.GetName] from [From.GetTitledName], declaring that, with the death of [FromFrom.GetTitledFirstNameNoRegnal], [From.PrimaryTitle.GetName] shall no longer be subject to the [Root.PrimaryTitle.GetFullName] nor shall it offer any further tribute.;An emissary has arrived in [Root.Capital.GetName] from [From.GetTitledName], declaring that, with the death of [FromFrom.GetTitledFirstNameNoRegnal], [From.PrimaryTitle.GetName] shall no longer be subject to the [Root.PrimaryTitle.GetFullName] nor shall it offer any further tribute.;An emissary has arrived in [Root.Capital.GetName] from [From.GetTitledName], declaring that, with the death of [FromFrom.GetTitledFirstNameNoRegnal], [From.PrimaryTitle.GetName] shall no longer be subject to the [Root.PrimaryTitle.GetFullName] nor shall it offer any further tribute.;;An emissary has arrived in [Root.Capital.GetName] from [From.GetTitledName], declaring that, with the death of [FromFrom.GetTitledFirstNameNoRegnal], [From.PrimaryTitle.GetName] shall no longer be subject to the [Root.PrimaryTitle.GetFullName] nor shall it offer any further tribute.;;;;;;;;;x
