#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
emperor_iranian;Shahanshah;Shahanshah;Shahanshah;;Shahanshah;;;;;;;;;x
king_iranian;Shah;Shah;Shah;;Shah;;;;;;;;;x
king_female_iranian;Banebshen;Banebshen;Banebshen;;Banebshen;;;;;;;;;x
duke_iranian;Satrap;Satrape;Satrap;;Sátrapa;;;;;;;;;x
count_iranian;Marzban;Marzban;Marzban;;Marzban;;;;;;;;;x
baron_iranian;Argbadh;Argbadh;Argbadh;;Argbadh;;;;;;;;;x
barony_iranian;Arg;Arg;Arg;;Arg;;;;;;;;;x
barony_of_iranian;Arg of;Arg de;Arg von;;Arg de;;;;;;;;;x
county_iranian;Marzpanate;Marzpanat;Marzpanat;;Marzpanate;;;;;;;;;x
county_of_iranian;Marzpanate of;Marzpanat de;Marzpanat von;;Marzpanate de;;;;;;;;;x
duchy_iranian;Satrapy;Satrapie;Satrapy;;Satrapía;;;;;;;;;x
duchy_of_iranian;Satrapy of;Satrapie de;Satrap von;;Satrapía de;;;;;;;;;x
kingdom_iranian;Shahdom;Shahdom;Shahdom;;Shahdom;;;;;;;;;x
kingdom_of_iranian;Shahdom of;Shahdom de;Shahdom von;;Shahdom de;;;;;;;;;x
temple_baron_zoroastrian;Mobad;Mobad;Mobad;;Mobad;;;;;;;;;x
temple_barony_zoroastrian;Atashkada;Atashkada;Atashkada;;Atashkada;;;;;;;;;x
temple_barony_of_zoroastrian;Atashkada of;Atashkada de;Atashkada von;;Atashkada de;;;;;;;;;x
job_spiritual_zoroastrian_group;Dastur;Dastur;Dastur;;Dastur;;;;;;;;;x
job_spiritual_zoroastrian;Dastur;Dastur;Dastur;;Dastur;;;;;;;;;x
job_spymaster_zoroastrian;Spasaka;Spasaka;Spasaka;;Spasaka;;;;;;;;;x
job_chancellor_zoroastrian_group;Vuzorg Farmadar;Vuzorg Farmadar;Vuzorg Farmadar;;Vuzorg Farmadar;;;;;;;;;x
job_marshal_zoroastrian_group;Eran Spahbod;Eran Spahbod;Eran Spahbod;;Eran Spahbod;;;;;;;;;x
job_treasurer_zoroastrian_group;Ho Tokhshan Bod;Ho Tokhshan Bod;Ho Tokhshan Bod;;Ho Tokhshan Bod;;;;;;;;;x
undergo_cleansing_ritual;Undergo Cleansing ritual (Bareshnum);;;;;;;;;;;;;x
undergo_cleansing_ritual_desc;Pure body leads to pure heart which leads to pure spirit.;;;;;;;;;;;;;x
convert_to_zoroastrianism;Convert to Zoroastrianism;;;;;;;;;;;;;x
convert_to_zoroastrianism_desc;Convert to the faith of my ancestral forefathers!;;;;;;;;;;;;;x
EVTNAME1000094001;Help in fighting the local bandits;;;;;;;;;;;;;x
EVTDESC1000094001;You find yourself touring an impoverished province, when word reaches you of a band of ruffians terrorizing local farmers. You remember Zarathustra preaching not only to live righteously but to actively fight evil whenever one can.;;;;;;;;;;;;;x
EVTOPTA1000094001;Hunt them down yourself;;;;;;;;;;;;;x
EVTOPTB1000094001;Send a squad of your guards;;;;;;;;;;;;;x
EVTOPTC1000094001;Let the locals handle it themselves;;;;;;;;;;;;;x
EVTNAME1000094002;Rebuild a local mosque?;;;;;;;;;;;;;x
EVTDESC1000094002;A petition came today from your Muslim vassals to help them rebuild their mosque destroyed in a recent fire. Will you choose the path of tolerance chosen by many of the famous Zoroastrian Shahs of old, or will you ignore those not following the teachings of Zarathustra?;;;;;;;;;;;;;x
EVTOPTA1000094002;Help them;;;;;;;;;;;;;x
EVTOPTB1000094002;Ignore their plight;;;;;;;;;;;;;x
EVTNAME1000094003;Sedreh Pushi ritual;;;;;;;;;;;;;x
EVTDESC1000094003;Today I partake in Sedreh Pushi, an ancient initiation ritual. Form this day on I will be a proud member of the Zoroastrian flock;;;;;;;;;;;;;x
EVTOPTA1000094003;Ask my father for advice;;;;;;;;;;;;;x
EVTNAME1000094004;Sedreh Pushi ritual;;;;;;;;;;;;;x
EVTDESC1000094004;Today your child partakes in a Sedreh Pushi, an initiation ceremony. [From.GetSheHe] will don a shirt (sudreh), girdle (kusti) and a covering for the head and begin a new life as a member of the Zoroastrian flock. You can use this opportunity to teach [From.GetHerHim] something about your faith.;;;;;;;;;;;;;x
EVTOPTA1000094004;Talk to [From.GetHerHim] about Asha, righteousness;;;;;;;;;;;;;x
EVTOPTB1000094004;Talk to [From.GetHerHim] about Khshatr, divine power;;;;;;;;;;;;;x
EVTOPTC1000094004;Talk to [From.GetHerHim] about Armaiti, devotion;;;;;;;;;;;;;x
EVTOPTD1000094004;Talk to [From.GetHerHim] about Vohu Manah, holy spirit;;;;;;;;;;;;;x
EVTOPTE1000094004;I have nothing to teach [From.GetHerHim];;;;;;;;;;;;;x
zoroastrian_tolerance;Tolerant to Muslims;;;;;;;;;;;;;x
zoroastrian_cleansing;Recently underwent cleansing ritual;;;;;;;;;;;;;x
zoroastrian_sacrifice_mithra;Made a large sacrifice to Mithra;;;;;;;;;;;;;x
zoroastrian_sacrifice_parendi;Made a large sacrifice to Parendi;;;;;;;;;;;;;x
zoroastrian_sacrifice_chisti;Made a large sacrifice to Chisti;;;;;;;;;;;;;x
make_sacrifice_mithra;Make a large sacrifice to Mithra;;;;;;;;;;;;;x
make_sacrifice_parendi;Make a large sacrifice to Parendi;;;;;;;;;;;;;x
make_sacrifice_chisti;Make a large sacrifice to Chisti;;;;;;;;;;;;;x
make_sacrifice_mithra_desc;Mithra is a divinity associated with war.;;;;;;;;;;;;;x
make_sacrifice_parendi_desc;Parendi is a divinity associated with riches.;;;;;;;;;;;;;x
make_sacrifice_chisti_desc;Chisti is a divinity associated with wisdom.;;;;;;;;;;;;;x
title_dregvant;Dregvant;;;;;;;;;;;;;x
title_dregvant_desc;Publicly proclaim him as the Wicked one - the man who yielded to the temptation of Druj.;;;;;;;;;;;;;x
title_sraoshavarez;Sraoshavarez;;;;;;;;;;;;;x
title_sraoshavarez_desc;Master of the rituals;;;;;;;;;;;;;x
title_ashavan;Ashavan;;;;;;;;;;;;;x
title_ashavan_desc;Publicly proclaim him as the Righteous one - the man who follows the path of Asha.;;;;;;;;;;;;;x
zurvanism;Zurvanism;;;;;;;;;;;;;x
manicheism;Manicheism;;;;;;;;;;;;;x
title_shapsheraz;Shapsheraz;;;;;;;;;;;;;x
title_shapsheraz_desc;Carrier of a ceremonial sword in the court ;;;;;;;;;;;;;x
title_astrologer;Court Astrologer;;;;;;;;;;;;;x
title_astrologer_desc;The reader of stars, helps to make tough decision;;;;;;;;;;;;;x
title_huntsman;Chief Huntsman;;;;;;;;;;;;;x
title_huntsman_desc;The one that leads the royal hunts;;;;;;;;;;;;;x
d_zarathushtrotema;Zarathushtrotema;;;;;;;;;;;;;x
d_zarathushtrotema_adj;Zarathushtroteman;;;;;;;;;;;;;x
reaorganize_zoroastrianism;Reorganize the religious hierarchy;;;;;;;;;;;;;x
reaorganize_zoroastrianism_desc;Rebuild the religous hierarchy of old by appointing a head to Zoroastrian church - Zorothustraema;;;;;;;;;;;;;x
ZARATHUSHTROEMA;Zarathushtrotema;;;;;;;;;;;;;x
ZARATHUSHTROEMA_FOA;The most wise;;;;;;;;;;;;;x
GOD_SPENTA_MAINYU;Spenta Mainyu;;;;;;;;;;;;;x
mazdakism;Mazdakism;;;;;;;;;;;;;x
city_baron_zoroastrian_group;Dihqan;;;;;;;;;;;;;x
