MZ1;All the single ladies, put your hands up;;;;;;;;;;;x
MZ2;I liked it, so I put a ring on it;;;;;;;;;;;x
MZ3;Tastes good man;;;;;;;;;;;x
MZ4;Can't withstand that bacon;;;;;;;;;;;x
MZ5;I'll do it my way;;;;;;;;;;;x
MZ6;This is the way man is meant to live.;;;;;;;;;;;x
MZ7;I think my addition looks the best!;;;;;;;;;;;x
MZ8;My body, my choice!;;;;;;;;;;;x
MZ9;Man, was I was missing out!;;;;;;;;;;;x
MZ10;Such gullible fools!;;;;;;;;;;;x
MZ11;Asha makes me a better man!;;;;;;;;;;;x
MZ12;Asha is not the best policy...;;;;;;;;;;;x
