#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
Yes;Yes;;;;Sí;;;;;;;;;x;
No;No;;;;No;;;;;;;;;x;
meneth.0.desc;Our family has assimilated the local culture.;;;;Nuestra familia ha asimilado la cultura local.;;;;;;;;;x;
meneth.0.a;Assimilate the local culture;;;;Asimilar la cultura local;;;;;;;;;x;
meneth.0.b;Do nothing;;;;No hacer nada;;;;;;;;;x;
meneth.1.desc;I've assimilated the local culture.;;;;He asimilado la cultura local.;;;;;;;;;x;
meneth.1.a;Assimilate the local culture;;;;Asimilar la cultura local;;;;;;;;;x;
meneth.1.b;Do nothing;;;;No hacer nada;;;;;;;;;x;
meneth.100.desc;It's dangerous to go alone! Take this piety!;;;;¡Es peligroso estar solo! ¡Toma esta piedad!;;;;;;;;;x;
meneth.100.a;Free piety! Thanks;;;;¿Piedad gratis? ¡Gracias!;;;;;;;;;x;
meneth.101.desc;The great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Shiite faith!;;;;;;;;;;;;;x
meneth.200.name;Project Balance;;;;Proyecto Equilibrio;;;;;;;;;x;
meneth.200.desc;Thank you for choosing Project Balance. PB is a minimalist mod with maximum impact. We aim for consistency with vanilla mechanics and fix, improve, or extend them rather than replace them. We make CKII more enjoyable, challenging, and historically plausible.\n\nOptionally, choose a scenario customization decision at the top of the intrigue menu (before unpausing!). Check the "Is war possible?" decisions to see if you meet the requirements for different wars.\n\nCheck our forum at ParadoxPlaza to report bugs or offer feedback. Enjoy,\nMeneth - Creator (pb <at> meneth.com)\nzijistark - Co-Developer (zijistark <at> gmail.com)\n;;;;Gracias por elegir el Proyecto Equilibrio (Project Balance). PB es un mod minimalista con un gran impacto. Intentamos mantener la consistencia con las mecánicas originales y repararlas, mejorarlas, y extenderlas en lugar de cambiarlas por otras. Ahora CKII es más históricamente plausible y entretenido.\nOpcionalmente, puedes usar una decisión de intriga para personalizar tu escenario (¡hazlo antes de quitar la pausa!). Comprueba la decisión “Mostrar requisitos de guerra” para ver las condiciones de cada guerra.\nInforma de errores o danos tu opinión en nuestro foro en ParadoxPlaza. Disfrútalo, \nMeneth – Fundador (pb <at> meneth.com)\nzijistark – Co-desarrollador (zijistark <at> gmail.com)\n;;;;;;;;;x;
meneth.200.a;OK;;;;OK;;;;;;;;;x;
meneth.201.desc;Sudden Death;;;;Muerte súbita;;;;;;;;;x;
meneth.201.a;Seems I am no longer needed in this cruel world.;;;;Parece que ya no soy necesario en este mundo cruel.;;;;;;;;;x;
EVTDESC55000;Populace embraces your culture.;Populace embraces your culture.;Populace embraces your culture.;;El populacho asume tu cultura.;;;;;;;;;x;
pb_crusades.1.desc;I've just won a kingdom in a Crusade. I could choose to keep the kingdom for myself, or I could give it to someone else.;;;;Acabas de ganar un reino en una cruzada. Puedes elegir quedártelo o dárselo a alguien más.;;;;;;;;;x;
pb_crusades.1.a;Keep it for myself.;;;;Quedármelo.;;;;;;;;;x;
pb_crusades.1.b;You shouldn't be seeing this button; you're not a bot.;;;No deberías ver este botón si no eres un robot.;;;;;;;;;;x
pb_crusades.1.c;Give it to my son.;;;;Dárselo a mi hijo.;;;;;;;;;x;
pb_crusades.1.d;Give it to my brother.;;;;Dárselo a mi hermano.;;;;;;;;;x;
pb_crusades.1.e;Give it to a close relative.;;;;Dárselo a un pariente cercano.;;;;;;;;;x;
pb_crusades.1.f;Give it to a dynasty member.;;;;Dárselo a un miembro de mi dinastía.;;;;;;;;;x;
pb_crusades.1.g;Give it to someone from my realm.;;;;Dárselo a alguien de mi reino.;;;;;;;;;x;
meneth.205.desc;Feeling little loyalty to their far off ruler, the peasant rebels of [Root.GetName] desire to align with a nearby ruler instead!;;;;Sintiendo escasa lealtad por su lejano gobernante, los campesinos rebeldes de [Root.GetName] ¡desean unirse a un gobernante más próximo!;;;;;;;;;x;
meneth.206.desc;The pious are rewarded for their efforts.;;;;Los píos serán recompensados por sus cuitas.;;;;;;;;;x;
meneth.206.a;OK;;;;OK;;;;;;;;;x;
meneth.208.desc;For whatever reason, you hold a kingdom or empire that has no Internal Peace law. Perhaps you recently formed an empire, and the game thus didn't give you Emperor's Peace, or perhaps you're an emperor who formed a kingdom. Either way, this event should fix that for you.;;;;Por alguna razón tienes un reino o imperio sin ley de paz del reino. Quizás formaste el imperio hace poco, o quizás creaste un reino siendo emperador. En cualquier caso, este evento debería repararlo.;;;;;;;;;x;
meneth.209.desc;It appears that refusing the Pope's request was a questionable decision. He has retaliated by excommunicating me.;;;;Parece ser que rechazar al Papa no fue una buena idea. ¡Ha decidido excomulgarte!;;;;;;;;;x;
meneth.209.a;We are excommunicated;;;;Estás excomulgado;;;;;;;;;x;
meneth.210.desc;I have been excommunicated due to my war against the Papacy.;;;;Has sido excomulgado debido a nuestra guerra contra el Papado.;;;;;;;;;x;
meneth.210.a;So be it.;;;;;;;;;;;;;x
meneth.212.desc;You usually shouldn't be seeing this event, but for whatever reason the game thinks you're still at a tournament despite it being over already. This event fixes that, so you can hold tournaments.;;;;No deberías ver este evento. Si por alguna razón el juego piensa que aún sigues en un torneo cuando éste ha acabado, este evento debería solventarlo.;;;;;;;;;x;
meneth.213.desc;[FromFrom.GetTitledFirstName] has requested an exchange of prisoners. [FromFrom.GetSubjectPronoun] wants [From.GetTitledFirstName] released, and will in exchange release one member of our dynasty from their dungeons.;;;;[FromFrom.GetTitledFirstName] ha solicitado un intercambio de prisioneros. [FromFrom.GetSubjectPronoun] quiere que [From.GetTitledFirstName] sea liberado, y ofrece a cambio liberar a un miembro de tu dinastía de sus mazmorras.;;;;;;;;;x;
meneth.213.a;I accept the offer.;;;;;;;;;;;;;x
meneth.213.b;I refuse.;;;;;;;;;;;;;x
meneth.214.desc;[From.GetTitledFirstName] has agreed to release [FromFrom.GetTitledFirstName], and we've in turn released one of their dynasty members.;;;;[From.GetTitledFirstName] ha aceptado liberar a [FromFrom.GetTitledFirstName], y a cambio hemos liberado a un miembro de su dinastía.;;;;;;;;;x;
meneth.215.desc;[From.GetTitledFirstName] has not agreed to release [FromFrom.GetTitledFirstName].;;;;[From.GetTitledFirstName] no ha aceptado liberar a [FromFrom.GetTitledFirstName].;;;;;;;;;x;
meneth.217.desc;The laws of your realm prevent you from instituting anything but minimal obligations from your vassals. Your demesne laws have therefore been returned to minimum.;;;;Las leyes del reino te impiden instituir deberes mayores a tus vasallos. Por tanto, las leyes de tu heredad han reducido los deberes al mínimo también.;;;;;;;;;x;
meneth.219.desc;It is time for a faction meeting. We will determine what action to take, if any, once we know how everyone feels about our liege's rule.;;;;Es hora de que la facción se reúna. Decidiremos qué acción tomar, si acaso se toma, una vez sepamos la opinión de cada uno sobre el gobierno de nuestro señor.;;;;;;;;;x;
meneth.220.desc;A faction meeting has begun, and the first point on the agenda is to determine how the faction as a whole feels about [Root.Liege.GetTitledFirstName]'s rule. What is your opinion?;;;;La asamblea de la facción ha comenzado. El primer punto del orden es conocer la opinión sobre el gobierno de [Root.Liege.GetTitledFirstName]. ¿Cuál es tu opinión?;;;;;;;;;x;
meneth.220.a;Overall, I'm pleased with [Root.Liege.GetHerHis] rule;;;;En general, estoy contento con el gobierno de [Root.Liege.GetTitledFirstName];;;;;;;;;x;
meneth.220.b;No opinion;;;;Prefiero no contestar;;;;;;;;;x;
