#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#Russian titles;;;;;;;;;;;;;;x
king_russian;Grand Duke;Grand Duke;Grand Duke;;Archiduque;;;;;;;;;x
king_female_russian;Grand Duchess;Grand Duchess;Grand Duchess;;Archiduquesa;;;;;;;;;x
#Female bishop/burgher titles;;;;;;;;;;;;;;x
temple_emperor_female_christian;Empress-Bishop;Empereur évêque;Kaiser-Bischof;;Emperatriz arzobispa;;;;;;;;;x
temple_king_female_catholic;Queen-Bishop;Roi évêque;König-Bischof;;Reina arzobispa;;;;;;;;;x
temple_king_female_orthodox;Queen-Bishop;Roi évêque;König-Bischof;;Reina matriarca;;;;;;;;;x
temple_duke_female_catholic;Princess-Archbishop;Prince archevêque;Prinz-Erzbischof;;Princesa arzobispa;;;;;;;;;x
temple_duke_female_orthodox;Princess-Archbishop;Prince archevêque;Prinz-Erzbischof;;Princesa matriarca;;;;;;;;;x
temple_count_female_catholic;Princess-Bishop;Prince évêque;Prinz-Bischof;;Princesa obispa;;;;;;;;;x
city_emperor_female;Grand Princess;Grand prince;Grand Prinz;;Archidoguesa;;;;;;;;;x
temple_emperor_christian;Emperor-Bishop;Empereur évêque;Kaiser-Bischof;;Emperador arzobispo;;;;;;;;;x

