#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_italy;Italia;;;;Italia;;;;;;;;;x
e_italy_adj;Italian;;;;Italiano;;;;;;;;;x
e_abyssinia;Abyssinia;;;;Abisinia;;;;;;;;;x
e_abyssinia_adj;Ethiopian;;;;Etíope;;;;;;;;;x
e_germany;Germania;;;;Alemania;;;;;;;;;x
e_germany_adj;German;;;;Alemán;;;;;;;;;x
e_poland_lithuania;Poland-Lithuania;;;;Polonia-Lituania;;;;;;;;;x
e_poland_lithuania_adj;Polish;;;;Polaco;;;;;;;;;x
e_russia;Rus;;;;Rus;;;;;;;;;x
e_arabia;Arabia;;;;Arabia;;;;;;;;;x
e_france;France;;;;Francia;;;;;;;;;x
k_sunni;The Sunni Caliphate;Le Califat sunnite;Das Sunni-Kalifat;;El califato Suni;;;;;;;;;x
k_sunni_adj;Caliphal;califal;Kalifen-;;Califal;;;;;;;;;x
k_nikaea;Nikaea;Nicée;Nikäa;;Nicea;;;;;;;;;x
k_nikaea_adj;Nikaean;nicéen;Nikäer;;Niceno;;;;;;;;;x
k_epirus;Epirus;Épire;Epirus;;Épiro;;;;;;;;;x
k_epirus_adj;Epirotian;épirote;Epirotischer;;Epirota;;;;;;;;;x
k_thessalonika;Thessalonika;Thessalonique;Thessalonika;;Tesalónica;;;;;;;;;x
k_thessalonika_adj;Thessalonian;thessalonicien;Thessalonikischer;;Tesalonicense;;;;;;;;;x
k_novgorod;Novgorod;Novgorod;Nowgorod;;Nóvgorod;;;;;;;;;x
k_novgorod_adj;Novgorodian;novgorodien;Nowgoroder;;Novgorodiense;;;;;;;;;x
k_kiev;Kiev;Kiev;Kiew;;Kiev;;;;;;;;;x
k_kiev_adj;Kievan;kiévien;Kiewer;;Kievita;;;;;;;;;x
k_crimea;Crimea;Crimée;Krim;;Crimea;;;;;;;;;x
k_crimea_adj;Crimean;criméen;Krim;;Crimeo;;;;;;;;;x
k_alania;Alania;Alanie;Alania;;Alania;;;;;;;;;x
k_alania_adj;Alanian;alanien;Alanischer;;Noroseto;;;;;;;;;x
k_saxony;Saxony;Saxe;Sachsen;;Sajonia;;;;;;;;;x
k_saxony_adj;Saxon;saxon;Sächsischer;;Sajona;;;;;;;;;x
k_spain;Spain;;;;España;;;;;;;;;x
k_spain_adj;Spanish;;;;Español;;;;;;;;;x
k_galicia;Galicia;Galice;Galizien;;Galicia;;;;;;;;;x
k_galicia_adj;Galician;galicien;Galizischer;;Gallega;;;;;;;;;x
k_iceland;Iceland;Islande;Island;;Islandia;;;;;;;;;x
k_iceland_adj;Icelandic;Islandaise;Isländischer;;Islandesa;;;;;;;;;x
k_cilicia;Cilicia;;;;Cilicia;;;;;;;;;x
k_cilicia_adj;Cilician;;;;Cílico;;;;;;;;;x
k_anatolia;Iconium;;;;Iconio;;;;;;;;;x
k_oman;Oman;;;;Omán;;;;;;;;;x
k_algeria;Algeria;;;;Algeria;;;;;;;;;x
k_tunisia;Tunisia;;;;Túnez;;;;;;;;;x
k_coptic;Coptic Papacy;;;;Papado Copto;;;;;;;;;x
d_bulgaria;Bulgaria;;;;Bulgaria;;;;;;;;;x
