convert_to_spouse_sethian;Convert to Sethianism;;;;;;;;;;;;x
convert_to_spouse_sethian_desc;The pillow talk of a spouse or concubine can be very persuasive. My spouse says I am asleep and a serpent can wake me up. Am I really a sheep, as she claims? Am I truly ignorant of the truth? I want to believe...;;;;;;;;;;;;x
convert_to_spouse_ebionotes;Become Ebionaioi;;;;;;;;;;;;x
convert_to_spouse_ebionites_desc;The pillow talk of a spouse or concubine can be very persuasive. If the White Christ is the savior of the earth, and also one of the children of Israel, why did His followers later forsake the laws of Israel? Indeed, the Ebionaioi have a point...;;;;;;;;;;;;;x
convert_to_spouse_antinomianism;Convert to Antinomianism;;;;;;;;;;;;x
convert_to_spouse_antinomianism_desc;The pillow talk of a spouse or concubine can be very persuasive. A religion where I can sin without consequence? Now that's a religion I'd like to serve!;;;;;;;;;;;;;x
convert_to_spouse_confucianism;Follow Confuicius;;;;;;;;;;;;x
convert_to_spouse_confucianism_desc;The pillow talk of a spouse or concubine can be very persuasive. The great philosopher, Confucius, was without a doubt a brilliant and wise man. Should I devote my life to his creedo?;;;;;;;;;;;;;x
convert_to_spouse_taoism;Embrace Taoism;;;;;;;;;;;;x
convert_to_spouse_taoism_desc;The pillow talk of a spouse or concubine can be very persuasive. A world of peace, abstinence from violence, and goodwill to men is a radical departure from the Old Gods, but in a way, a life of pacifism seems... right.;;;;;;;;;;;;;x
convert_to_spouse_mimamsa;Convert to Mimamsanism;;;;;;;;;;;;x
convert_to_spouse_mimamsa_desc;The pillow talk of a spouse or concubine can be very persuasive. The monasts of the Mimamsa church are without a doubt enlightened. Should I follow their teachings and forsake my gods?;;;;;;;;;;;;;x
convert_to_spouse_georgian_orthodox;Embrace Kartvelianism;;;;;;;;;;;;x
convert_to_spouse_georgian_orthodox_desc;The pillow talk of a spouse or concubine can be very persuasive. The Georgian Church is on its last legs and seems to soon be absorbed by a different sect of the White Christ. Yet, I admire their unique practices and beliefs, and am impressed by the holdouts' devotion. Perhaps I should embrace this faith and save it from extinction...;;;;;;;;;;;;;x
convert_to_spouse_wahhabi;Convert to Wahhabism;;;;;;;;;;;;x
convert_to_spouse_wahhabi;The pillow talk of a spouse or concubine can be very persuasive. This sect of the Prophet's doctrines is extremely aggressive and vicious in its opposition to all other "lesser" faiths, including interpretations of its own. This sounds like a religion the Old Gods would have smiled upon...;;;;;;;;;;;;;x
convert_to_spouse_egyptian_pagan;Embrace Kemetism;;;;;;;;;;;;x
convert_to_spouse_egyptian_pagan_desc;The pillow talk of a spouse or concubine can be very persuasive. The pharoahs of the shifting sands built one of the greatest empires the world has ever known, and their monuments have lasted eons. Perhaps those great feats are the blessings from their pantheon?;;;;;;;;;;;;;x
convert_to_spouse_aten_pagan;Convert to Atenism;;;;;;;;;;;;;x
convert_to_spouse_aten_pagan;The pillow talk of a spouse or concubine can be very persuasive. Combining all the blessings and prestige of the pharaohs of the shifting sands with the simplicity of monotheism is an alluring concept. Should I embrace it?;;;;;;;;;;;;;x
convert_to_spouse_melchisedechianism;Convert to Melchisedechianism;;;;;;;;;;;;;x
convert_to_spouse_melchisedechianism_desc;The pillow talk of a spouse or concubine can be very persuasive. Melchizedek was the one man the patriarch of Israel ever gave his wealth out to. Perhaps that man was more than just a friend, but a theophany of the White Christ Himself? The mystics of the faith seem wise indeed...;;;;;;;;;;;;;x
