"###### OVERVIEW OF RELIGION, RELIGIOUS HEAD, CLERGY NAME ########",,,,,,,,,
root_west_pagan;Root West;;;;;;;;;;x,,,,,,,,,
root_west_pagan_DESC;The Root West religion is an ancient, shamanistic faith native to the Tangut peoples. While some Tanguts converted to Buddhism over time, many rural Tanguts clinged to this ancient religion devoted to the worship of cranes and monkeys. Root West rulers are called 'The Red Faced' or 'Redface', and are believed to descend from monkeys, or to have been granted the right to rule by them. Root West clergymen are called the Black Headed, due to their black robes and black felt hats. They perform an intercessory role between the Red Faced and the gods and exercise control over over the people faith's orthodoxy.;;;;;;;;;;x,,,,
root_west_pagan_FEATURES;§Y*§! Being a Redface is a great honor: bestowing this to your kin grants you Prestige \n§Y*§! Attacking your fellow Redface costs Piety \n§Y*§! Syncretized with Buddhism, can intermarry with Buddhists;;;;;;;;;;x,,,,,,,,
root_west_pagan_reformed;Root West;;;;;;;;;;x,,,,,,,,,
root_west_pagan_reformed_DESC;After centuries of syncretization and being eaten away by the Buddhist faith, a charismatic Redface has united the disparate Root West shamans under one authority! Worship of cranes and monkeys, use and depiction of clergy vestments, and other aspects of faith have been standardized, and the myriad of musicals, sonnets, and odes of worship, along with the defenitive Great Ode, have been combined into one universal hymnal. A central liturgy now exists for each holy animal and sacrament. The powerful Black Headed clergy have always exercised intercession and excommunication duties among Root West settlements, but now a centralized Black Intercessor excercises authority over all the Redfaced and worshippers everywhere.;;;;;;;;;;x
root_west_pagan_reformed_FEATURES;§Y*§! Being a Redface is a great honor: bestowing this to your kin grants you Prestige \n§Y*§! Attacking your fellow Redface costs Piety \n§Y*§! Syncretized with Buddhism, can intermarry with Buddhists;;;;;;;;;;x,,,,,,,,
d_root_west_pagan_reformed;The Root West Church;;;;;;;;;;x,,,,,,,,,
d_root_west_pagan_reformed_adj;Root West;;;;;;;;;;x,,,,,,,,,
CLERGYMAN_BLACKHEAD;Blackhead;;;;;;;;;;x,,,,,,,,,
BIG_BLACKHEAD;Black Intercessor;;;;;;;;;;x,,,,,,,,,
BIG_BLACKHEAD_FOA;Majestic Intercessor;;;;;;;;;;x,,,,,,,,,
######## TITLES BASED ON GOVERNMENT TYPE #########,,,,,,,,,
temple_baron_root_west_pagan;Blackhead;;;;;;;;;;x,,,,,,,,,
temple_baron_root_west_pagan_reformed;Blackhead;;;;;;;;;;x,,,,,,,,,
temple_count_root_west_pagan;Greater Blackhead;;;;;;;;;;x,,,,,,,,,
temple_count_root_west_pagan_reformed;Greater Blackhead;;;;;;;;;;x
temple_duke_root_west_pagan;Grand Blackhead
temple_duke_root_west_pagan_reformed;Grand Blackhead;;;;;;;;;;x
temple_king_root_rest_pagan;Cranelord;;;;;;;;;;x
temple_king_root_west_pagan_reformed;Cranelord;;;;;;;;;;x
temple_emperor_root_west_pagan;Black Overlord;;;;;;;;;;x
temple_emperor_root_west_pagan_reformed;Black Overlord;;;;;;;;;;x
temple_barony_of_root_west_pagan;Shrine of;;;;;;;;;;x
temple_barony_of_root_west_pagan_reformed;Shrine of;;;;;;;;;;x
temple_county_of_root_west_pagan;Greater Shrine of;;;;;;;;;;x
temple_county_of_root_west_pagan_reformed;Greater Shrine of;;;;;;;;;;x
temple_duchy_of_root_west_pagan;Hall of;;;;;;;;;;x
temple_duchy_of_root_west_pagan_reformed;Hall of;;;;;;;;;;x
temple_kingdom_of_root_west_pagan;Black See of;;;;;;;;;;x
temple_kingdom_of_root_west_pagan_reformed;Black See of;;;;;;;;;;x
temple_empire_of_root_west_pagan;Crane Domain of;;;;;;;;;;x
temple_empire_of_root_west_pagn_reformed;Crane Dominion of;;;;;;;;;;x
city_barony_of_root_west_pagan;Settlement of;;;;;;;;;;x
city_baron_root_west_pagan;Elder;;;;;;;;;;x
city_barony_of_root_west_pagan_reformed;Settlement;;;;;;;;;;x
city_baron_root_west_pagan_reformed;Elder;;;;;;;;;;x
city_county_of_root_west_pagan;Eldership of;;;;;;;;;;x
city_count_root_west_pagan;High Elder;;;;;;;;;;x
city_county_of_root_west_pagan_Reformed;Eldership;;;;;;;;;;x
city_count_root_west_pagan_reformed;High Elder;;;;;;;;;;x
city_duchy_of_root_west_pagan;Society of;;;;;;;;;;x
city_duke_root_west_pagan;Red Elder;;;;;;;;;;x
city_duchy_of_root_west_pagan_reformed;Society of;;;;;;;;;;x
city_duke_root_west_pagan_reformed;Red Elder;;;;;;;;;;x
city_kingdom_of_root_west_pagan;Red Nation of;;;;;;;;;;x
city_king_root_west_pagan;Red Prince;;;;;;;;;;x
city_king_female_root_west_pagan;Lady;;;;;;;;;;x
city_kingdom_of_root_west_pagan_reformed;Red Nation of;;;;;;;;;;x
city_king_root_west_pagan_reformed;Red Prince;;;;;;;;;;x
city_king_female_root_west_pagan_reformed;Lady;;;;;;;;;;x
city_emperor_of_root_west_pagan;Confederation of;;;;;;;;;;x
city_empire_root_west_pagan;Redmaster;;;;;;;;;;x
city_emperor_of_root_west_pagan_reformed;Confederation of;;;;;;;;;;x
city_empire_root_west_pagan_reformed;Redmaster;;;;;;;;;;x
family_palace_baron_root_west_pagan;Red Tradesman;;;;;;;;;;x
family_palace_baron_root_west_pagan_reformed;Red Tradesman;;;;;;;;;;x
family_palace_baron__female_root_west_pagan;Lady;;;;;;;;;;x
family_palace_baron_female_root_west_pagan_reformed;Lady;;;;;;;;;;x
job_spiritual_root_west_pagan;Lord of the Black Headed;;;;;;;;;;x
job_spiritual_root_west_pagan_reformed;Intercessor;;;;;;;;;;x
count_root_west_pagan;Lesser Redface;;;;;;;;;;x
duke_root_west_pagan;Greater Redface;;;;;;;;;;x
count_root_west_pagan_reformed;Lesser Redface;;;;;;;;;;x
duke_root_west_pagan_reformed;Greater Redface;;;;;;;;;;x
##### DEITIES AND RELIGIOUS MECHANICS #####
GOD_CRANE;The Great White Crane;;;;;;;;;;x
GOD_MONKEY;The Founding Monkeys;;;;;;;;;;x
GOD_CRANE2;The Holy Crane;;;;;;;;;;x
THE_GREAT_ODE;The Great Odes;;;;;;;;;;x
HYMNBOOK;The Black Hymnal;;;;;;;;;;x
PACIFICATION;Pacification;;;;;;;;;;x
RED_GRANDMASTER;Red Grandmaster;;;;;;;;;;;;;x
###### CRANEMASTERS HOLY ORDER DECISIONS AND CONSEQUENCES #######
d_cranemasters;Cranemasters;;;;;;;;;;x
d_cranemasters_adj;Crane's;;;;;;;;;;x
pop_the_blackheads;Expel the Cranemasters;;;;;;;;;;;;;x
"pop_the_blackheads_DESC;I'm a strong, independent Redface that doesn't need any foreign man. These men shouldn't take MY land and use MY resources to fight battles I don't care about! I should expel these blasphemous Redfaces thinking they are Blackheaded. Of course, the weaker Redfaced among me might consider my decision impious...;;;;;;;;;;;;;x"
pop_the_blackheadsREACTION;Cranemasters Expelled;;;;;;;;;;;;;x
"pop_the_blackheadsREACTION_DESC;Do you feel that wetness on your shoulders, like rain from the sky? That is the tears of the Holy, Majestic White Crane, weeping that you expelled the defenders of all Root West peoples, Red, Black, or peasant. We need those recourses, [Root.Liege.GetFOA], or the sons of Siddhartha Gautama will corrupt us once more! I must ask you, wicked [Root.Liege.GetTitle], when you stand before the Blackheaded, do you still hold your head high? \n\n The Crane weeps and the Monkeys howl, \n -Red Grandmaster [From.GetFirstName];;;;;;;;;;;;;x"
pop_the_blackheads_REPONSE;What a drama khan!;;;;;;;;;;x
blackheads_grow_on_you;Cranemasters Ask for Holdings;;;;;;;;;;;;;x
"blackheads_grow_on_you_DESC;Hello, Redface [Root.Liege.GetFirstName]! Your servants here at the Cranemasters have trained daily and nightly to protect the Great White Crane and honor the Holy Monkeys who bestowed you your power. Your servants come now, singing and smiling, humbly asking that you may grant us a minor holding, just a small one in [PROVINCE NAME]! We would be honored to purchase this holding for a healthy sum of gold. I am sure [GetHighGodName] will smile upon you for your selfless act of love to them.;;;;;;;;;;;;;x"
blackheads_grow_themselves;The Cranemasters have constructed a temple in [PROVINCE NAME]!;;;;;;;;;;;;;x
"join_cranemaster;My beloved [GetFromRelation], [From.GetFirstName], claims to have heard the Holy Crane speak to [From.GetHerHim]. [From.GetSheHe] feels compelled to join the Cranemasters in fighting the forces of Siddhartha Gautama and other threats to our ancient, noble faith. [From.GetSheHe] is fully aware that [From.GetSheHe] will never become a Redface, for [From.GetSheHe] abstains from worldly gain, but [From.GetSheHe] knows that to serve the Holy White Crane is greater than excercising the Monkey's blessings. Won't you let [From.GetHerHim] go?;;;;;;;;;;;;;x"
"join_cranemaster_YES;I rejoice in your noble quest! Go with my blessing, dear [From.GetFirstName]! I love you!;;;;;;;;;;;;;x"
"join_cranemaster_NO;Listen here, [GetFromRelation]. The world needs more Redfaces, not more red bloodshed. I forbid you to leave!;;;;;;;;;;;;;x"
expelled_d_cranemasters;Expelled Cranemasters;;;;;;;;;;;;;x
expelled_d_cranemasters_DESC;This character has banished the Cranemasters from his realm. It is unlikely [From.GetSheHe] will ever be forgiven for such a transgression.;;;;;;;;;;;;;x
b_bubba;Bubba;;;;;;;;;;x
patrons_root_west_crane;Dedicate Yourself to the Blackheaded and the Crane;;;;;;;;;;x
"patrons_root_west_crane_DESC;There are two great beings in the Root West faith. Each represent a core demographic of the faith: the Great Crane embodies the Blackheaded, the priests who intercede on our behalf. The Monkeys represent both the Redfaced- me and my fellow rulers -and the common man. It is from them that my right and power to rule descends. Either would be meaningful to myself and my people. Whom should I serve?;;;;;;;;;;x"
patrons_root_west_monkey;Dedicate Yourself to the Redfaced and the Monkeys;;;;;;;;;;x
"patrons_root_west_monkey_DESC;There are two great beings in the Root West faith. Each represent a core demographic of the faith: the Great Crane embodies the Blackheaded, the priests who intercede on our behalf. The Monkeys represent both the Redfaced- me and my fellow rulers -and the common man. it is from them that my right and power to rule descends. Either would be meaningful to myself and my people. Whom should I serve?;;;;;;;;;;x"
