#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;;;;;;;;;
#** CELTIC **;;;;;;;;;;;;;;;;;;;;;;;
#** IRISH **;;;;;;;;;;;;;;;;;;;;;;;
emperor_irish;Ard Rí;Ard Rí;Ard Rí;;Ard Rí;;;;;;;;;x;;;;;;;;;
emperor_female_irish;Ard Banríon;Ard Banríon;Ard Banríon;;Ard Banríon;;;;;;;;;x;;;;;;;;;
emperor_title_queen_mother_female_irish;Banríona Máthair;Banríona Máthair;Banríona Máthair;;Banríona Máthair;;;;;;;;;x;;;;;;;;;
empire_of_irish;High Kingdom of;Royaume de;Königreich von;;Reino de;;;;;;;;;x;;;;;;;;;
city_emperor_irish;Taoiseach;Taoiseach;Taoiseach;;Taoiseach;;;;;;;;;x;;;;;;;;;
city_empire_of_irish;Confederation of;Confédération de;Konföderation von;;Confederación de;;;;;;;;;x;;;;;;;;;
#** King **;;;;;;;;;;;;;;;;;;;;;;;
king_irish;Overking;Haut Roi;König;;Rey;;;;;;;;;x;;;;;;;;;
king_female_irish;Overqueen;Haute Reine;Königin;;Reina;;;;;;;;;x;;;;;;;;;
kingdom_of_irish;Kingdom of;Royaume de;Königreich von;;Reino de;;;;;;;;;x;;;;;;;;;
city_king_irish;Grand Prince;Grand Prince;Großtyrann;;Gran Príncipe;;;;;;;;;x;;;;;;;;;
city_kingdom_of_irish;Federation of;Fédération de;Föderation von;;Federación de;;;;;;;;;x;;;;;;;;;
#** Duke **;;;;;;;;;;;;;;;;;;;;;;;
duke_irish;King;Roi;König;;Rey;;;;;;;;;x;;;;;;;;;
duke_female_irish;Queen;Reine;Königin;;Reina;;;;;;;;;x;;;;;;;;;
duchy_of_irish;Minor Kingdom of;Royaume Mineur de;Kleinlich Königreich von;;Pequeña Reino de;;;;;;;;;x;;;;;;;;;
city_duke_irish;Prince;Prince;Prinz;;Príncipe;;;;;;;;;x;;;;;;;;;
#** Count **;;;;;;;;;;;;;;;;;;;;;;;
count_irish;Tigerna;Tigerna;Tigerna;;Tigerna;;;;;;;;;x;;;;;;;;;
count_female_irish;High Chieftess;Haute-Matrone;Hohe Frau:Gran Dama;;;;;;;;;x;;;;;;;;;;;
county_of_irish;Tuatha of;Tuatha de;Hohe Lordschaft von;;Alto Señorío de;;;;;;;;;x;;;;;;;;;
#** Baron **;;;;;;;;;;;;;;´;;;;;;;;;
baron_irish;Chief;Chef;Herr;;Señor;;;;;;;;;x;;;;;;;;;
baron_female_irish;Chieftess;Matrone;Frau;;Señora;;;;;;;;;x;;;;;;;;;
barony_of_irish;Tuath of;Tuath de;Lordschaft von;;Señorío de;;;;;;;;;x;;;;;;;;;
family_palace_baron_irish;Clan Chief;Chef de Clan;Clanchef;;Jefe del Clan;;;;;;;;;x;;;;;;;;;
family_palace_baron_female_irish;Lady;Dame;Frau;;Señora;;;;;;;;;x;;;;;;;;;
#** SCOTTISH **;;;;;;;;;;;;;;;;;;;;;;;
emperor_scottish;Ímpire;Ímpire;Ímpire;;Ímpire;;;;;;;;;x;;;;;;;;;
emperor_female_scottish;Ímpress;Ímpress;Ímpress;;Ímpress;;;;;;;;;x;;;;;;;;;
