#CELTIC FLAVOR STUFF;;;;;;;;;;;;;;x
#Modifiers;;;;;;;;;;;;;;x
VIET_celtic_holy_well_1;Holy Well;Fontaine à dévotion;;;;;;;;;;;;x
VIET_celtic_holy_well_1_desc;A most blessed holy well is found in this province. Its fame has spread far and wide, and many pilgrims come here. The locals, too, feel that the well confers upon them blessings and fortune.;Une fontaine à dévotion se trouve dans cette province. Sa renommée s'est étendue partout, et de nombreux pèlerins viennent ici. Les gens du pays pensent aussi que cette fontaine leur confère des bénédictions et de la fortune.;;;;;;;;;;;;x
VIET_celtic_holy_well_2;Holy Well;Fontaine à dévotion;;;;;;;;;;;;x
VIET_celtic_holy_well_2_desc;A most blessed holy well is found in this province. Its fame has spread far and wide, and many pilgrims come here. The locals, too, feel that the well confers upon them blessings and fortune.;Une fontaine à dévotion se trouve dans cette province. Sa renommée s'est étendue partout, et de nombreux pèlerins viennent ici. Les gens du pays pensent aussi que cette fontaine leur confère des bénédictions et de la fortune.;;;;;;;;;;;;x
VIET_celtic_holy_well_3;Holy Well;Fontaine à dévotion;;;;;;;;;;;;x
VIET_celtic_holy_well_3_desc;A most blessed holy well is found in this province. Its fame has spread far and wide, and many pilgrims come here. The locals, too, feel that the well confers upon them blessings and fortune.;Une fontaine à dévotion se trouve dans cette province. Sa renommée s'est étendue partout, et de nombreux pèlerins viennent ici. Les gens du pays pensent aussi que cette fontaine leur confère des bénédictions et de la fortune.;;;;;;;;;;;;x
VIET_celtic_holy_well_4;Holy Well;Fontaine à dévotion;;;;;;;;;;;;x
VIET_celtic_holy_well_4_desc;A most blessed holy well is found in this province. Its fame has spread far and wide, and many pilgrims come here. The locals, too, feel that the well confers upon them blessings and fortune.;Une fontaine à dévotion se trouve dans cette province. Sa renommée s'est étendue partout, et de nombreux pèlerins viennent ici. Les gens du pays pensent aussi que cette fontaine leur confère des bénédictions et de la fortune.;;;;;;;;;;;;x
VIET_holy_wells_blessing_1;Holy Well's Blessing (Diplomacy);Bénédiction d'une fontaine à dévotion (Diplomatie);;;;;;;;;;;;x
VIET_holy_wells_blessing_1_desc;This character has recently visited a famous holy well located in his or her demesne, and some believe that this character was rewarded with the well's blessing.;Ce personnage a récemment visité une célèbre fontaine à dévotion bien connue située dans son domaine, et certains croient que ce personnage a été récompensé par la bénédiction de la fontaine.;;;;;;;;;;;;x
VIET_holy_wells_blessing_2;Holy Well's Blessing (Military);Bénédiction d'une fontaine à dévotion (Martial);;;;;;;;;;;;x
