#Won Siege Events ;;;;;;;;;;;;;;x
EVTDESC1000109047;We have won the siege of [From.GetName] and the survivors are at our mercy. These survivors still have quite a lot of supplies and treasures they hoarded while we sieged them. What shall we do with them and the holding we have captured?;Nous avons gagné le siège de [From.GetName] et les survivants sont à notre merci. Ces survivants ont encore pas mal de provisions et de trésors qu'ils ont amassés quand nous les avons assiégés. Que ferons-nous d'eux et de la prise que nous avons capturée ?;;;;;;;;;;x
EVTOPTA1000109047;Spare the survivors and leave them alone.;Épargnez les survivants et laissez-les tranquilles.;;;;;;;;;;x
EVTOPTB1000109047;Allow the men to loot, but otherwise leave the survivors alone.;Permettez aux hommes de piller, mais laissez les survivants tranquilles.;;;;;;;;;;x
EVTOPTC1000109047;Raid and pillage to your heart’s desire! This is a rare opportunity!;Raid et pillage à volonté ! C'est une occasion rare !;;;;;;;;;;x
#Generic Events 1 (25 events);;;;;;;;;;;;;;x
EVTDESC1000109101;I am extremely lazy, and I never want to do anything. Today, I don’t feel like attending to my official duties.;Je suis extrêmement paresseux, et je ne veux jamais rien faire. Aujourd'hui, je n'ai pas envie de faire mon devoir officiel.;;;;;;;;;;x
EVTOPTA1000109101;A nap sounds good.;Une sieste, ça me semble bien.;;;;;;;;;;x
EVTOPTB1000109101;I think I’ll go eat some tasty food.;Je crois que je vais aller manger de la nourriture savoureuse.;;;;;;;;;;x
EVTOPTC1000109101;The work I’ve already done is good enough, anyways.;Le travail que j'ai déjà fait est assez bien, de toute façon.;;;;;;;;;;x
EVTOPTD1000109101;I’m just scared of interacting with others to be honest.;J'ai juste peur d'interagir avec les autres pour être honnête.;;;;;;;;;;x
EVTDESC1000109102;I apparently fell asleep while working hard last night. Perhaps I am overworking myself too hard.;Je me suis apparemment endormi en travaillant dur la nuit dernière. Peut-être que je me fatigue trop.;;;;;;;;;;x
EVTOPTA1000109102;Maybe I should take a break...;Je devrais peut-être faire une pause...;;;;;;;;;;x
EVTOPTB1000109102;No! I am not working hard enough!;Non ! Je ne travaille pas assez dur !;;;;;;;;;;x
EVTOPTC1000109102;I will pray to [Root.Religion.GetRandomGodName] for strength.;Je vais prier [Root.Religion.GetRandomGodName] pour la force.;;;;;;;;;;x
EVTOPTD1000109102;This is nothing, I feel as strong as ever!;Ce n'est rien, je me sens aussi fort que jamais !;;;;;;;;;;x
