title_despot;Symbasileus;Symbasileus;Symbasileus;;Symbasileus;;;;;;;;;x
title_despot_desc;Symbasileus was a title bestowed upon the oldest sons of Emperors when they were crowned as co-Emperors alongside their Father.;Le despote est le plus haut titre honorifique de l’Empire byzantin, après celui d’empereur. Seuls les proches parents, traditionnellement le fils aîné, peuvent en bénéficier.;Despot ist der höchste Ehrentitel im Byzantinischen Kaiserreich und untersteht nur dem Kaiser. Er kann nur engen Verwandten verliehen werden, traditionell dem ältesten Sohn.;;El título honorífico de déspota era el más importante del Imperio Bizantino después del de emperador. Puede otorgarse a los familiares cercanos, tradicionalmente al hijo mayor.;;;;;;;;;x
EVTDESC1000109004;After singing the ancient hymns and performing the correct rituals and ceremonies, we have presented [Root.Religion.GetRandomGodName] with a great offering of sacrificed animals, lovely fragrances, and other materials. Surely the deities will be pleased with this! Thus, the great sacrifice has been completed for this year.;;;;;;;;;;;x
EVTOPTA1000109004;May there be peace between heaven and earth.;May there be peace between heaven and earth.;May there be peace between heaven and earth.;;May there be peace between heaven and earth.;;;;;;;;;x
obj_live_to_old_age_title;Live to Old Age;;;;;;;;;;;;;x
obj_live_to_old_age_desc;[This.GetTitledFirstName] wants to live a long and fulfilling life.;;;;;;;;;;;;;x
obj_gain_virtue_title;Gain a Virtue;;;;;;;;;;;;;x
obj_gain_virtue_desc;[This.GetTitledFirstName] currently doesn't have one of the seven virtues, and would like to have one.;;;;;;;;;;;;;x
obj_find_hobby_title;Find a hobby;;;;;;;;;;;;;x
obj_find_hobby_desc;[This.GetTitledFirstName] desires to get involved in some sort of hobby.;;;;;;;;;;;;;x
obj_find_love_title;Find Love;;;;;;;;;;;;;x
obj_find_love_desc;[This.GetTitledFirstName] desires to fill a void in [This.GetHerHis] life by finding someone to spend [This.GetHerHis] life with.;;;;;;;;;;;;;x
obj_wage_holy_war_title;Wage Holy War;;;;;;;;;;;;;x
obj_wage_holy_war_desc;[This.GetTitledFirstName] wishes to fight against infidels and heathens in the name of [This.GetHerHis] faith!;;;;;;;;;;;;;x
obj_have_a_grandchild_title;Have a grandchild;;;;;;;;;;;;;x
obj_have_a_grandchild_desc;[This.GetTitledFirstName] wishes to have a grandchild.;;;;;;;;;;;;;x
obj_have_no_worries_title;Have no worries;;;;;;;;;;;;;x
obj_have_no_worries_desc;[This.GetTitledFirstName] wants to be happy again and live a normal life.;;;;;;;;;;;;;x
obj_go_traveling_title;Go Traveling;;;;;;;;;;;;;x
obj_go_traveling_desc;[This.GetTitledFirstName] wishes to travel away from home.;;;;;;;;;;;;;x
title_lawspeaker;Lawspeaker;Lögsögumad;Lögsögumaður;;Lagman;;;;;;;;;x
title_lawspeaker_desc;A lawspeaker was a unique Scandinavian legal office. It has its basis in a common Germanic oral tradition, where wise men were asked to recite the law, but it was only in Scandinavia that the function evolved into an office.;A lawspeaker was a unique Scandinavian legal office. It has its basis in a common Germanic oral tradition, where wise men were asked to recite the law, but it was only in Scandinavia that the function evolved into an office.;A lawspeaker was a unique Scandinavian legal office. It has its basis in a common Germanic oral tradition, where wise men were asked to recite the law, but it was only in Scandinavia that the function evolved into an office.;;A lawspeaker was a unique Scandinavian legal office. It has its basis in a common Germanic oral tradition, where wise men were asked to recite the law, but it was only in Scandinavia that the function evolved into an office.;;;;;;;;;x
title_lique_mekwas;Lique Mekwas;Lique Mekwas;Lique Mekwas;;Lique Mekwas;;;;;;;;;x
