#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;;;
TECH_CASTLES;Infrastructure;;;;Infraestructura;;;;;;;;;x;;;
TECH_CASTLES_DESC;Improved infrastructure makes supplying armies easier.;;;;La mejora de infraestructuras facilita el suministro al ejército.;;;;;;;;;x;;;
immortal;Immortal;;;;Inmortal;;;;;;;;;x;;;
immortal_desc;Immortals will never succumb to old age, but they can still die from other causes.;;;;Los inmortales nunca sucumben a la edad, aunque pueden morir por otras causas.;;;;;;;;;x;;;
formation_of_rum;Newly Formed Realm;;;;Reino recién creado;;;;;;;;;x;;;
war_torn;War-torn;;;;Desgarrado por la guerra;;;;;;;;;x;;;
bulgarian_unrest;Bulgarian Unrest;;;;Revuelta búlgara;;;;;;;;;x;;;
bulgarian_unrest_2;Bulgarian Unrest;;;;Revuelta búlgara;;;;;;;;;x;;;
culture_clash;Culture Clash;;;;Choque de culturas;;;;;;;;;x;;;
baqt;Baqt;;;;Baqt;;;;;;;;;x;;;
sahara;Sahara;;;;Sahara;;;;;;;;;x;;;
rum;Ignore the man behind the curtain;;;;Ignorar al titiritero;;;;;;;;;x;;;
#TRIGGERED MODIFIERS;;;;;;;;;;;;;;x;;;
religious_defense;Religious Defense;Religious Defense;Religious Defense;;Defensa de la fe;;;;;;;;;x;;;
desc_religious_defense;We're defending against a holy war. Everyone is doing what they can to fend off the invaders.;We're defending against a holy war. Everyone is doing what they can to fend of the invaders.;We're defending against a holy war. Everyone is doing what they can to fend of the invaders.;;Nos defendemos de una guerra santa. Todo el mundo hace lo que puede para rechazar al invasor.;;;;;;;;;x;;;
disorganized;Disorganized;Disorganized;Disorganized;;Desorganizado;;;;;;;;;x;;;
desc_disorganized;We're rather disorganized at the moment.;;We're rather disorganized at the moment.;;Estamos algo desorganizados en este momento;;;We're rather disorganized at the moment.;;;;;;x;;;x
low_decadence;Low Decadence;;;;Decadencia baja;;;;;;;;;x;;;
desc_low_decadence;Our decadence is low, making everyone like us more.;;;;Tenemos poca decadencia, lo que hace que gustemos más a todo el mundo.;;;;;;;;;x;;;
medium_decadence;Decadent;;;;Decadente;;;;;;;;;x;;;
desc_medium_decadence;We are decadent and many are therefore questioning our legitimate rule;;;;Somos decadentes y por tanto algunos empiezan a cuestionarse la legitimidad de nuestro gobierno.;;;;;;;;;x;;;
high_decadence;Highly Decadent;;;;Muy decadente;;;;;;;;;x;;;
decentralized_hre;Decentralized HRE;;;;SIR descentralizado;;;;;;;;;x;;;
theme_system;Decayed Theme System;;;;Sistema de tema decadente;;;;;;;;;x;;;
theme_system_2;Intact Theme System;;;;Sistema de tema intacto;;;;;;;;;x;;;
desc_high_decadence;We are highly decadent and many are therefore questioning our legitimate rule;;;;Somos muy decadentes y la mayoría se cuestiona la legitimidad de nuestro gobierno.;;;;;;;;;x;;;
#COOLDOWNS;;;;;;;;;;;;;;x;;;
launched_subjugation;Subjugation Cooldown;;;;Espera de subyugación;;;;;;;;;x;;;
ca_revoke_cooldown;Crown law revocation cooldown;;;;Espera de revocación de ley de la corona;;;;;;;;;x;;;
ca_revoke_cooldown_desc;Crown authority laws were recently revoked due to a faction ultimatum or revolt. It will take time before the realm's nobles are willing to support the revocation of their remaining laws.;;;;Las leyes de la corona han sido recientemente modificadas por la fuerza. Pasará un tiempo antes de que los nobles se vuelvan a unir en una facción.;;;;;;;;;x;;;
ca_revoke_cooldown_ctt;§Y[This.GetTitledFirstName]§!'s realm enters a crown law revocation cooldown period.\n;;;;El reino de §Y[This.GetTitledFirstName]§! entra en un periodo de espera de revocación de leyes de la corona.\n;;;;;;;;;x;;;
holy_war_cooldown_ctt;§Y[This.GetBestName]§! won't be able to declare holy war for another §Y5 years§!.\n;;;;§Y[This.GetBestName]§! No podrá declarar otra guerra santa en §Y5 años§!.\n;;;;;;;;;x;;;
#CB CUSTOM TOOLTIPS;;;;;;;;;;;;;;x;;;
vassalize_or_take_under_title_ctt;§Y[Root.GetTitledFirstName]§! takes or vassalizes all titles in the §Y[This.GetFullBaseName]§! belonging to §Y[From.GetTitledFirstName]§!.\n;§Y[Root.GetTitledFirstName]§! capture tous les territoires occupés.\n§Y[Root.GetTitledFirstName]§! prend ou vassalise tous les titres du §Y[This.GetFullBaseName]§! appartenant à §Y[From.GetTitledFirstName]§!.\n;§Y[Root.GetTitledFirstName]§! nimmt alles besetzte Land in Besitz.\n§Y[Root.GetTitledFirstName]§! übernimmt oder vasallisiert alle Titel in §Y[This.GetFullBaseName]§!, die zu §Y[From.GetTitledFirstName]§! gehören.\n;;§Y[Root.GetTitledFirstName]§! toma o avasalla todos los títulos en el §Y[This.GetFullBaseName]§! que pertenezcan a  §Y[From.GetTitledFirstName]§!.\n;;;;;;;;;x;;;
cb_invasion_succ_ctt;§Y[Root.GetTitledFirstName]§! gains the §Y[This.GetFullBaseName]§!.\nIf §Y[From.GetTitledFirstName]§! becomes a vassal of §Y[Root.GetTitledFirstName]§!, §Y[From.GetSheHe]§! will be imprisoned.\n;;;;§Y[Root.GetTitledFirstName]§! logra el §Y[This.GetFullBaseName]§!.\nIf §Y[From.GetTitledFirstName]§! se convierte en vasallo de §Y[Root.GetTitledFirstName]§!, §Y[From.GetSheHe]§! será encarcelado.\n;;;;;;;;;x;;;
cb_viking_invasion_succ_ctt;§Y[Root.GetTitledFirstName]§! takes all occupied territory.\n§Y[Root.GetTitledFirstName]§! takes or vassalizes all titles in the §Y[This.GetFullBaseName]§! belonging to §Y[From.GetTitledFirstName]§!.\nIf §Y[From.GetTitledFirstName]§! becomes a vassal of §Y[Root.GetTitledFirstName]§!, §Y[From.GetSheHe]§! will be imprisoned.\nThe [Root.Culture.GetName] host will permanently settle throughout the §Y[This.GetFullBaseName]§!, convert the dominant culture and religion in one province, and fully replenish the levies of settlements throughout the new realm with their own.\n;;;;§Y[Root.GetTitledFirstName]§! toma todos los territorios ocupados.\n§Y[Root.GetTitledFirstName]§! toma o avasalla todos los títulos en el §Y[This.GetFullBaseName]§! que pertenezcan a §Y[From.GetTitledFirstName]§!.\nIf §Y[From.GetTitledFirstName]§! Se convierte en vasallo de §Y[Root.GetTitledFirstName]§!, §Y[From.GetSheHe]§! será encarcelado(a).\nLa hueste [Root.Culture.GetName] se asentará permanentemente en §Y[This.GetFullBaseName]§!, convierte la cultura y religión en una provincia, y reforzará las levas de los asentamientos con sus tropas.\n;;;;;;;;;x;;;
#AUTONOMY FACTION;;;;;;;;;;;;;;x;;;
opinion_refused_ultimatum;Refused ultimatum;;;;Ultimátum rechazado;;;;;;;;;x;;;
opinion_recently_refused_ultimatum;Recently refused ultimatum;;;;Ultimátum recientemente rechazado;;;;;;;;;x;;;
opinion_accepted_ultimatum;Accepted ultimatum;;;;Ultimátum aceptado;;;;;;;;;x;;;
opinion_betrayed_autonomy_faction;Betrayed faction;;;;Facción traicionada;;;;;;;;;x;;;
reduced_obligations;Reduced obligations;;;;Obligaciones reducidas;;;;;;;;;x;;;
af_mil_cooperation_t1;Military cooperation;;;;Cooperación militar;;;;;;;;;x;;;
af_eco_cooperation_t1;Economic cooperation;;;;Cooperación económica;;;;;;;;;x;;;
autonomy_commended;Commended by vassals;;;;Elogiado por vasallos;;;;;;;;;x;;;
