#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#War checks;;;;;;;;;;;;;;x
holy_war_cb;Is War Possible?;;;;Mostrar requisitos de guerra;;;;;;;;;x
holy_war_cb_desc;Enables a set of decisions showing the requirements for various types of war. If you can activate every relevant decision, you should be able to declare war;;;;Habilita un conjunto de decisiones que muestran los requisitos para varios tipos especiales de guerra. Tienes que cumplirlos para declarar la guerra a un personaje.;;;;;;;;;x
holy_war_clear;Dismiss Checks;;;;No mostrar requisitos de guerra;;;;;;;;;x
holy_war_clear_desc;Disable the decisions for checking if war is possible.;;;;Deshabilita las decisiones para comprobar si es posible la guerra.;;;;;;;;;x
holy_war_non_de_jure;Non Dejure Holy War;;;;Guerra Santa no De jure;;;;;;;;;x
holy_war_non_de_jure_desc;You have to meet these requirements to declare holy war upon areas that aren't dejure yours, in addition to the base requirements (displayed on the war declaration screen if you fulfill the requirements listed on the decision screen), and potentially pagan and non-bordering requirements.;;;;Pasa el ratón por la ? para ver las condiciones que necesitas contra infieles y paganos en regiones que no sean tuyas de jure.;;;;;;;;;x
holy_war_no_border;Non-bordering holy war requirements;;;;Guerra Santa no colindante;;;;;;;;;x
holy_war_no_border_desc;You have to meet these requirements to declare holy war upon areas your realm doesn't border. You also need to meet the base requirements (displayed on the war declaration screen if you fulfill the requirements listed on the decision screen), and potentially non-dejure and pagan requirements requirements.;;;;Pasa el ratón por la ? para ver las condiciones que necesitas contra infieles y paganos en regiones que no sean colindantes.;;;;;;;;;x
alliance_wars;War Upon Allies;;;;Guerra contra aliados;;;;;;;;;x
alliance_wars_desc;You have to meet these requirements to declare war upon allies unless they're heretics, infidels, or excommunicated.;;;;Debes cumplir estos requisitos para declarar guerra contra un aliado, salvo si es hereje, infiel o está excomulgado.;;;;;;;;;x
imperial_reconquest_check;Imperial Reconquest;;;;Reconquista imperial;;;;;;;;;x
imperial_reconquest_check_desc;Do note that target areas are unlocked in tiers. Every county in a tier has to be controlled before the next tier can be targetted.;;;;Para poder incluir un título como objetivo de guerra antes tendrás que controlar TODOS los condados bajo tal título.;;;;;;;;;x
pagan_subjugation_check;Pagan Subjugation;;;;Subyugación pagana;;;;;;;;;x
pagan_subjugation_check_desc;If the target is within the same kingdom as your capital, these requirements must be met. You also cannot target characters currently being targetted by another subjugation war, and they must share a border with you.;;;;Además de estos requisitos, el objetivo debe estar en tu mismo reino de jure y ser fronterizo. No puedes subyugarlos si otro señor intenta subyugarlos antes.;;;;;;;;;x
pagan_subjugation_wrong_kingdom_check;Pagan Subjugation Foreign Kingdom;;;;Subyugación pagana en reino extranjero;;;;;;;;;x
pagan_subjugation_wrong_kingdom_check_desc;If the target is not within the same kingdom as your capital, these requirements must be met, in addition to holding a dejure title within the target kingdom either directly or via a vassal and the standard requirements.;;;;Además de estos requisitos, si el objetivo no está en tu mismo reino de jure, deberás tener una posesión en su reino de jure y ser fronterizo. No puedes subyugarlos si otro señor intenta subyugarlos antes.;;;;;;;;;x
pagan_conquest_check;Pagan County Conquest;;;;Conquista pagana de Condado;;;;;;;;;x
pagan_conquest_check_desc;The only requirements beyond these is that you share a border with the target, unless you're Norse, in which case you can target any coastal province held by non-Pagans.;;;;Además de estos requisitos, tendrás que compartir fronteras. Los nórdicos pueden atacar cualquier provincia costera que no sea pagana.;;;;;;;;;x
muslim_conquest_check;Muslim County Conquest;;;;Conquista musulmana de Condado;;;;;;;;;x
muslim_conquest_check_desc;The only requirements beyond these is that you share a border with the target and that the target is not Pagan or East African and Orthodox/Coptic.;;;;Además de estos requisitos, los musulmanes puede conquistar cualquier condado fronterizo, menos los ortodoxos, paganos, o africanos orientales.;;;;;;;;;x
muslim_invasion_check;Muslim Invasion;;;;Invasión musulmana;;;;;;;;;x
muslim_invasion_check_desc;The only requirements beyond these is that you share a border with the target, that the target holds at least 6 counties within the target kingdom, and that the target is not Pagan or East African and Orthodox/Coptic. If the target isn't Muslim you must also meet the requirements for invading non-Muslims.;;;;Además de estos requisitos, el objetivo debe tener al menos 6 posesiones en el reino y ser fronterizo, menos si son ortodoxos, paganos, o africanos orientales.;;;;;;;;;x
muslim_invasion_check_non_muslim;Muslim Invasion of Infidels;;;;Invasión musulmana de infieles;;;;;;;;;x
muslim_invasion_check_non_muslim_desc;There are no requirements beyond these, the base requirements, and those described in the base requirements description.;;;;Estos son los únicos requisitos, aparte de los básicos.;;;;;;;;;x
republic_coastal_county;Coastal County Conquest;;;;Conquista mercante de condado costero;;;;;;;;;x
republic_coastal_county_desc;Beyond these requirements you must hold a holding within the target county.;;;;Además de estos requisitos, la república debe tener al menos una propiedad en el condado costero.;;;;;;;;;x
