VIETmisc.2000.desc;One of my courtiers came back today after visiting a cousin living in a town some distance away. I was offered some precious onions as a gift.;Un de mes courtisans est revenu aujourd'hui après avoir rendu visite à un cousin vivant dans une ville éloignée. On m'a offert de précieux oignons en cadeau.;;;;;;;;;;;;x
VIETmisc.2000.a;Thank you! These would go great in soup.;Merci beaucoup! Ça irait bien dans la soupe.;;;;;;;;;;;;x
VIETmisc.2001.desc;I met an interesting, perhaps slightly crazy traveler today. He claims to have seen red and yellow carrots in a faraway land! Ha ha! What a good joke. Everyone can see carrots are purple.;J'ai rencontré un voyageur intéressant, peut-être un peu fou aujourd'hui. Il prétend avoir vu des carottes rouges et jaunes dans un pays lointain ! Ha ha ! Quelle bonne blague. Tout le monde peut voir que les carottes sont violettes.;;;;;;;;;;;;x
VIETmisc.2001.a;What next, orange carrots?;Et quoi ensuite, des carottes oranges ?;;;;;;;;;;;;x
VIETmisc.2002.desc;One of your courtiers has lately refused to eat anything with cabbage. When questioned why, you were told: "Cabbage? Oh dear... you know it is peasant's food - it is like water to them. Why would a person of high status such as myself consume such a lowly, filthy plant?";Un de vos courtisans a récemment refusé de manger quoi que ce soit avec du chou. Lorsqu'on vous a demandé pourquoi, on vous a répondu : "Du choux ? Oh mon Dieu... vous savez que c'est la nourriture des paysans - c'est comme de l'eau pour eux. Pourquoi une personne de haut rang comme moi consommerait une plante aussi humble et sale ?";;;;;;;;;;;;x
VIETmisc.2002.a;A good point!;C'est un bon point !;;;;;;;;;;;;x
VIETmisc.2002.b;What an extreme attitude.;Quelle attitude extrême.;;;;;;;;;;;;x
VIETmisc.2003.desc;As I get older, I'm starting to lose some hair. My doctor prescribed onions as a way to combat this problem. The medicinal properties of onion, he said, would help me on this situation.;En vieillissant, je commence à perdre des cheveux. Mon médecin m'a prescrit des oignons pour combattre ce problème. Les propriétés médicinales de l'oignon, a-t-il dit, m'aideraient dans cette situation.;;;;;;;;;;;;x
VIETmisc.2003.a;My breath will smell really bad after this...;Mon haleine sentira très mauvais après ça...;;;;;;;;;;;;x
VIETmisc.2004.desc;Rumors abound that several demons or evil spirits of some sort have recently habituated themselves near my residence. I have seen the commoners living nearby start to hang garlic on their windows in order to protect themselves.;Les rumeurs abondent que plusieurs démons ou mauvais esprits se seraient récemment installé près de chez moi. J'ai vu les gens du voisinage commencer à accrocher de l'ail à leurs fenêtres pour se protéger.;;;;;;;;;;;;x
VIETmisc.2004.a;I should do the same to protect myself.;Je devrais faire de même pour me protéger.;;;;;;;;;;;;x
VIETmisc.2004.b;Those gullible, superstitious fools...;Ces imbéciles naïfs et superstitieux...;;;;;;;;;;;;x
