convert_to_spouse_hindu;Convert to Hinduism;Se convertir à l'Hindouisme;Zum Hinduism konvertieren;;Convertir a Hinduism;;;;;;;;;x
convert_to_spouse_hindu_desc;The pillow talk of a spouse or concubine can be very persuasive. And all these deities don't sound too different from the Old Gods, other than having many arms...;Les conversations sur l'oreiller d'un conjoint ou d'une concubine peuvent être très persuasives. Et toutes ces divinités n'ont pas l'air très différentes des Anciens Dieux, à part le fait d'avoir beaucoup de bras...;;;;;;;;;;;;x
convert_to_spouse_buddhist;Convert to Buddhism;Se convertir au Bouddhisme;Zum Buddhism konvertieren;;Convertir a Buddhism;;;;;;;;;x
convert_to_spouse_buddhist_desc;The pillow talk of a spouse or concubine can be very persuasive. Though the Buddha's teachings are a bit too soft for me, I can't deny they might help me find peace of mind...;Les conversations sur l'oreiller d'un conjoint ou d'une concubine peuvent être très persuasives. Bien que les enseignements du Bouddha soient un peu trop doux pour moi, je ne peux pas nier qu'ils pourraient m'aider à trouver la paix intérieur...;;;;;;;;;;;;x
#convert_to_spouse_nestorian;Convert to Nestorianism;Se convertir au Nestorianisme;Zum Nestorianism konvertieren;;Convertir a Nestorianism;;;;;;;;;x
#convert_to_spouse_nestorian_desc;The pillow talk of a spouse or concubine can be very persuasive. This White Christ does not sound very warlike though...;Les confidences sur l'oreiller d'un époux, d'une épouse ou d'une concubine peuvent être très persuasives. Cependant, ce Blanc-Jésus ne semble pas très belliqueux…;Das Bettgeflüster einer Gemahlin oder Konkubine kann sehr überzeugend sein. Dieser weiße Christus klingt allerdings nicht sehr kriegerisch…;;La conversación de almohada de una esposa o concubina puede ser muy persuasiva. Porque este Cristo Blanco no suena muy belicoso…;;;;;;;;;x
convert_to_spouse_yazidi;Convert to Yazidi;Se convertir au Yazidi;;;;;;;;;;;;x
convert_to_spouse_yazidi_desc;The pillow talk of a spouse or concubine can be very persuasive. The Yazidi may be reclusive, but I find their faith rather fascinating.;Les conversations sur l'oreiller d'un conjoint ou d'une concubine peuvent être très persuasives. Les Yazidi sont peut-être réservés, mais je trouve leur foi plutôt fascinante.;;;;;;;;;;;;x
convert_to_spouse_ibadi;Convert to Ibadi;Se convertir à l'Ibadisme;;;;;;;;;;;;x
convert_to_spouse_ibadi_desc;The pillow talk of a spouse or concubine can be very persuasive. I see the merits of Ibadi Islam...;Les conversations sur l'oreiller d'un conjoint ou d'une concubine peuvent être très persuasives. Je vois les mérites de l'Islam Ibadi...;;;;;;;;;;;;x
convert_to_spouse_manichean;Convert to Manichean;Se convertir au Manichéisme;;;;;;;;;;;;x
convert_to_spouse_manichean_desc;The pillow talk of a spouse or concubine can be very persuasive. Manicheism is a rather peace-loving creed, but there is appeal in supporting the religion of Light... perhaps I could become a defender of the Light?;Les conversations sur l'oreiller d'un conjoint ou d'une concubine peuvent être très persuasives. Le manichéisme est un credo plutôt pacifique, mais il y a un appel à soutenir la religion de la Lumière... peut-être pourrais-je devenir un défenseur de la Lumière ?;;;;;;;;;;;;x
convert_to_spouse_paulician;Convert to Paulicianism;Se convertir au Paulicienisme;;;;;;;;x
convert_to_spouse_paulician_desc;The pillow talk of a spouse or concubine can be very persuasive. This White Christ does not sound very warlike though...;Les conversations sur l'oreiller d'un conjoint ou d'une concubine peuvent être très persuasives. Cependant, ce Blanc-Jésus ne semble pas très belliqueux…;;;;;;;;x
convert_to_spouse_bosnian_religion;Convert to Bosnianism;Se convertir au Bosnianisme;;;;;;;;x
convert_to_spouse_bosnian_religion_desc;The pillow talk of a spouse or concubine can be very persuasive. This White Christ does not sound very warlike though...;Les conversations sur l'oreiller d'un conjoint ou d'une concubine peuvent être très persuasives. Cependant, ce Blanc-Jésus ne semble pas très belliqueux…;;;;;;;;x
convert_to_spouse_syriac;Convert to Syriacism;Se convertir au Syriacisme;;;;;;;;x
convert_to_spouse_syriac_desc;The pillow talk of a spouse or concubine can be very persuasive. This White Christ does not sound very warlike though...;Les conversations sur l'oreiller d'un conjoint ou d'une concubine peuvent être très persuasives. Cependant, ce Blanc-Jésus ne semble pas très belliqueux…;;;;;;;;x
convert_to_spouse_maronite;Convert to Maronitism;Se convertir au Maronitisme;;;;;;;;x
convert_to_spouse_maronite_desc;The pillow talk of a spouse or concubine can be very persuasive. This White Christ does not sound very warlike though...;Les conversations sur l'oreiller d'un conjoint ou d'une concubine peuvent être très persuasives. Cependant, ce Blanc-Jésus ne semble pas très belliqueux…;;;;;;;;x
convert_to_spouse_chaldean;Convert to Chaldeanism;Se convertir au Chaldéanisme;;;;;;;;x
convert_to_spouse_chaldean_desc;The pillow talk of a spouse or concubine can be very persuasive. This White Christ does not sound very warlike though...;Les conversations sur l'oreiller d'un conjoint ou d'une concubine peuvent être très persuasives. Cependant, ce Blanc-Jésus ne semble pas très belliqueux…;;;;;;;;x
convert_to_spouse_messalian;Convert to Messalianism;Se convertir au Messalianisme;;;;;;;;x
convert_to_spouse_messalian_desc;The pillow talk of a spouse or concubine can be very persuasive. This White Christ does not sound very warlike though...;Les conversations sur l'oreiller d'un conjoint ou d'une concubine peuvent être très persuasives. Cependant, ce Blanc-Jésus ne semble pas très belliqueux…;;;;;;;;x
convert_to_spouse_arkagun;Convert to Arkagunism;Se convertir au Arkagunisme;;;;;;;;x
convert_to_spouse_arkagun_desc;The pillow talk of a spouse or concubine can be very persuasive. This White Christ does not sound very warlike though...;Les conversations sur l'oreiller d'un conjoint ou d'une concubine peuvent être très persuasives. Cependant, ce Blanc-Jésus ne semble pas très belliqueux…;;;;;;;;x
convert_to_spouse_murjite;Convert to Murjite Islam;Se convertir à l'Islam Murjite;;;;;;;;x
convert_to_spouse_murjite_desc;The pillow talk of a spouse or concubine can be very persuasive. Can this Allah beat the Old Gods though?;Les conversations sur l'oreiller d'un conjoint ou d'une concubine peuvent être très persuasives. Allah peut-il battre les Anciens Dieux ?;;;;;;;;xx
convert_to_spouse_qalandari;Convert to Qadiri Islam;Convertir à l'Islam Qadiri;;;;;;;;x
