#CODE;I love me some nice silky silk;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
VIET_sogdian_colony;Sogdian Colony;Colonie Sogdienne;;;;;;;;;;;;x
VIET_sogdian_colony_desc;A sizeable colony of Sogdian merchants, adventurers, warriors, nobles, farmers, and others dwell here, contributing to this province's economy.;Une colonie importante de marchands Sogdiens, d'aventuriers, de guerriers, de nobles, d'agriculteurs et d'autres personnes habitent ici, contribuant ainsi à l'économie de la province.;;;;;;;;;;;;x
sartapaw;Accomplished Sartapaw;Sartapaw Accomplie;;;;;;;;;;;;x
sartapaw_desc;This character is a well-known and important Sartapaw, the leader of a local Sogdian community. The term "Sartapaw" originated from a Sanskrit word meaning "Caravan Leader," although the Chinese equivalent, "Sabao," had more administrative connotations.;Ce personnage est un Sartapaw bien connu et important, le chef d'une communauté sogdienne locale. Le terme "Sartapaw" vient d'un mot sanskrit signifiant "chef de la caravane", bien que l'équivalent chinois, "Sabao", ait plus de connotations administratives.;;;;;;;;;;;;x
silkroad.1.desc;You have shown ability as a Sartapaw, a local Sogdian leader. Having managed the commercial and diplomatic issues of the community for years, you've gained much experience and insight. The Sogdians may no longer dominate the Silk Road like before, but your ability as a leader shows that the entrepreneurial and adventurous spirit of the Sogdian people endures.;Vous avez fait preuve d'habileté en tant que Sartapaw, un chef sogdien local. Ayant géré les questions commerciales et diplomatiques de la communauté pendant des années, vous avez acquis beaucoup d'expérience et de perspicacité. Les Sogdiens ne dominent plus la Route de la Soie comme avant, mais votre capacité en tant que chef montre que l'esprit d'entreprise et d'aventure du peuple Sogdien perdure.;;;;;;;;;;;;x
silkroad.1.a;May the spirits of our forefathers guide us in these difficult times.;Que les esprits de nos ancêtres nous guident en ces temps difficiles.;;;;;;;;;;;;x
silkroad.2.desc;You have shown ability as a Sartapaw, a local Sogdian leader. Having managed the commercial and diplomatic issues of the community for years, you've gained much experience and insight. The Sogdians are beginning to prosper now that the Silk Road has revived, and your ability as a leader is a sign of the Sogdians' enduring entrepreneurial and adventurous spirit.;Vous avez fait preuve d'habileté en tant que Sartapaw, un chef sogdien local. Ayant géré les questions commerciales et diplomatiques de la communauté pendant des années, vous avez acquis beaucoup d'expérience et de perspicacité. Les Sogdiens commencent à prospérer maintenant que la Route de la Soie a repris vie, et votre capacité en tant que chef est un signe de l'esprit d'entreprise et d'aventure des Sogdiens.;;;;;;;;;;;;x
silkroad.2.a;May the Sogdian people prosper!;Que le peuple Sogdien prospère !;;;;;;;;;;;;x
silkroad.3.name;A New Sogdian Colony;Une nouvelle colonie sogdienne;;;;;;;;;;;;x
silkroad.3.desc;Shrewd and opportunistic Sogdians have settled in large numbers in [Root.GetName]. These merchants, farmers, warriors, noblemen, and other colonists bring along with them connections to the massive Sogdian network that sustained the Silk Road. If this colony succeeds, it will bring us much profit and prosperity.;Des Sogdiens perspicaces et opportunistes se sont installés en grand nombre à [Root.GetName]. Ces marchands, fermiers, guerriers, nobles et autres colons apportent avec eux des liens avec le réseau massif de Sogdian qui a soutenu la Route de la Soie. Si cette colonie réussit, elle nous apportera beaucoup de profit et de prospérité.;;;;;;;;;;;;x
silkroad.3.a;Interesting.;Intéressant.;;;;;;;;;;;;x
silkroad.4.name;Sogdian Colony in Decline;Colonie de Sogdian en déclin;;;;;;;;;;;;x
silkroad.4.desc;The Sogdians in [Root.GetName] are beginning to desert their once prosperous colony in droves. It appears that this colony has failed, unable to bring profit to the greater network of Sogdians. Perhaps this spells trouble for the mighty Silk Road!;Les Sogdiens de [Root.GetName] commencent à déserter en masse leur colonie autrefois prospère. Il semble que cette colonie a échoué, incapable d'apporter du profit au plus grand réseau de Sogdiens. Peut-être que cela signifie des ennuis pour la puissante Route de la Soie !;;;;;;;;;;;;x
silkroad.4.a;I see...;Je vois ...;;;;;;;;;;;;x
silkroad.5.name;Sogdian Colony Prospers;Colonie Sogdienne prospère;;;;;;;;;;;;x
silkroad.5.desc;The once fledging Sogdian colony in [Root.GetName] has blossomed! In fact, the Sogdians now make up the majority of people in the region.;La colonie Sogdienne de [Root.GetName] s'est épanouie ! En fait, les Sogdiens constituent maintenant la majorité de la population de la région.;;;;;;;;;;;;x
silkroad.5.a;Very well.;Très bien.;;;;;;;;;;;;x
