#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
tall;Tall;Grand;Tall;;Alto;;;;;;;;;x
tall_desc;This character is of considerable stature, taller than most.;Ce personnage est d’une stature importante, plus grand que la plupart.; This character is of considerable stature, taller than most.;;Este personaje tiene una altura considerable, más alto que la mayoría.;;;;;;;;;x
agile;Agile;Agile;Agile;;Ágil;;;;;;;;;x
agile_desc;This character is nimbler and quicker than most.;Ce personnage est plus leste et rapide que la plupart.;This character is nimbler and quicker than most.;;Este personaje es más rápido y escurridizo que la mayoría.;;;;;;;;;x
perceptive;Perceptive;Perspicace;Perceptive;;Perspicaz;;;;;;;;;x
perceptive_desc;This character is sharp, possessing excellent senses and intuition.;Ce personnage est vif d'esprit, a des excellents sens et une bonne intuition.;This character is sharp, possessing excellent senses and intuition.;;Este personaje es sagaz, y posee excelentes sentidos e intuición.;;;;;;;;;x
melodious_voice;Melodious Voice;Voix mélodieuse;Melodious Voice;;Voz melodiosa;;;;;;;;;x
melodious_voice_desc;This character has a pleasing voice that sounds like the singing of birds, or a choir of angels.;Ce personnage a une voix plaisante qui ressemble au chant des oiseaux ou un chœur d’anges.; This character has a pleasing voice that sounds like the singing of birds, or a choir of angels.;;Este personaje tiene una voz agradable que suena como el canto de los pájaros, o un coro de ángeles.;;;;;;;;;x
powerful_voice;Powerful Voice;Voix puissante;Powerful Voice;;Voz poderosa;;;;;;;;;x
powerful_voice_desc;This character speaks in an imposing tone that can persuade friends, frighten enemies, and inspire subordinates.;Ce personnage parle avec un ton imposant qui peut persuader des amis, effrayer des ennemis et inspirer des subordonnés.; This character speaks in an imposing tone that can persuade friends, frighten enemies, and inspire subordinates.;;Este personaje habla con un tono imponente que logra persuadir amigos, asustar enemigos e inspirar a sus subordinados;;;;;;;;;x
ambidextrous;Ambidextrous;Ambidextre;Ambidextrous;;Ambidiestro;;;;;;;;;x
ambidextrous_desc;This character can naturally use both hands with equal skill. As a result, they are more efficient in whatever they do, whether it is swinging swords or writing letters.;Ce personnage est capable d’utiliser les deux mains avec autant d’adresse. Par conséquent, ils sont plus efficaces pour tout travail manuel, que ce soit de manier l’épée ou écrire des lettres.;;;Este personaje es capaz de usar ambas manos con igual destreza. Como resultado, es más eficiente en cualquier tarea manual, como manejar la espada o escribir cartas.;;;;;;;;;x
#lefthanded;Lefthanded;Gaucher;Lefthanded;;Zurdo;;;;;;;;;x
#lefthanded_desc;This character is better at using their left hand than their right hand. It offers them many advantages when dealing with others, but it is viewed as impious by religious authorities.;Ce personnage est plus habile avec la main gauche que la main droite. Ceci leur donne de nombreux avantages lorsqu’ils affrontent d’autres personnes, mais c’est considéré comme impie par les autorités religieuses.;;;Este personaje es más hábil con la izquierda que con la derecha. Le da mucha ventaja en sus enfrentamientos con los demás, pero es visto como impío por las autoridades religiosas.;;;;;;;;;x
wrymouth;Wrymouth;Mâchoire déformée;Wrymouth;;Quijada deforme;;;;;;;;;x
wrymouth_desc;This character was born with an oddly-shaped chin or jaw – perhaps it is too big, or too small. Hopefully, this facial feature won’t spread with interbreeding.;Ce personnage est né avec une mâchoire ou un menton trop grand ou trop petit. Avec un peu de chance cette caractéristique faciale ne sera pas héritée par la descendance.;;;Este personaje ha nacido con la mandíbula o la barbilla excesivamente prominente o demasiado pequeña. Con algo de suerte este rasgo no se heredará.;;;;;;;;;x
absentminded;Absent-Minded;Distrait;Absent-Minded;;Olvidadizo;;;;;;;;;x
absentminded_desc;This erratic character was born with a scatterbrained temperament. They tend to forget things easily, get distracted too easily, or both. This behavior may be endearing to some, but to others it is an annoyance.;Ce personnage changeant est né tête en l’air. Ils ont tendance à facilement oublier les choses, trop facilement se distraire ou les deux. Ce comportement peut paraître charmant pour certains, mais pour d’autres c’est agaçant.;;;Este personaje ha nacido con un temperamento errático. Olvida las cosas con facilidad, se distrae a menudo, o ambas cosas. Este comportamiento puede parecer entrañable a algunos, pero es un incordio para otros.;;;;;;;;;x
deaf;Deaf;Sourd;Deaf;;Sordo;;;;;;;;;x
deaf_desc;This character is hard of hearing, or, worse, cannot hear at all. Such a disability limits their ability to function.;Ce personnage est dur d’oreille, ou pire, n’entend pas du tout. Ce handicap limite leur capacité d’agir.;;;A este personaje le cuesta escuchar o, peor aún, no oye nada.  Esta incapacidad reduce sus posibilidades de acción.;;;;;;;;;x
lip_reader;Lip-reader;Lecteur labial;Lip-reader;;Lector de labios;;;;;;;;;x
