#CODE;FLAVOR EVENTS CODED FOR WTWSMS;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
VIET_noric_smiths;Noric Steelsmiths;Forgerons noriques;;;;;;;;;;;;x
VIET_noric_smiths_desc;Though Noric steel is no longer as prized as it used to be, the steelsmiths of this province have had a revival of fortunes recently.;Bien que l'acier norique ne soit plus aussi prisé qu'auparavant, les forgerons de cette province ont récemment connu un regain de popularité.;;;;;;;;;;;;x
VIET_noric_legendary_capital;Lost City of Noreia;Ville perdue de Noreia;;;;;;;;;;;;x
VIET_noric_legendary_capital_desc;Whether true or not, some believe that certain ruins located in this region are the last vestiges of the legendary Noreia, lost city of the ancient Noric people.;Que ce soit vrai ou non, certains croient que certaines ruines situées dans cette région sont les derniers vestiges de la légendaire Noreia, cité perdue de l'ancien peuple norique.;;;;;;;;;;;;x
VIET_saliunca_perfume;Saliunca Perfume;Parfum Saliunca;;;;;;;;;;;;x
VIET_gentian_herb;Gentian Herb;Herbe de gentiane;;;;;;;;;;;;x
VIET_gentian_herb_desc;An ancient Noric herb, said to help with various medical issues like fever, digestive problems, wounds, malaria, and more.;Une ancienne herbe norique, réputée pour aider à traiter divers problèmes médicaux comme la fièvre, les problèmes digestifs, les plaies, le paludisme, et plus encore.;;;;;;;;;;;;x
VIET_learn_from_steppe_nomads;Respect for Steppe Nomads;Respect des nomades des steppes;;;;;;;;;;;;x
VIET_learn_from_steppe_nomads_desc;This character recognizes that the steppe nomads are not to be trifled with, and there is much that settled, civilized peoples can learn from them.;Ce personnage reconnaît que les nomades de la steppe ne doivent pas être badinés et qu'il y a beaucoup de choses que les peuples civilisés et établis peuvent apprendre d'eux.;;;;;;;;;;;;x
VIET_proud_mixed_greek;Pride of being Mixed Greek;Fierté d'être un grec mixte;;;;;;;;;;;;x
VIET_proud_mixed_greek_desc;This character claims ancestry or cultural heritage coming from both Greeks and barbarians, and is proud of it, seeing that they have inherited the best of both worlds.;Ce personnage revendique une ascendance ou un héritage culturel provenant à la fois des Grecs et des barbares, et en est fier, puisqu'ils ont hérité du meilleur des deux mondes.;;;;;;;;;;;;x
VIET_bosporan_shipowner_cool;Prosperous Bosporan Shipowners' Guild;Prospère guilde des armateurs bosphores;;;;;;;;;;;;x
VIET_bosporan_shipowner_cool_desc;For many years, the Bosporan shipowners' guild have been at the forefront of business and commerce. Their recent activities in this province have proven fruitful.;Depuis de nombreuses années, la guilde des armateurs Bosphores est à la pointe de l'économie et du commerce. Leurs récentes activités dans cette province se sont avérées fructueuses.;;;;;;;;;;;;x
VIET_thankful_legends;Thankful about the Present;Reconnaissant du présent;;;;;;;;;;;;x
VIET_thankful_legends_desc;After reading some stories about how terrible life was for the brutish, filthy, troglodytes of bygone eras, this character is much more thankful for living in such a relatively civilized and peaceful era.;Après avoir lu quelques histoires sur l'horreur de la vie des troglodytes d'autrefois, ce personnage est bien plus reconnaissant de vivre à une époque aussi civilisée et pacifique.;;;;;;;;;;;;x
VIET_Greek_wine_imports;Greek Wine Imports;Importations de vins grecs;;;;;;;;;;;;x
VIET_hiring_corduenian_builders;Hiring Corduenian Builders;Embauche des constructeurs corduéens;;;;;;;;;;;;x
VIET_hiring_corduenian_builders_desc;The Corduenians are famous for being some of the best engineers and constructors in the world. This character has hired a number of them to assist in various projects in their realm.;Les Corduéens sont réputés pour être parmi les meilleurs ingénieurs et constructeurs du monde. Ce personnage a engagé un certain nombre d'entre eux pour qu'ils participent à divers projets dans son royaume.;;;;;;;;;;;;x
xxxxxxxxxx;xxxxxxxxxx;xxxxxxxxxx;;;;;;;;;;;;x
