#Stuff;;;;;;;;;;;;;;x
obj_have_five_children_title;Have 5 Children;Avoir 5 Enfants;;;;;;;;;;;;x
obj_have_five_children_desc;[This.GetTitledFirstName] wants to expand [This.GetHerHis] family and ensure the survival of [This.GetHerHis] lineage by having at least 5 children;[This.GetTitledFirstName] veut etendre sa famille et assurer la survie de sa lignee en ayant au moins 5 enfants;;;;;;;;;;;;x
obj_have_ten_children_title;Have 10 Children;Avoir 10 Enfants;;;;;;;;;;;;x
obj_have_ten_children_desc;[This.GetTitledFirstName] wants to expand [This.GetHerHis] family and ensure the survival of [This.GetHerHis] lineage by having at least 10 children;[This.GetTitledFirstName] veut etendre sa famille et assurer la survie de sa lignee en ayant au moins 10 enfants;;;;;;;;;;;;x
#obj_make_a_friend_title;Make a Friend;Se faire un Ami(e);;;;;;;;;;;;x
#obj_make_a_friend_desc;[This.GetTitledFirstName] wants to make a friend;[This.GetTitledFirstName] veut se faire un Ami(e);;;;;;;;;;;;x
obj_befriend_priest_title;Befriend Priest;etre ami avec un Pretre;;;;;;;;;;;;x
obj_befriend_priest_desc;[This.GetTitledFirstName] wants to befriend a holy man;[This.GetTitledFirstName] veut etre ami avec un saint homme;;;;;;;;;;;;x
obj_crusade_title;Go on Crusade;Aller en Croisade;;;;;;;;;;;;x
obj_crusade_desc;[This.GetTitledFirstName] wants to go on a Crusade and fight infidels;[This.GetTitledFirstName] veut aller en Croisade et combattre les infideles;;;;;;;;;;;;x
obj_jihad_title;Wage Jihad;Aller en Jihad;;;;;;;;;;;;x
obj_jihad_desc;[This.GetTitledFirstName] wants to wage Jihad and fight infidels;[This.GetTitledFirstName] veut aller en Jihad et combattre les infideles;;;;;;;;;;;;x
obj_acquire_concubine_title;Acquire Concubine;Avoir une Comcubine;;;;;;;;;;;;x
obj_acquire_concubine_desc;[This.GetTitledFirstName] wants a beautiful, young, nubile concubine;[This.GetTitledFirstName] veut une belle et jeune concubine nubile;;;;;;;;;;;;x
obj_gain_title_title;Gain Title;Obtenir un Titre;;;;;;;;;;;;x
obj_gain_title_desc;[This.GetTitledFirstName] wants to gain a landed title;[This.GetTitledFirstName] veut avoir un titre pour gouverner une nouvelle terre;;;;;;;;;;;;x
obj_win_republic_election_title;Win Republic Election;Gagner l'Election republicaine;;;;;;;;;;;;x
obj_win_republic_election_desc;[This.GetTitledFirstName] wants to win an election in [This.GetHerHis] Merchant Republic;[This.GetTitledFirstName] veut gagner une election dans une Republique Marchande;;;;;;;;;;;;x
obj_command_an_army_title;Command an Army;Commander une armee;;;;;;;;;;;;x
obj_command_an_army_desc;[This.GetTitledFirstName] wants to prove [This.GetHerHis] worth as a military commander;[This.GetTitledFirstName] veut prouver sa valeur en tant que commandant militaire;;;;;;;;;;;;x
fufu;Faithfu;Fidele;;;;;;;;;;;;x
