#Retinue Ancillaries;;;;;;;;;;;;;;x
faithful_servant;Faithful Servant (Retinue);Serviteur fidèle (Entourage);;;;;;;;;;;;x
faithful_servant_desc;This character is attended by a loyal servant, willing to do whatever it takes to ensure his or her master’s safety and happiness.;Ce personnage est accompagné par un fidèle serviteur, prêt à faire tout ce qu'il faut pour assurer la sécurité et le bonheur de son maître.;;;;;;;;;;;;x
scout;Scout;Scout;;;;;;;;;;;;x
torturer;Torturer;Tortionnaire;;;;;;;;;;;;x
clerk;Clerk;Clerc;;;;;;;;;;;;x
artist;Artist;Artiste;;;;;;;;;;;;x
sufi_master;Sufi master;Maître soufi;;;;;;;;;;;;x
translator;Translator;Traducteur;;;;;;;;;;;;x
#Item Ancillaries;;;;;;;;;;;;;;x
fine_cosmetics;Fine Cosmetics;Bons cosmétiques;;;;;;;;;;;;x
fine_cosmetics_desc;This woman has acquired exquisite, fine cosmetics, enhancing her appearance.;Cette femme a acquis des cosmétiques exquis et fins, améliorant son apparence.;;;;;;;;;;;;x
ornate_armor;Ornate Armor;Armure ornée;;;;;;;;;;;;x
ornate_armor_desc;This man possesses a set of ornate armor - while not practical in battle, it makes him look rather intimidating indeed.;Cet homme possède un ensemble d'armures ornées - alors qu'il n'est pas pratique dans la bataille, il paraît plutôt intimidant.;;;;;;;;;;;;x
#chess_set;Chess Set;Jeu d'échecs;;;;;;;;;;;;x
#chess_set_desc;This character is a chess enthusiast, and always has with them an old, worn chess set.;Ce personnage est un passionné d'échecs, et a toujours avec eux un vieux jeu d'échecs usé.;;;;;;;;;;;;x
lucky_charm;Lucky Charm;Porte-bonheur;;;;;;;;;;;;x
lucky_charm_desc;This character is blessed with a trinket bringing luck and fortune.;Ce personnage est béni avec un bibelot apportant de la chance et de la fortune.;;;;;;;;;;;;x
#silk_dress;Silk Dress;Robe en soie;;;;;;;;;;;;x
abacus;Abacus;Abaque;;;;;;;;;;;;x
trusty_blade;Trusty Blade;Lame fiable;;;;;;;;;;;;x
#world_map;World Map;Carte du monde;;;;;;;;;;;;x
#Pet Ancillaries;;;;;;;;;;;;;;x
pet_monkey;Pet Monkey;Singe de compagnie;;;;;;;;;;;;x
pet_monkey_desc;This character is accompanied by a mischievous little monkey.;Ce personnage est accompagné d'un petit singe malicieux.;;;;;;;;;;;;x
sacred_reindeer;Shaman;Shaman;;;;;;;;;;;;x
sacred_reindeer_desc;This character is a Shaman, a wise and spiritual man or woman who has the ability to communicate with nature and travel to the spirit world.;Ce personnage est un Shaman, un homme ou une femme sage et spirituel qui a la capacité de communiquer avec la nature et de voyager dans le monde spirituel.;;;;;;;;;;;;x
songbird;Songbird;Oiseau chanteur;;;;;;;;;;;;x
swift_steed;Swift Steed;Étalon rapide;;;;;;;;;;;;x
guard_dog;Guard Dog;Chien de garde;;;;;;;;;;;;x
