VIETmisc.2010.desc;I tripped and fell down on the stairs! Thank heavens I'm okay - I just have a few bruises. My doctor said I should treat it with chicory, which I hate because of its bitter taste. Though I won't be eating it, having to deal with it is just annoying.;J'ai trébuché et suis tombe dans les escaliers ! Dieu merci, je vais bien, j'ai juste quelques bleus. Mon médecin a déclaré que je devrais le traiter avec de la chicorée, ce que je déteste en raison de son goût amer. Bien que je ne le mangerai pas, avoir à lui faire face est ennuyeux.;;;;;;;;;;x
VIETmisc.2010.a;But I don't want my bruises to get worse.;Mais je ne veux pas que mes bleus s'empirent.;;;;;;;;;;;;x
VIETmisc.2011.desc;Since I rule over a large Greek population I eat quite a lot of Greek food. I've found that the Greeks love eating khorta, or greens, a bitter mix of plants and herbs. It is extremely bitter though. I don't know if I can ever get used to it...;Depuis que je règne sur une grande partie de la population grecque, je mange beaucoup de nourriture grecque. J'ai constaté que les Grecs adorent manger des khorta, ou des légumes, un mélange amer de plantes et d'herbes. C'est cependant extrêmement amer. Je ne sais pas si je peux m'y habituer ...;;;;;;;;;;x
VIETmisc.2011.a;Bitter foods can be tasty!;Les aliments amers peuvent être délicieux !;;;;;;;;;;;;x
VIETmisc.2011.b;Forget this Greek filth!;Oubliez cette saleté grecque !;;;;;;;;;;;;x
VIETmisc.2012.desc;Coffee. No man can live without it, where we are, myself included. It is a natural part of our diet. Most drink it bitter, but some make it sweet by adding sugar.;Le café. Aucun homme ne peut vivre sans, moi-même inclus. C'est une partie naturelle de notre alimentation. La plupart le boivent amer, mais certains le rendent doux en ajoutant du sucre.;;;;;;;;;;x
VIETmisc.2012.a;I prefer my coffee bitter, as is custom.;Je préfère mon café amer, c'est comme ça.;;;;;;;;;;;;x
VIETmisc.2012.b;Sweet coffee is better. Without it it's too bitter.;Le café sucré est mieux. Sans ça, c'est trop amer.;;;;;;;;;;;;x
VIETmisc.2013.desc;Bitter! Olives can't be this bitter, who can eat them? How will anyone make olive oil? It seems the stock of olives I bought were too raw.;Les olives ne peuvent pas être amères, qui peuvent les manger ? Comment quelqu'un fera de l'huile d'olive avec ça ? Il semble que le stock d'olives que j'ai acheté soit trop cru.;;;;;;;;;;x
VIETmisc.2013.a;What a waste.;Quel gâchis !;;;;;;;;;;;;;x
VIETmisc.2014.desc;I've ate a lot of arugula lately in my salads. No wonder I've been feeling so... stimulated in certain ways. People say it's an aphrodisiac after all.;J'ai récemment mange beaucoup de roquette dans mes salades. Pas étonnant que je me sente ainsi ... stimule de certaines façons. Les gens disent que c'est un aphrodisiaque après tout.;;;;;;;;;;x
VIETmisc.2014.a;Good! Maybe this will last a long time...;Bien ! Peut-être que cela durera longtemps ...;;;;;;;;;;;;x
VIETmisc.2014.b;I should eat cabbages, which will calm me down.;Je devrais manger des choux, ce qui me calmera.;;;;;;;;;;;;x
VIETmisc.2015.desc;Spinach may taste bitter, but I eat it because I've found it makes me feel healthier and stronger. (I've heard rumors of a less bitter spinach in faraway lands, though.);Les épinards peuvent avoir de l'amertume, mais je le mange parce que j'ai trouvé que cela me rend plus sain et plus fort. (Cependant, j'ai entendu des rumeurs d'un épinard moins amer dans des terres lointaine).;;;;;;;;;;x
VIETmisc.2015.a;I'm strong to the finish because I eat my spinach!;Je suis fort à la fin parce que je mange mes épinards !;;;;;;;;;;;;x
popeye_spinach_eater;You become healthier than most. (+0.5 health);Vous devenez plus sain que la plupart des gens. (+0,5 de santé);;;;;;;;;;;;x
VIET_spinach_popeye;Spinach eater;;;;;;;;;;;;;x
VIET_tried_something_new;Tried Something New;Essayer quelque chose de nouveau;;;;;;;;;;;;x
VIET_feeling_sexy;Excited and Stimulated;Excité et stimulé;;;;;;;;;;;;x
VIET_feeling_sexy_desc;This character is feeling a bit more "stimulated" than normal. Their lover(s) better beware!;Ce personnage se sent un peu plus "stimulé" que la normale. Leur amant(s) se méfie plus !;;;;;;;;;;;;x
