#EASTERN RELIGIONS STUFF ;;;;;;;;;;;;;;x
visited_buddhist_temple;Recently Visited a Buddhist Temple;Visite récente d'un temple bouddhiste;;;;;;;;;;;;x
compassionate_loving_kindness_buddhist;Full of Compassion and Loving-Kindness;Plein de compassion et bonté;;;;;;;;;;;;x
compassionate_loving_kindness_buddhist_desc;This Buddhist ruler is known for his or her kindness, an important virtue in Buddhism.;Ce souverain bouddhiste est connu pour sa bonté, une vertu importante dans le Bouddhisme.;;;;;;;;;;;;x
not_compassionate_loving_kindness_buddhist;Has no Compassion and Loving-Kindness;N'a aucune compassion et bonté;;;;;;;;;;;;x
not_compassionate_loving_kindness_buddhist_desc;This Buddhist ruler is known for his or her lack of kindness, an important virtue in Buddhism.;Ce souverain bouddhiste est connu pour son manque de gentillesse, une vertu importante dans le Bouddhisme.;;;;;;;;;;;;x
buddhist_temperance;Buddhist Moderation;Modération bouddhiste;;;;;;;;;;;;x
buddhist_temperance_desc;This Buddhist ruler is temperate in his or her wants and needs, an important virtue in Buddhism.;Ce souverain bouddhiste est tempéré dans ce qu'il veut et ses besoins, une vertu importante dans le Bouddhisme.;;;;;;;;;;;;x
buddhist_gluttony;Lack of Moderation;Manque de modération;;;;;;;;;;;;x
buddhist_gluttony_desc;This Buddhist ruler constantly desires and craves luxurious things, a vice in Buddhism. ;Ce souverain bouddhiste désire constamment des choses luxueuses, un vice dans le Bouddhisme.;;;;;;;;;;;;x
buddhist_zeal;Zealous Buddhist;Bouddhiste zélé;;;;;;;;;;;;x
buddhist_zeal_desc;Zealous Buddhists try to comply with the Buddhist virtues, the Brahmavihara - loving-kindness, compassion, joy in others' happiness, and equanimity.;Les bouddhistes zélés essaient de se conformer aux vertus bouddhistes, le Brahmavihara - la bonté, la compassion, la joie dans le bonheur des autres et l'équanimité.;;;;;;;;;;;;x
buddhist_cynicism;Cynical Buddhist;Bouddhiste cynique;;;;;;;;;;;;x
buddhist_cynicism_desc;Cynicism about religious affairs is not necessarily disapproved by all Buddhists. The Buddha himself argued that one must approach all teachings with a skeptical mind, and many Buddhist masters wholly disapproved of the religious aspects of their traditions.;Le cynisme sur les affaires religieuses n'est pas nécessairement désapprouvé par tous les bouddhistes. Le Bouddha lui-même a soutenu qu'il fallait aborder tous les enseignements avec un esprit sceptique, et de nombreux maîtres bouddhistes ont totalement désapprouvé les aspects religieux de leurs traditions.;;;;;;;;;;;;x
buddhist.1.desc;To show your devotion to the Dharma and Sangha, or the Buddhist doctrine and community, respectively, you’ve decided to visit one of the major temples in your region. Entering the temple, you observe various routines, such as lighting incense, saying prayers, and engaging in a bit of meditation.;Pour montrer votre dévouement au Dharma et à la Sangha, ou à la doctrine et à la communauté bouddhiste, vous avez décidé de visiter l'un des principaux temples de votre région. En entrant dans le temple, vous observez diverses routines, comme l'encens de l'éclairage, les prières et la méditation.;;;;;;;;;;;;x
buddhist.1.a;Hopefully, I’ll cultivate good merit for this!;J'espère que je cultiverai un bon mérite pour cela !;;;;;;;;;;;;x
buddhist.12.desc;Your devotion to the Middle Way has earned you much praise and respect throughout the world. Buddhists around the world are proclaiming you a so-called “Dharma-King,” a protector and propagator of the Buddhist faith and a devout and compassionate practitioner who has dedicated [Root.GetHerHis] life for the benefit of all sentient beings. Whether you can continue upholding such ideals is another matter, but what is certain is that you will forever live on in the annals of history as one of the great Buddhist lords, akin to the noble monarchs of old such as Ashoka or Menander.;Votre dévouement envers la voie du milieu vous a valu beaucoup d'éloges et de respect dans le monde entier. Les bouddhistes du monde entier vous proclament le "Roi-Dharma", un protecteur et propagateur de la foi bouddhiste et un pratiquant dévot et compatissant qui a dédié sa vie au bénéfice de tous les êtres. Que vous puissiez continuer à défendre de tels idéaux est une autre question, mais ce qui est certain, c'est que vous allez vivre dans les annales de l'histoire comme l'un des grands seigneurs bouddhistes, semblables aux nobles monarques anciens, comme Ashoka ou Menander.;;;;;;;;;;;;x
buddhist.12.name;The Dharma King;Le Roi-Dharma;;;;;;;;;;;;x
buddhist.12.a;I will do my best to protect the Buddha, Dharma, and Sangha.;Je ferai de mon mieux pour protéger le Bouddha, le Dharma et la Sangha.;;;;;;;;;;;;x
aggressive_buddhist;Aggressive Buddhist;Bouddhiste agressif;;;;;;;;;;;;x
aggressive_buddhist_desc;This ruler is engaged in a war of aggression, which may upset some of his or her Buddhist subjects.;Ce souverain s'engage dans une guerre d'agression qui peut bouleverser certains de ses sujets bouddhistes.;;;;;;;;;;;;x
nick_dharma_king;the Dharma King;Le Roi-Dharma;;;;;;;;;;;;x
title_saintly_monk;Saintly Monk;Saint Moine;;;;;;;;;;;;x
title_saintly_monk_desc;"Saintly Monk" is a title given to a Buddhist Bhikkhu, or Monk, in recognition of his immense wisdom and great compassion.;"Saint Moine" est un titre donné à un bouddhiste Bhikkhu, ou un Moine, en reconnaissance de son immense sagesse et de sa grande compassion.;;;;;;;;;;;;x
title_saintly_nun;Saintly Nun;Sainte Nonne;;;;;;;;;;;;x
title_saintly_nun_desc;"Saintly Nun" is a title given to a Buddhist Bhikkhuni, or Nun, in recognition of her immense wisdom and great compassion.;"Sainte Nonne" est un titre donné à un bouddhiste Bhikkhuni, ou une Nonne, en reconnaissance de son immense sagesse et de sa grande compassion.;;;;;;;;;;;;x
#Dedicating Holy Site ;;;;;;;;;;;;;;x
building_buddhist_holy_site;Currently Building a Buddhist Holy Site;Construction en cours d'un site sacré Bouddhiste;;;;;;;;;;;;x
built_buddhist_stupa;Built a Stupa;Construire un Stupa;;;;;;;;;;;;x
built_buddhist_temple;Built a Temple;Construire un temple;;;;;;;;;;;;x
built_buddhist_monastery;Built a Monastery;Construire un monastère;;;;;;;;;;;;x
visit_buddhist_temple;Visit a Buddhist Temple;Visiter un temple Bouddhiste;;;;;;;;;;;;x
visit_buddhist_temple_desc;Pay a visit to one of the local, powerful temples of your realm.;Visitez l'un des temples locaux de votre royaume.;;;;;;;;;;;;x
#visited_buddhist_temple;Recently Visited a Temple;A visité récemment un temple;;;;;;;;;;;;x
visited_buddhist_temple_desc;This Buddhist ruler recently visited a Buddhist temple, where he/she participated in various religious practices.;Ce souverain bouddhiste a récemment visité un temple bouddhiste où il a participé à diverses pratiques religieuses.;;;;;;;;;;;;x
dedicate_holy_site;Dedicate a Buddhist Holy Site;Dédier un site sacré Bouddhiste;;;;;;;;;;;;x
dedicate_holy_site_desc;Initiate construction of either a Stupa, Temple, or Monastery in order to bring yourself much karmic merit.;Initiez la construction d'un Stupa, d'un temple ou d'un monastère afin de vous apporter beaucoup de mérite karmique.;;;;;;;;;;;;x
buddhist.13.desc;In the past, Buddhist lords have often erected stupas, temples, or monasteries in order to help all sentient beings and increase their own merit. I will do likewise. Having gathered all the necessary resources and men, I will order the construction of a...;Dans le passé, les seigneurs bouddhistes ont souvent érigé des stupas, des temples ou des monastères afin d'aider tous les êtres et d'augmenter leur propre mérite. Je ferai de même. Après avoir recueilli toutes les ressources et les hommes nécessaires, je vais commander la construction d'un ...;;;;;;;;;;;;x
buddhist.13.a;Stupa;Stupa;;;;;;;;;;;;x
buddhist.13.b;Temple;Temple;;;;;;;;;;;;x
buddhist.13.c;Monastery;Monastère;;;;;;;;;;;;x
buddhist.14.desc;A stupa is often used to house the blessed relics of a great monk or spiritual teacher. The monks have identified the relics of one such holy man who once lived nearby, and his relics will be stored in this stupa.;Un stupa est souvent utilisé pour loger les reliques bénies d'un grand moine ou d'un professeur spirituel. Les moines ont identifié les reliques d'un tel saint homme qui habitait à proximité, et ses reliques seront stockées dans ce stupa.;;;;;;;;;;;;x
buddhist.14.a;Now, we simply wait for construction to finish.;Maintenant, nous attendons simplement la fin de la construction.;;;;;;;;;;;;x
buddhist.15.tooltip;Construction of the stupa begins;La construction de la stupa commence;;;;;;;;;;;;x
buddhist.15.desc;My stupa has finished construction! It is most auspicious that the holy relics can be stored in a good place like this in my own realm. I am glad to have been able to dedicate this stupa.;Mon stupa a fini sa construction ! Il est propice que les reliques saintes puissent être stockées dans un bon endroit comme celui-ci dans mon propre domaine. Je suis heureux d'avoir pu dédier ce stupa.;;;;;;;;;;;;x
buddhist.15.a;I certainly gained a lot of karmic merit for this, too.;J'ai également gagné beaucoup de mérite karma pour cela.;;;;;;;;;;;;x
