fantasia.0.desc;Lately, everyone has noticed a lovely young maiden who occasionally comes to attend Church services at the church I go to. But what strikes everybody as amazing is her voice - it is beautiful beyond imagination! Why she is here, and who she is, no one knows.;Dernièrement, tout le monde a remarqué une jeune fille charmante qui vient occasionnellement à l'église où je me rends. Mais ce qui frappe tout le monde, c'est sa voix - c'est bien au-delà de l'imagination ! Personne ne sait pourquoi elle est ici et qui elle est.;;;;;;;;;;x
fantasia.0.a;But she doesn't harm anyone, so we accept her presence.;Mais elle ne fait de mal à personne, alors nous acceptons sa présence.;;;;;;;;;;;;x
fantasia.1.tooltip;I am fascinated by her...;Je suis fasciné par elle ...;;;;;;;;;;x
fantasia.2.title;A Mysterious Disappearance;Une disparition mystérieuse;;;;;;;;;;;;x
fantasia.2.desc;Where has [From.GetTitledFirstName] gone? No one knows what happened to that youth.\n\nI was in fact the last person to see him. He was there, by the sea, singing beautifully with that mysterious maiden with the lovely voice. They began walking towards the waters, but at that point I figured they may have wanted some privacy, so I left them alone.\n\nMaybe they were lovers, and eloped somewhere?;Où est parti [From.GetTitledFirstName] ? Personne ne sait ce qui est arrivé à ce jeune. J'ai été la dernière personne à le voir. Il était là, au bord de la mer, chantant magnifiquement avec cette mystérieuse jeune fille à la voix si charmante. Ils ont commencé à marcher vers les eaux, mais à ce moment-là, je me suis dit qu'ils voulaient peut-être un peu d'intimité, alors je les ai laissés seuls. Peut-être étaient-ils amants et qu'ils se sont enfuis quelque part ?;;;;;;;;;;x
fantasia.2.a;Who knows. But I have business to attend to...;Qui sait. Mais j'ai des affaires à régler ...;;;;;;;;;;;;x
fantasia.3.tooltip;Everyone slowly forgets about [From.GetTitledFirstName]. For all we know, he is dead.;Tout le monde oublie lentement [From.GetTitledFirstName]. Pour ce qu'on en sait, il est mort.;;;;;;;;;;x
fantasia.3.title;Siren?;Sirènes ?;;;;;;;;;;;;x
fantasia.3.desc;Early in the morning, though I'm feeling sleepy, I want to escape the confines of my residence and get some fresh air. I travel to the edge of the sea, to feel the fresh ocean breeze and see the pure waters.\n\nFor my amusement, I walk into the waves getting my feet wet (no matter, my servants will clean me afterwards), and hurl some stones into the ocean, as far as I can, to see how strong I am. I pause, however, as I hear a young woman's voice.\n\nI turn around, and to my shock, I see that very same maiden with the beautiful singing voice, the one I thought eloped away, sitting on one of the nearby rocks. But this time, there's something different about her. I glance down, and to my horror I realize she has no feet, but fish scales.;Tôt le matin, bien que je me sente endormie, je veux sortir de chez moi et prendre l'air. Je voyage au bord de la mer, pour sentir la brise fraîche de l'océan et voir les eaux pures. Pour mon amusement, je marche dans les vagues en me mouillant les pieds (peu importe, mes serviteurs me nettoieront après), et je jette des pierres dans l'océan, aussi loin que je peux, pour voir à quel point je suis fort. Je m'arrête, cependant, en entendant la voix d'une jeune femme. Je me retourne, et à ma grande surprise, je vois cette même jeune fille avec la belle voix qui chante, celle que je pensais s'être enfuie, assise sur un des rochers voisins. Mais cette fois, elle a quelque chose de différent. Je jette un coup d’œil, et à mon horreur je réalise qu'elle n'a pas de pieds, mais des écailles de poisson.;;;;;;;;;;x
fantasia.3.a;"Stop that stone-throwing" the mermaid says, smiling.;"Arrêtez de jeter des pierres", dit la sirène en souriant.;;;;;;;;;;;;x
fantasia.4.tooltip;I'm too shocked to say anything, much less apologize.;Je suis trop choqué pour dire quoi que ce soit, et encore moins m'excuser.;;;;;;;;;;x
fantasia.4.title;A Voice Like No Other;Une voix comme aucune autre;;;;;;;;;;;;x
