dulcinian_redistribution;Redistribute Wealth from Treasury;Redistribuer la richesse de la trésorerie;;;;;;;;;;;;x
dulcinian_redistribution_desc;All good [Root.Religion.GetName] share in an egalitarian society - have you done your part?;Tous bons [Root.Religion.GetName] partagent dans une société égalitaire - avez-vous contribué ?;;;;;;;;;;;;x
corrupt_dulcinian_1;Somewhat Corrupt Populist;Populiste un peu corrompu;;;;;;;;;;;;x
corrupt_dulcinian_1_desc;This ruler gravitates excessive wealth and loves power - why doesn't he or she distribute is gains like a proper man of the people? Fellow Populists are distrustful of this ruler. ;Ce suzerain gravite autour de la richesse excessive et aime le pouvoir - pourquoi ne distribue-t-il pas ses gains comme un homme du peuple ? Les autres populistes se méfient de ce dirigeant.;;;;;;;;;;;;x
corrupt_dulcinian_2;Very Corrupt Populist;Populiste très corrompu;;;;;;;;;;;;x
corrupt_dulcinian_2_desc;This ruler supports an oppressive hierarchy, one that wallows in luxury. If he or she doesn't redistribute the wealth soon, other Populists might have to "purge" him or her!;Ce suzerain soutient une hiérarchie oppressante, celle qui se vautre dans le luxe. S'il ne redistribue pas les richesses bientôt, d'autres populistes devront peut-être le "purger" !;;;;;;;;;;;;x
corrupt_dulcinian_3;Irredeemably Corrupt Populist;Populiste irrémédiablement corrompu;;;;;;;;;;;;x
corrupt_dulcinian_3_desc;This ruler is irredeemably corrupt - power-hungry, repressive, and greedy beyond measure. All of his or her realm, there is talk of "purging" him or her... permanently.;Ce dirigeant est irrémédiablement corrompu - avide de pouvoir, répressif et avide de toute mesure. Tout son royaume, on parle de le "purger" ... en permanence.;;;;;;;;;;;;x
hypocrite_county_conquest;$ORDER$$FIRST_ADJ$ Purification of [Title.GetBaseName];$ORDER$$FIRST_ADJ$ Purification de [Title.GetBaseName];;;;;;;;;;;;x
hypocrite_county_conquest_desc;§Y$CLAIMANT$§! can plunder and conquer the lands held by the corrupt §Y$TARGET$§! and purify them of such filth..;§Y$CLAIMANT$§! peut piller et conquérir les terres détenues par le corrompu §Y$TARGET$§! et le purifier de cette saleté ...;;;;;;;;;;;;x
dulcinian;Dulcinian;dolcinien;;;;;;;;;;;;x
dulcinian_desc;The Dulcinian movement was a religious sect of the Late Middle Ages, originating within the Apostolic Brethren. The Dulcinians, or Dulcinites, and Apostolics were inspired by Franciscan ideals and influenced by the Joachimites, but were considered heretical by the Catholic Church. They espoused the end of feudalism, redistribution and sharing of wealth and power, and an egalitarian society. They were also notorious for their raids and plundering, and senseless slaughter of innocents, justified in their view because they the believers were pure and those who accepted the Church were corrupt beyond salvation.\n\nIn game, the Dulcinians can raid, have female temple holders, and a pope. They also have access to a special CB usable on "corrupt" Christians, but cannot go above low crown authority. Additionally, Dulcinian rulers who hoard gold or have low crown authority will suffer massive malus.;Le mouvement Dolcinien était une secte religieuse de la fin du Moyen Âge, originaire des Frères Apostoliques. Les Dolciniens, et les Apostoliques furent inspirés par les idéaux franciscains et influencés par les Joachimites, mais furent considérés comme hérétiques par l'Église catholique. Ils ont épousé la fin du féodalisme, de la redistribution et du partage des richesses et du pouvoir, ainsi qu'une société égalitaire. Ils étaient également connus pour leurs raids et leurs pillages, et le massacre insensé d'innocents, justifié à leur avis parce que les croyants étaient purs et ceux qui ont accepté l'Église étaient corrompus au-delà du salut.\n\nDans le jeu, les Dolciniens peuvent faire des raids, ont des femmes titulaires de temple et un pape. Ils ont également accès à un CB spécial utilisable sur les chrétiens "corrompus", mais ne peuvent pas dépasser l'autorité de la couronne. De plus, les souverains Dolciniens qui accumulent de l'or ou qui ont une faible autorité de la couronne souffriront d'un gros malus.;;;;;;;;;;;;x
TT_dulcinian_law;[Root.Religion.GetName] do not believe in tyrannical rulership!;[Root.Religion.GetName] ne croient pas à la domination tyrannique !;;;;;;;;;;;;x
d_dulcinian;Dulcinian Pope;Pape dolcinien;;;;;;;;;;;;x
d_dulcinian_desc;Dulcinian Papacy;Papauté dolcinienne;;;;;;;;;;;;x
create_dulcinian_papacy;Create Dulcinian Papacy;Créer la Papauté dolcinienne;;;;;;;;;;;;x
create_dulcinian_papacy_desc;Rome has been purified of the corrupt Church! Now it is time to herald the new holy Pope, who will lead us spiritually in opposition to the sinful Catholic Pope!;Rome a été purifiée de l'Église corrompue ! Maintenant il est temps d'annoncer le nouveau Saint Pape, qui nous conduira spirituellement en opposition au Pape catholique pécheur !;;;;;;;;;;;;x
relaxati_explaination;Support the Relaxati!;Soutenir le Relaxati !;;;;;;;;;;;;x
zelanti_explaination;Support the Zelanti!;Soutenir le Zelanti !;;;;;;;;;;;;x
VIET_fraticelli_relaxati;Relaxati;Relaxati;;;;;;;;;;;;x
VIET_fraticelli_relaxati_desc;This Fraticelli character is part of the Relaxati or moderate faction.;Ce personnage Fraticelli fait partie de la faction Relaxati ou modérée.;;;;;;;;;;;;x
VIET_fraticelli_zelanti;Zelanti;Zelanti;;;;;;;;;;;;x
VIET_fraticelli_zelanti_desc;This Fraticelli character is part of the Zelanti or conservative faction.;Ce personnage Fraticelli fait partie de la faction Zelanti ou conservatrice.;;;;;;;;;;;;x
secular_franciscan;Secular Franciscan;Franciscain séculier;;;;;;;;;;;;x
