#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
meneth.204.desc;We've just won a kingdom in a Crusade. We could choose to keep the kingdom for ourselves or we could give it to someone else in our family. Deus vult!;Nous venons de gagner un royaume dans une croisade. Nous pourrions choisir de garder le royaume pour nous-mêmes ou nous pourrions le donner à quelqu'un d'autre dans notre famille. Deus vult !;;;;;;;;;;;;x
meneth.204.a;I have won this rightfully, and my house shall rule until the end of days!;J'ai gagné cette guerre légitimement, et ma maison régnera ici jusqu'à la fin des jours !;;;;;;;;;;;;x
meneth.204.b;I have a son who is deserving of this title.;J'ai un fils qui mérite ce titre.;;;;;;;;;;;;x
meneth.204.c;I have a brother who is deserving of this title.;J'ai un frère qui mérite ce titre.;;;;;;;;;;;;x
meneth.204.d;I have a close relative who is deserving of this title.;J'ai un proche parent qui mérite ce titre.;;;;;;;;;;;;x
meneth.204.e;I know a distant relative who is deserving of this title.;Je connais un parent éloigné qui mérite ce titre.;;;;;;;;;;;;x
meneth.204.f;I know a worthy Crusader who would deserve this title.;Je connais un digne croisé qui mériterait ce titre.;;;;;;;;;;;;x
meneth.204.g;You shouldn't be seeing this button;Vous ne devriez pas voir ce bouton;;;;;;;;;;;;;x
ransom_all;Ransom All Prisoners;Rançonner tous les prisonniers;Ransom All Prisoners;;Ransom All Prisoners;;;;;;;;;x
ransom_all_desc;Make ransom offers for all prisoners.;Faire des offres de rançon pour tous les prisonniers.;Make a ransom offer to all prisoners.;;Make a ransom offer to all prisoners.;;;;;;;;;x
ransom_all_tooltip;Character or character's liege is asked to pay ransom.;Le personnage ou le seigneur du personnage est invité à payer une rançon.;Character is asked to pay ransom.;;Character is asked to pay ransom.;;;;;;;;;x
ransomall.0.desc;[Root.Host.GetTitledFirstName] offered to release me from prison if a ransom is paid.;[Root.Host.GetTitledFirstName] a offert de me libérer de prison si une rançon est payée.;[Root.Host.GetTitledFirstName] offered to release me from prison if I pay a ransom.;;[Root.Host.GetTitledFirstName] offered to release me from prison if I pay a ransom.;;;;;;;;;x
ransomall.0.a;I will pay for my freedom, if I can afford it.;Je vais payer pour ma liberté, si je peux me le permettre.;I will pay for my freedom.;;I will pay for my freedom.;;;;;;;;;x
ransomall.0.b;I will not pay.;Je ne paierai pas.;I will not pay.;;I will not pay.;;;;;;;;;x
ransomall.0.w;You have received a ransom request for one of your courtiers. It is a good deal...;Vous avez reçu une demande de rançon pour l'un de vos courtisans. C'est une bonne affaire ...;;;;;;;;x
ransomall.0.w1;I will pay to get [From.GetHerHim] back.;Je vais payer pour récupérer [From.GetHerHim].;;;;;;;;x
ransomall.0.w2;I will not pay to get [From.GetHerHim] back.;Je ne paierai pas pour récupérer [From.GetHerHim].;;;;;;;;x
ransomall.0.ww;The ransom has been denied!;La rançon a été refusée !;;;;;;;;x
ransomall.0.ww1;Well, let [FromFrom.GetHerHim] rot...;Eh bien, laissez [FromFrom.GetHerHim] pourrir ...;;;;;;;;x
