#EVENTS;;;;;;;;;;;;;;x
VIETmisc.2016.desc;A new cosmetic popular among the noblewomen is made using the egg yolk of from quail eggs instead of the usual chicken eggs. But quail eggs are a rare luxury much more suited for gourmet food. Are these women truly vain?;Un nouveau cosmétique populaire parmi les femmes nobles est fait en utilisant le jaune d'oeuf des oeufs de caille au lieu des oeufs de poule habituels. Mais les oeufs de caille sont un luxe rare, beaucoup plus adapté à la gastronomie. Ces femmes sont-elles vraiment vaines ?;;;;;;;;;;x
VIETmisc.2016.a;A useless product!;Un produit inutile !;;;;;;;;;;;;x
VIETmisc.2016.b;I could've eaten those eggs... ;J'aurais pu manger ces oeufs ...;;;;;;;;;;;;x
VIETmisc.2016.c;This does not concern me. The fad will pass in time.;Cela ne me concerne pas. La mode passera avec le temps.;;;;;;;;;;;;x
VIETmisc.2016.d;I think it looks nice on me!;Je trouve que ça me va bien !;;;;;;;;;;;;x
VIETmisc.2017.desc;Yesterday was a local traditional festival held annually in the city. During the night, while I was away celebrating, some drunk and inconsiderate revelers dared to egg the front of my house! Now I have to pay to clean it up.;Hier avait eu lieu un festival local traditionnel qui se tenait chaque année en ville. Pendant la nuit, pendant que je célébrais la chose de mon côté, des ivrognes et des fêtards inconsidérés ont osé frapper le devant de ma maison ! Maintenant, je dois payer pour nettoyer.;;;;;;;;;;x
VIETmisc.2017.a;Maybe those hooligans were sent by my business rivals!;Peut-être que ces voyous ont été envoyés par mes rivaux !;;;;;;;;;;;;x
VIETmisc.2018.desc;Yesterday I went to the local tavern and had too much beer. While drunk I ordered a large amount of pickled eggs to eat with my beer, as I usually do. However, this time, in my drunkeness I must have taken and paid for all the pickled eggs the tavern had. Now do I not only have to deal with my hangover, I have to figure out what to do with these eggs.;Hier, je suis allé à la taverne locale et j'ai bu trop de bière. Pendant que je buvais, j'ai commandé une grande quantité d'oeufs marinés à manger avec ma bière, comme je le fais habituellement. Cependant, cette fois-ci, dans mon état d'ébriété, j'ai dû prendre et payer tous les œufs marinés que la taverne avait. Je n'ai pas seulement la gueule de bois, je dois trouver quoi faire avec ces oeufs.;;;;;;;;;;x
VIETmisc.2018.a;Looks like we'll be eating pickled eggs for a while...;On dirait qu'on va manger des oeufs marinés pendant un moment ...;;;;;;;;;;;;x
VIETmisc.2019.desc;Today you visited one of your vassals. While there, both of you dined on a delicious sponge cake... or, at least, it was delicious until both of you nearly choked on eggshells. Now my vassal is highly embarrassed by his cook's incompetency at cooking with eggs.;Aujourd'hui, vous avez rendu visite à un de vos vassaux. Là-bas, vous avez tous les deux dîné sur un délicieux gâteau éponge... ou, du moins, c'était délicieux jusqu'à ce que vous soyez presque étouffés avec des coquilles d'oeufs. Maintenant, mon vassaux est très gêné par l'incompétence de son cuisinier à cuisiner avec des oeufs.;;;;;;;;;;x
VIETmisc.2019.a;And he should be!;Et il devrait !;;;;;;;;;;;;x
VIETmisc.2019.b;It's no matter, things happen all the time.;Peu importe, ces choses arrivent tout le temps.;;;;;;;;;;;;x
VIETmisc.2020.desc;For dinner tonight I'll be having deviled eggs. What should be stuffed in these eggs, I wonder? My cook will make them taste good regardless of what's inside them.;Pour le dîner de ce soir, je vais manger des oeufs mimosa. Qu'est-ce qui devrait être mis dans ces oeufs, je me le demande ? Mon cuisinier les fera goûter, peu importe ce qu'il y a dedans.;;;;;;;;;;x
VIETmisc.2020.a;Vegetables. Who says abstaining from excess isn't delicious?;Des légumes. Qui dit que s'abstenir de l'excès n'est pas délicieux ?;;;;;;;;;;;;x
VIETmisc.2020.b;Meat. I want something to strengthen me!;De la viande. Je veux quelque chose pour me fortifier !;;;;;;;;;;;;x
VIETmisc.2020.c;Milk, cream, or cheese. It shall taste richer and fatten me well.;Du Lait, de la crème ou du fromage. Ça sera plus riche et ça m'engraissera bien.;;;;;;;;;;;;x
VIETmisc.2021.desc;The unbeliever is brought before you to be sentenced. He refuses to repent and change from his erroneous ways. Ha! It is amazing there are people who do not believe in the Dulcinian faith. He is corrupted - but can he still be purified and without being executed?;L'incroyant est amené devant vous pour être jugé. Il refuse de se repentir et de changer ses mauvaises manières. Ha! Il est étonnant qu'il y ait des gens qui ne croient pas en la foi Dulcinienne. Il est corrompu - mais peut être qu'il peut être purifié et sans être exécuté ?;;;;;;;;;;x
VIETmisc.2021.a;Death is the only way this wretch can be purified.;La mort est le seul moyen de purifier ce malheureux.;;;;;;;;;;;;x
VIETmisc.2021.b;Spare him. Didn't Jesus teach us to be merciful?;Épargnez le. Jésus ne nous a pas appris à être miséricordieux ?;;;;;;;;;;;;x
VIETmisc.2021.c;The Catholics would hunt and kill us. Let us not be hypocrites.;Les Catholiques nous chassaient et nous tuaient. Ne soyons pas hypocrites.;;;;;;;;;;;;x
VIETmisc.2022.desc;The Dulcinian faith teaches me that it is acceptable to plunder and kill "good" Christians who support a corrupt hierarchy of clergy or go against us, for we are pure in our belief. Can we truly be pure if we kill our enemies, even if they are corrupt?;La foi Dulcinienne m'enseigne qu'il est acceptable de piller et de tuer les "bons" chrétiens qui soutiennent une hiérarchie corrompue du clergé ou qui s'opposent à nous, car nous sommes purs dans notre foi. Pouvons-nous vraiment être purs si nous tuons nos ennemis, même s'ils sont corrompus ?;;;;;;;;;;x
VIETmisc.2022.a;Of course! God's creation must be purified.;Bien sûr! La création de Dieu doit être purifiée.;;;;;;;;;;;;x
VIETmisc.2022.b;I am starting to have my doubts...;Je commence à avoir des doutes ...;;;;;;;;;;;;x
VIETmisc.2023.desc;This commoner has nerve! He says your vassal should give him and their other neighbors money. We are good Dulcinians, after all, he argues, who live in an equal society - why does this noble then hoard money and luxuries and refuse to share it with others? However, your vassal refuses to give anything.;Cette roturière a du culot! Il dit que votre vassal devrait donner de l'argent à lui et à ses voisins. Nous sommes de bons Dulciniens, après tout, explique-t-il, qui vivons dans une société égalitaire - pourquoi ce noble amasse-t-il alors de l'argent et du luxe et refuse-t-il de le partager avec les autres? Cependant, votre vassal refuse de donner quoi que ce soit.;;;;;;;;;;x
VIETmisc.2023.a;Be a good Dulcnian my vassal, share the wealth!;Soyez un bon Dulcnien mon vassal, partagez la richesse !;;;;;;;;;;;;x
VIETmisc.2023.b;Ideals are good, but in the real world we can't always abide by them.;Les idéaux sont bons, mais dans le monde réel, nous ne pouvons pas toujours les respecter.;;;;;;;;;;;;x
VIETmisc.2024.desc;Do you remember that worthless knight, the one who was found guilty of irredeemably corrupt according to Dulcinian doctrine? He was just purified yesterday - that is, his soul redeemed (that is, he was executed most effectively). Now you have all his precious belongings.;Vous souvenez-vous de ce chevalier sans valeur, celui qui a été reconnu coupable de corruption irrémédiable selon la doctrine dulcinienne? Il a été purifié hier, c'est-à-dire que son âme a été sauvée (c'est-à-dire qu'il a été exécuté le plus efficacement). Maintenant vous avez tous ses biens précieux.;;;;;;;;;;x
VIETmisc.2024.a;Stuff for free! Ah, it's great when people are... "purified".;C'est gratuit ! Ah, c'est génial quand les gens sont..."purifiés".;;;;;;;;;;;;x
VIETmisc.2024.b;Let's share the knight's things with the needy.;Partageons les affaires du chevalier avec les nécessiteux.;;;;;;;;;;;;x
