EVTDESCjewmod.100;Some of our Jewish subjects have expressed a desire to serve at court.;;;;;;;;;;;;;x
EVTOPTAjewmod.100;We'll find jobs for them.;;;;;;;;;;;;;x
judaic;Judaic;Judaic;Judaic;;Judaic;;;;;;;;;x
judaism;Jewish;Juif;Jewish;;Jewish;;;;;;;;;x
judaism_group;Jewish;Juif;Jewish;;Jewish;;;;;;;;;x
karaite;Karaite;Karaite;Karaite;;Karaite;;;;;;;;;x
sephardic;Sephardic;Sephardic;Sephardic;;Sephardic;;;;;;;;;x
ashkenazi;Ashkenazi;Ashkenazi;Ashkenazi;;Ashkenazi;;;;;;;;;x
mizrahi;Mizrahi;Mizrahi;Mizrahi;;Mizrahi;;;;;;;;;x
romaniote;Romaniote;Romaniote;Romaniote;;Romaniote;;;;;;;;;x
israel_restorer;Restorer of Israel;;;;;;;;;;;;;x
israel_restorer_desc;This character has, against all odds, reclaimed the promised land, Israel, to Jewish rule.;;;;;;;;;;;;;x
jewishmarriage.1;I'm about to get married. Hopefully this girl won't be as forceful as my dear mother!;;;;;;;;;;;;;x
jewishmarriage.1a;Oy vey!;;;;;;;;;;;;;x
jewishmarriage.2;One of your Jewish courtiers, [From.GetFirstName], is no longer a bachelor. After a traditional Jewish wedding, he is now married to lovely young Jewish woman, who will now join your court.;;;;;;;;;;;;;x
jewishmarriage.2a;Mazel tov!;;;;;;;;;;;;;x
W_L_1000052002;http://www.jewishencyclopedia.com/articles/1554-annas;;;;;;;;;;;;x;
W_L_1000052006;http://www.jewishencyclopedia.com/articles/3903-caiaphas;;;;;;;;;;;;x;
W_L_1000052007;http://www.jewishencyclopedia.com/articles/8765-jonathan-b-anan;;;;;;;;;;;;x;
W_L_1000052009;http://www.jewishencyclopedia.com/articles/3984-cantheras;;;;;;;;;;;;x;
d_exilarch;The Exilarchy;;;;;;;;;;;;;x
d_exilarch_karaite;The Karaite Exilarchy;;;;;;;;;;;;;x
claim_descent_from_david;Claim Descent of David;;;;;;;;;;;;;x
claim_descent_from_david_desc;Perhaps I should strengthen my legitimacy as King of Israel by claiming descent from this illustrious figure...;;;;;;;;;;;;;x
house_of_david;House of David;;;;;;;;;;;;;x
house_of_david_desc;This character is supposedly descended from the great king of Israel, David.;;;;;;;;;;;;;x
#Israel and Aliyah;;;;;;;;;;;;;;x
VIETjewish.0.desc;You have done the impossible and restored the holy land to Jewish rule. Someday, perhaps soon, Jews all over the world will speak your name in awe and honor you as a hero in the vein of Moses, David, or Judah Maccabee. The future of this new Kingdom of Israel is far from certain, for we are surrounded by enemeies near and far, but at least we know that today, [Root.Religion.GetRandomGodName] has delivered.;;;;;;;;;;;;;x
VIETjewish.0.name;Israel Restored;;;;;;;;;;;;;x
VIETjewish.0.a;So begins a new chapter in the history of the Jewish people...;;;;;;;;;;;;;x
VIETjewish.1.desc;We have successfully conquered Israel from the heathen Jews. The Kingdom of Israel, as a concept, is not relevant to our people, so it shall now be known as the Kingdom of Jerusalem again. Shall the Jews reclaim the now-destroyed Israel, or shall Israel once again fade away, a distant memory kept alive by the dreams of the Jewish people?;;;;;;;;;;;;;x
VIETjewish.1.a;Only time will tell what happens next.;;;;;;;;;;;;;x
VIETjewish.1.name;The Jews Lose Israel;;;;;;;;;;;;;x
VIETjewish.2.name;Israel Lost!;;;;;;;;;;;;;x
VIETjewish.2.desc;Tragedy descends once more upon the Chosen People! We Jews remember when Jerusalem was sacked - first by the Babylonians and second by the Romans. Now, it seems that history has repeated itself as the Kingdom of Israel falls to our enemies.\n\nWhat injustice have we done in the past to deserve this? Surely, the ways of Yahweh are mysterious, but to lose Israel again is shocking and catastrophic indeed. Still, we have survived terrible situations before, and we shall survive this one as well.;;;;;;;;;;;;;x
VIETjewish.2.a;We shall one day reclaim Israel, somehow.;;;;;;;;;;;;;x
VIETjewish.4.desc;Since the restoration of Israel, many of our fellow Jews from around the world have “made aliyah,” or returned, to Israel. Today, a group of Ashkenazi Jews, having recently arrived in Israel from parts of Europe, wish to make use of their talents and serve in your court.;;;;;;;;;;;;;x
VIETjewish.4.a;Very well. As long as they aren’t useless schmucks!;;;;;;;;;;;;;x
VIETjewish.4.b;I can’t take them in, but they can settle in Israel as they please.;;;;;;;;;;;;;x
VIETjewish.5.desc;Since the restoration of Israel, many of our fellow Jews from around the world have “made aliyah,” or returned, to Israel. Today, a group of Sephardic Jews, having recently arrived in Israel from Iberia and North Africa, wish to make use of their talents and serve in your court.;;;;;;;;;;;;;x
VIETjewish.5.a;They can certainly stay with us, their skills will be of most use.;;;;;;;;;;;;;x
VIETjewish.5.b;I can’t take them in, but they can settle in Israel as they please.;;;;;;;;;;;;;x
VIETjewish.6.desc;Since the restoration of Israel, many of our fellow Jews from around the world have “made aliyah,” or returned, to Israel. Today, a group of Mizrahi Jews, having recently arrived in Israel from parts of the Middle East, wish to make use of their talents and serve in your court.;;;;;;;;;;;;;x
VIETjewish.6.a;Good. May they find themselves welcome here.;;;;;;;;;;;;;x
VIETjewish.6.b;I can’t take them in, but they can settle in Israel as they please.;;;;;;;;;;;;;x
VIETjewish.7.desc;Since the restoration of Israel, many of our fellow Jews from around the world have “made aliyah,” or returned, to Israel. Today, a group of Crimean Jews, having recently arrived in Israel from the steppe regions such as Crimea, wish to make use of their talents and serve in your court.;;;;;;;;;;;;;x
VIETjewish.7.a;I see. I think there is a place for them at my court.;;;;;;;;;;;;;x
VIETjewish.7.b;I can’t take them in, but they can settle in Israel as they please.;;;;;;;;;;;;;x
VIETjewish.8.desc;Since the restoration of Israel, many of our fellow Jews from around the world have “made aliyah,” or returned, to Israel. Today, a group of Bukhari Jews, having recently arrived in Israel from Central Asia, wish to make use of their talents and serve in your court.;;;;;;;;;;;;;x
VIETjewish.8.a;Hopefully their skills can help us. Welcome them!;;;;;;;;;;;;;x
VIETjewish.8.b;I can’t take them in, but they can settle in Israel as they please.;;;;;;;;;;;;;x
VIETjewish.9.desc;Since the restoration of Israel, many of our fellow Jews from around the world have “made aliyah,” or returned, to Israel. Today, a group of Indian Jews, having recently arrived in Israel from India, wish to make use of their talents and serve in your court.;;;;;;;;;;;;;x
VIETjewish.9.a;It is a long and arduous journey from India! Let’s welcome them.;;;;;;;;;;;;;x
VIETjewish.9.b;I can’t take them in, but they can settle in Israel as they please.;;;;;;;;;;;;;x
VIETjewish.10.desc;Since the restoration of Israel, many of our fellow Jews from around the world have “made aliyah,” or returned, to Israel. Today, a group of Chinese Jews, having recently arrived in Israel from China, wish to make use of their talents and serve in your court.;;;;;;;;;;;;;x
VIETjewish.10.a;Amazing that we Jews have reached as far as China. Welcome them!;;;;;;;;;;;;;x
VIETjewish.10.b;I can’t take them in, but they can settle in Israel as they please.;;;;;;;;;;;;;x
VIETjewish.11.desc;Since the restoration of Israel, many of our fellow Jews from around the world have “made aliyah,” or returned, to Israel. Today, a group of Falashim or Ethiopian Jews, having recently arrived in Israel from East Africa, wish to make use of their talents and serve in your court.;;;;;;;;;;;;;x
VIETjewish.11.a;Alright. I will accept them into my court.;;;;;;;;;;;;;x
VIETjewish.11.b;I can’t take them in, but they can settle in Israel as they please.;;;;;;;;;;;;;x
VIETjewish.12.desc;Since the restoration of Israel, many of our fellow Jews from around the world have “made aliyah,” or returned, to Israel. Today, a group of Romaniote Jews, having recently arrived in Israel from the Balkans and Anatolia, wish to make use of their talents and serve in your court.;;;;;;;;;;;;;x
VIETjewish.12.a;Interesting. I will take them in.;;;;;;;;;;;;;x
VIETjewish.12.b;I can’t take them in, but they can settle in Israel as they please.;;;;;;;;;;;;;x
VIETjewish.13.desc;Since the restoration of Israel, many of our fellow Jews from around the world have “made aliyah,” or returned, to Israel. Today, a group of Maghreb Jews, having recently arrived in Israel from North and West Africa, wish to make use of their talents and serve in your court.;;;;;;;;;;;;;x
VIETjewish.13.a;I gladly welcome them into my court.;;;;;;;;;;;;;x
VIETjewish.13.b;I can’t take them in, but they can settle in Israel as they please.;;;;;;;;;;;;;x
VIETjewish.14.desc;My relative, who has recently restored Israel to the Jewish people, now claims descent from David. Being part of this dynasty, I too can now proudly proclaim my descent from such an illustrious figure.;;;;;;;;;;;;;x
VIETjewish.14.a;Interesting.;;;;;;;;;;;;;x
VIETjewish.15.title;The House of David;;;;;;;;;;;;;x
VIETjewish.15.desc;My dynasty has done the impossible. We have restored Israel to the Jewish people. Many of my advisors, however, believe it is important I find “proof” that I am descended from King David. It would legitimize my rule even more.;;;;;;;;;;;;;x
VIETjewish.15.a;Yes, I think it’s important we find this “proof.”;;;;;;;;;;;;;x
VIETjewish.15.b;No, I cannot fabricate such a thing, it goes against my conscience.;;;;;;;;;;;;;x
VIETjewish.16.desc;Since the restoration of Israel, many of our fellow Jews from around the world have “made aliyah,” or returned, to Israel. Today, a group of Caucasian Jews, having recently arrived in Israel from the Caucasus region, wish to make use of their talents and serve in your court.;;;;;;;;;;;;;x
VIETjewish.16.a;Welcome! Welcome!;;;;;;;;;;;;;x
VIETjewish.16.b;I can’t take them in, but they can settle in Israel as they please.;;;;;;;;;;;;;x
VIETjewish.17.desc;Since the restoration of Israel, many of our fellow Jews from around the world have “made aliyah,” or returned, to Israel. Today, a group of Yemenite Jews, having recently arrived in Israel from the southern parts of the Arabian peninsula, wish to make use of their talents and serve in your court.;;;;;;;;;;;;;x
VIETjewish.17.a;They are unique Jews indeed - let us welcome them!;;;;;;;;;;;;;x
VIETjewish.17.b;I can’t take them in, but they can settle in Israel as they please.;;;;;;;;;;;;;x
VIETjewish.18.desc;Since the restoration of Israel, many of our fellow Jews from around the world have “made aliyah,” or returned, to Israel. Today, a group of Italki, or Italian Jews, having recently arrived in Israel from the Italian peninsula, wish to make use of their talents and serve in your court.;;;;;;;;;;;;;x
VIETjewish.18.a;Good, good. Let them stay.;;;;;;;;;;;;;x
VIETjewish.18.b;I can’t take them in, but they can settle in Israel as they please.;;;;;;;;;;;;;x
#Exilarch Stuff;;;;;;;;;;;;;;x
exilarch.0.desc;As Exilarch, it is important I get married if I want to continue the noble lineage of King David!;;;;;;;;;;;;;x
exilarch.0.a;I've found a suitable bride.;;;;;;;;;;;;;x
exilarch.1.title;The Jewish Exilarchy Ends;;;;;;;;;;;;;x
exilarch.1.desc;The line of the Jewish Exilarchs has died out. These men, descended from the ancient and mighty King David, and who led the Diaspora through centuries of struggle, are no more.;;;;;;;;;;;;;x
exilarch.1.a;Terrible news.;;;;;;;;;;;;;x
exilarch.1.b;Terrible news!;;;;;;;;;;;;;x
exilarch.1.c;I see...;;;;;;;;;;;;;x
exilarch.2.title;The Karaite Exilarchy Ends;;;;;;;;;;;;;x
exilarch.2.desc;The line of the Karaite Exilarchs has died out. These men, descended from the ancient and mighty King David, and who led the Diaspora through centuries of struggle, are no more.;;;;;;;;;;;;;x
exilarch.2.a;Terrible news.;;;;;;;;;;;;;x
exilarch.2.b;Terrible news!;;;;;;;;;;;;;x
exilarch.2.c;I see...;;;;;;;;;;;;;x
exilarch.3.desc;xxxxx;;;;;;;;;;;;;x
exilarch.3.a;xxxxx;;;;;;;;;;;;;x
exilarch.4.desc;As exilarch, I'm supposed to be Jewish!;;;;;;;;;;;;;x
exilarch.4.a;Oy vey, what is this!;;;;;;;;;;;;;x
exilarch.5.desc;Israel is restored, and many Jews are returning to the promised land. Among these Jews are the Exilarchs, descendants of King David, who supposedly led the Jewish people during the diaspora. They may not have led Israel to victory, but they may pose a threat in the future, as they are of the House of David.;;;;;;;;;;;;;x
