#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
sicilian.meltingpot.desc;After years of cultural exchange between the Italian, Greek, Norman, and Arab peoples, a new cultural identity is forming across southern Italy. Shall we also embrace this 'Sicilian' culture as our own?;Après des années d'échanges culturels entre les peuples italiens, grecs, normands et arabes, une nouvelle identité culturelle se développe dans le sud de l'Italie. Devrions-nous aussi nous approprier cette culture sicilienne ?;After years of cultural exchange between the Italian, Greek, Norman, and Arab peoples, a new cultural identity is forming across southern Italy. Shall we also embrace this 'Sicilian' culture as our own?;;After years of cultural exchange between the Italian, Greek, Norman, and Arab peoples, a new cultural identity is forming across southern Italy. Shall we also embrace this 'Sicilian' culture as our own?;;;;;;;;;x
sicilian.meltingpot.a;That's an offer I can't refuse.;C'est une offre que je ne peux pas refuser.;That's an offer I can't refuse.;;That's an offer I can't refuse.;;;;;;;;;x
sicilian.meltingpot.b;I am not interested in cannoli.;Les cannoli ne m'intéressent pas.;I am not interested in cannoli.;;I am not interested in cannoli.;;;;;;;;;x
sicilian.meltingpot2.desc;I'm becoming Sicilian.;Je deviens Sicilien.;I'm becoming Sicilian.;;I'm becoming Sicilian.;;;;;;;;;x
sicilian.meltingpot2.a;I will become Sicilian.;Je vais devenir Sicilien.;I will become Sicilian.;;I will become Sicilian.;;;;;;;;;x
sicilian.meltingpot2.b;Do nothing.;Ne rien faire.;Do nothing.;;Do nothing.;;;;;;;;;x
sicilian.5;I am adopting Sicilian.;J'adopte le Sicilien.;;;;;;;;;;;;x
sicilian.5a;So be it!;Qu'il en soit ainsi !;;;;;;;;;;;;x
sicilian.6;Sicilian is spreading across the land.;Le Sicilien s'étend sur tout le territoire.;;;;;;;;;;;;x
sicilian.6a;I see...;Je vois ...;;;;;;;;;;;;x
sicilian.7;My courtiers must understand local Sicilian customs and language so that we may better deal with the natives of the region.;Mes courtisans doivent comprendre les coutumes et la langue sicilienne locale afin que nous puissions mieux traiter avec les autochtones de la région.;;;;;;;;;;;;x
sicilian.7a;We are all Sicilia now.;Nous sommes tous des Siciliens maintenant.;;;;;;;;;;;;x
