#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
expelled_east_african_pagan_holy_order;Expelled East African Pagan holy order;A expulsé l'ordre saint est-africain;;;;;;;;;;;;x
VIET_got_volcanic_eruption;Got volcanic eruption;A connu une éruption volcanique;;;;;;;;;;;;x
switch_to_zelanti;Switch to Zelanti;Changer pour Zelanti;;;;;;;;;;;;x
switch_to_zelanti_desc;Switch to Zelanti, a conservative faction of Fraticelli.;Changer pour Zelanti, une faction conservatrice des fraticelli.;;;;;;;;;;;;x
switch_to_relaxati;Switch to Relaxati;Changer pour Relaxati;;;;;;;;;;;;x
switch_to_relaxati_desc;Switch to Relaxati, a moderate faction of Fraticelli.;Changer pour Relaxati, une faction modérée des fraticelli.;;;;;;;;;;;;x
VIET_hosted_sogdian_fair;Hosted Sogdian Fair;A hébergé une foire de sogdienne;;;;;;;;;;;;x
meteor_impact_center;Meteor impact center;Centre d'impact de météore;;;;;;;;;;;;x
VIET_concubine_gift;Gifted me a concubine;;;;;;;;;;;;;x
VIET_opinion_small_gift;Small Gift;;;;;;;;;;;;;x
