taking_a_break;Taking a break from hard work;;;;;;;;;;;x
deep_contemplation;Deeply contemplating the world;;;;;;;;;;;x
deep_contemplation_desc;"What is the meaning of life?";;;;;;;;;;;x
lustful_ruler;Lustful Ruler;;;;;;;;;;;x
lustful_ruler_desc;This ruler feels aroused a lot.;;;;;;;;;;;x
eating_gruel;Eating gruel;;;;;;;;;;;x
eating_lots_of_gruel;Eating lots of gruel;;;;;;;;;;;x
best_meal_in_ages;Had the best meal in ages;;;;;;;;;;;x
paranoid_coward;Paranoid coward;;;;;;;;;;;x
reminiscing;Reminiscing about the past;;;;;;;;;;;x
reminiscing_desc;"Remember the time when...";;;;;;;;;;;x
opinion_patron;Gave patronage;;;;;;;;;;;x
opinion_new_courtier;New courtier;;;;;;;;;;;x
olive_garden;Improved olive production;;;;;;;;;;;x
performed_sacrifice;Performed Sacrifice;Performed Sacrifice;Performed Sacrifice;;Performed Sacrifice;;;;;;;;;x
performing_sacrifice;Performing Sacrifice;Performing Sacrifice;Performing Sacrifice;;Performing Sacrifice;;;;;;;;;x
pagan_wealth_blessing;Blessed with Wealth;;;;;;;;;;x
pagan_war_blessing;Blessed with Strength;;;;;;;;;;x
pagan_peace_blessing;Blessed with Peace;;;;;;;;;;x
pagan_luck_blessing;Blessed with Good Fortune;;;;;;;;;;x
lowered_jizya_tax;Temporarily lowered jizya tax;;;;;;;;;;x
opinion_interest_in_music;Shared good music;;;;;;;;;;;;;x
opinion_thankful;Thankful;;;;;;;;;;;;;x
opinion_helped_me;Helpful;;;;;;;;;;;;;x
opinion_helped_family_member;Helped a family member;;;;;;;;;;;;;x
opinion_comforted_me;Comforted me;;;;;;;;;;;;;x
opinion_respectful_of_jewish_customs;Respectful of Jewish customs;;;;;;;;;;;;;x
opinion_fought_for_independence;Fighting for or has fought for independence;;;;;;;;;;;;;x
shared_parent_stories;Shared worries with a fellow parent;;;;;;;;;;;;;x
advice_giver;Advice giver;;;;;;;;;;;;;x
pagan_defense;Pagan Defense;Pagan Defense;Pagan Defense;;Pagan Defense;;;;;;;;;x
pagan_defense_desc;We are defending our way of life against Christian invaders.;We are defending our way of life against Christian invaders.;We are defending our way of life against Christian invaders.;;We are defending our way of life against Christian invaders.;;;;;;;;;x
ethiopian_defense;Ethiopian Defense;Ethiopian Defense;Ethiopian Defense;;Ethiopian Defense;;;;;;;;;x
ethiopian_defense_desc;We are defending Abyssinia against the Muslim infidels.;We are defending Abyssinia against the Muslim infidels.;We are defending Abyssinia against the Muslim infidels.;;We are defending Abyssinia against the Muslim infidels.;;;;;;;;;x
fatimid_chaos;Fatimid Chaos;Fatimid Chaos;Fatimid Chaos;;Fatimid Chaos;;;;;;;;;x;
fatimid_chaos_desc;We are currently experiencing great turmoil within our territory.;We are currently experiencing great turmoil within our territory.;We are currently experiencing great turmoil within our territory.;;We are currently experiencing great turmoil within our territory.;;;;;;;;;x;
