nick_the_poor;the Poor;le Pauvre;the Poor;el Pobre;;;;;;;;;;x
nick_the_enforcer;the Enforcer;l’Exécuteur;the Enforcer;the Enforcer;;;;;;;;;;x
nick_the_monkey_faced;the Monkey Faced;la Face de Singe;the Monkey Faced;the Monkey Faced;;;;;;;;;;x
nick_the_pot_belly;the Pot Belly;le Ventripotent;the Pot Belly;the Pot Belly;;;;;;;;;;x
nick_the_do_gooder;the Do-Gooder;le Samaritain;the Do-Gooder;the Do-Gooder;;;;;;;;;;x
nick_the_twister;the Twister;la Tornade;the Twister;the Twister;;;;;;;;;;x
nick_the_devils_tool;the Devil's Tool;l'Outil du Diable;the Devil's Tool;the Devil's Tool;;;;;;;;;;x
nick_cinnamon_lover;Cinnamon Lover;le Féru de canelle;;;;;;;;;;;;x
nick_toothbrush_lover;the Toothbrusher;le Brosseur de dents;;;;;;;;;;;;x
nick_shaft_head_tilt;the Head Tilter;le Pencheur de tête;;;;;;;;;;;;x
nick_sunset_watcher;Sunset Watcher;l'Observateur de crépuscule;;;;;;;;;;;;x
nick_maid_lover;the Maid-lover;l'Amant de bonnes;;;;;;;;;;;;x
nick_peasant_hate;the Despised;le Méprisé;;;;;;;;;;;;x
nick_xwedodah_worshipper;the Xwedodah Worshipper;le Fidèle de Xwedodah;;;;;;;;;;;;x
nick_the_resolute;the Resolute;l'Inébranlable;;;;;;;;;;;;x
nick_the_practical;the Practical;le Pratique;;;;;;;;;;;;x
nick_the_spendthrift;the Spendthrift;le Dépensier;;;;;;;;;;;;x
nick_the_peasants_friend;the Peasants' Friend;l'Ami des paysans;;;;;;;;;;;;x
nick_the_mirror_of_chivalry;the Mirror of Chivalry;le Mirroir de la chevalerie;;;;;;;;;;;;x
nick_the_god_loving;the God-Loving;l'Adorateur de Dieu;;;;;;;;;;;;x
nick_the_god_fearing;the God-Fearing;le Craintif de Dieu;;;;;;;;;;;;x
nick_the_doll;the Doll;la Poupée;;;;;;;;;;;;x
nick_the_dodger;the Dodger;le Fraudeur,;;;;;;;;;;;;x
nick_the_savage;the Savage;le Sauvage;;;;;;;;;;;;x
nick_the_idiot;the Idiot;l'Idiot;;;;;;;;;;;;x
nick_the_quarrelsome;the Quarrelsome;le Querelleur;;;;;;;;;;;;x
