#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
######################################_DECISIONS;;;;;;;;;;;;;;x
form_turkish_empire;Form Turkish Empire;Formez l'Empire Turc;;;;;;;;;;;;x
form_turkish_empire_desc;If Constantinople can be brought into Muslim hands, it would mark the beginning of a glorious new Roman Empire united under the banners of Islam.;Si Constantinople pouvait être mis entre les mains des musulmans, cela marquerait le début d'un glorieux nouvel Empire romain uni sous les bannières de l'Islam.;;;;;;;;;;;;x
######################################_NICKNAMES;;;;;;;;;;;;;;x
nick_fetih;Fetih;Fetih;;;;;;;;;;;;x
######################################_TITLES;;;;;;;;;;;;;;x
e_turkish;Turkish Empire;Empire Turc;;;;;;;;;;;;x
e_turkish_adj;Turkish;Turc;;;;;;;;;;;;x
######################################_MINOR TITLES;;;;;;;;;;;;;;x
title_chief_white_eunuch;Chief White Eunuch;Chef des Eunuques Blancs;;;;;;;;;;;;x
title_chief_white_eunuch_desc;In the Ottoman Empire, White Eunuchs were usually those who came from the Empire's European territories, particularly form the Balkans and the Caucasus. The Chief White Eunuch was in charge of these 300 to 900 white eunuchs, who altogether made up the 'Inner Service' (the palace bureaucracy, controlling all messages, petitions, and State documents addressed to the Sultan), head of the Palace School (school for pages training as white eunuchs), gatekeeper-in-chief, head of the infirmary, and master of ceremonies of the Seraglio.;Dans l'Empire ottoman, les Eunuques blancs étaient généralement ceux qui venaient des territoires européens de l'Empire, en particulier des Balkans et du Caucase. Le Chef des Eunuques Blancs était responsable de ces 300 à 900 eunuques blancs, qui formaient ensemble le "Service intérieur" (la bureaucratie du palais, contrôlant tous les messages, pétitions et documents de l'Etat adressés au Sultan), le chef de l'école du palais (école des pages pour la formation des eunuques blancs), le portier en chef, le chef de l'infirmerie et le maître de cérémonie du sérail.;;;;;;;;;;;;x
title_chief_black_eunuch;Chief Black Eunuch;Chef des Eunuques Noirs;;;;;;;;;;;;x
title_chief_black_eunuch_desc;In the Ottoman Empire, Black Eunuchs were usually those who originally hailed from Africa, particularly Sudan. The Chief Black Eunuch was the highest ranking member of these harem eunuchs. These eunuchs were given the charge of guarding the harem and had influence on the palace and later on the state administration in the 17th and 18th centuries as they had access to the sultan and the sultan's family and became very powerful. He was often a close confidante of the Sultan and, in theory, was considered a high-ranking general.;les Eunuques noirs étaient généralement ceux qui étaient originaires d'Afrique, en particulier du Soudan. Le chef des Eunuques noirs était le plus haut gradé de ces harem eunuques. Ces eunuques furent chargés de la garde du harem et influencèrent le palais, puis l'administration de l'État aux XVIIe et XVIIIe siècles, car ils avaient accès au sultan et à la famille du sultan et devinrent très puissants. Il était souvent un proche confident du Sultan et, en théorie, était considéré comme un général de haut rang.;;;;;;;;;;;;x
title_bostanji_bashi;Bostanji-Bashi;Bostanji-Bashi;;;;;;;;;;;;x
title_bostanji_bashi_desc;The Bostanji-Bashi was the chief of the Bostanji, a group of prestigious imperial guards of the Ottoman Empire. They were mainly responsible for protecting the sultan's palace and its premises. The Bostanji-Bashi in particular had the rank of a pasha, and served as Chief Executioner of the Ottoman court.;Le Bostanji-Bashi était le chef du Bostanji, un groupe de prestigieux gardes impériaux de l'Empire ottoman. Ils étaient principalement chargés de protéger le palais du sultan et ses locaux. Les Bostanji-Bashi, en particulier, avaient le rang de pacha et servaient comme exécuteur en chef de la cour ottomane.;;;;;;;;;;;;x
title_kapudan_pasha;Kapudan Pasha;Kapudan Pasha;;;;;;;;;;;;x
