#Shaman Stuff ;;;;;;;;;;;;;;x
shaman_good_marriage;Ancestors' Foresight on Marriage (Good);Prévision des ancêtres sur le mariage (Bonne);;;;;;;;;;;;x
shaman_good_marriage_desc;This lord's Shaman recently traveled to the Spirit World and give appropriate advice concerning the encouraging things that they foresaw in regards to this lord's marriage.;Le chaman de ce seigneur a récemment voyagé dans le monde des Esprits et donne des conseils appropriés concernant des choses encourageantes qu'ils ont prévues en ce qui concerne le mariage de ce seigneur.;;;;;;;;;;;;x
shaman_bad_marriage;Ancestors' Foresight on Marriage (Bad);Prévision des ancêtres sur le mariage (Mauvaise);;;;;;;;;;;;x
shaman_bad_marriage_desc;This lord's Shaman recently traveled to the Spirit World and give appropriate advice concerning the discouraging things that they foresaw in regards to this lord's marriage.;Le chaman de ce seigneur a récemment voyagé dans le monde des Esprits et donne des conseils appropriés concernant des choses décourageantes qu'ils ont prévues en ce qui concerne le mariage de ce seigneur.;;;;;;;;;;;;x
shaman_good_no_spouse;Ancestors' Foresight on Being Married in the Future (Good);Prévision des ancêtres sur le mariage dans l'avenir (Bonne);;;;;;;;;;;;x
shaman_good_no_spouse_desc;This lord's Shaman recently traveled to the Spirit World and give appropriate advice concerning the encouraging things that they foresaw in regards to this lord's future marriage prospects.;Le chaman de ce seigneur a récemment voyagé dans le monde des Esprits et donne des conseils appropriés concernant des choses encourageantes qu'ils prévoyaient en ce qui concerne les perspectives futures de mariage de ce seigneur.;;;;;;;;;;;;x
shaman_bad_no_spouse;Ancestors' Foresight on Being Married in the Future (Bad);Prévision des ancêtres sur le mariage dans l'avenir (Mauvaise);;;;;;;;;;;;x
shaman_bad_no_spouse_desc;This lord's Shaman recently traveled to the Spirit World and give appropriate advice concerning the discouraging things that they foresaw in regards to this lord's future marriage prospects.;Le chaman de ce seigneur a récemment voyagé dans le monde des Esprits et donne des conseils appropriés concernant des choses décourageantes qu'ils prévoyaient en ce qui concerne les perspectives futures de mariage de ce seigneur.;;;;;;;;;;;;x
shaman_good_children;Ancestors' Foresight on Children (Good);Prévision des ancêtres sur les enfants (Bonne);;;;;;;;;;;;x
shaman_good_children_desc;This lord's Shaman recently traveled to the Spirit World and give appropriate advice concerning the encouraging things that they foresaw in regards to this lord's children.;Le chaman de ce seigneur a récemment voyagé dans le monde des Esprits et donne des conseils appropriés concernant des choses encourageantes qu'ils prévoyaient en ce qui concerne les enfants de ce seigneur.;;;;;;;;;;;;x
shaman_bad_children;Ancestors' Foresight on Children (Bad);Prévision des ancêtres sur les enfants (Mauvaise);;;;;;;;;;;;x
shaman_bad_children_desc;This lord's Shaman recently traveled to the Spirit World and give appropriate advice concerning the discouraging things that they foresaw in regards to this lord's children.;Le chaman de ce seigneur a récemment voyagé dans le monde des Esprits et donne des conseils appropriés concernant des choses décourageantes qu'ils prévoyaient en ce qui concerne les enfants de ce seigneur.;;;;;;;;;;;;x
shaman_good_no_children;Ancestors' Foresight on Having Children (Good);Prévision des ancêtres sur le fait d'avoir des enfants (Bonne);;;;;;;;;;;;x
shaman_good_no_children_desc;This lord's Shaman recently traveled to the Spirit World and give appropriate advice concerning the encouraging things that they foresaw in regards to this lord's future offspring.;Le chaman de ce seigneur a récemment voyagé dans le monde des Esprits et donne des conseils appropriés concernant des choses encourageantes qu'ils ont prévues en ce qui concerne la progéniture future de ce seigneur.;;;;;;;;;;;;x
shaman_bad_no_children;Ancestors' Foresight on Having Children (Bad);Prévision des ancêtres sur le fait d'avoir des enfants (Mauvaise);;;;;;;;;;;;x
shaman_bad_no_children_desc;This lord's Shaman recently traveled to the Spirit World and give appropriate advice concerning the discouraging things that they foresaw in regards to this lord's future offspring.;Le chaman de ce seigneur a récemment voyagé dans le monde des Esprits et donne des conseils appropriés concernant des choses décourageantes qu'ils ont prévues en ce qui concerne la progéniture future de ce seigneur.;;;;;;;;;;;;x
shaman_good_distant_relative;Ancestors' Foresight on Dynasty (Good);Prévision des ancêtres sur la dynastie (Bonne);;;;;;;;;;;;x
shaman_good_distant_relative_desc;This lord's Shaman recently traveled to the Spirit World and give appropriate advice concerning the encouraging things that they foresaw in regards to this lord's dynasty.;Le chaman de ce seigneur a récemment voyagé dans le monde des Esprits et donne des conseils appropriés concernant des choses encourageantes qu'ils prévoyaient en ce qui concerne la dynastie de ce seigneur.;;;;;;;;;;;;x
shaman_bad_distant_relative;Ancestors' Foresight on Dynasty (Bad);Prévision des ancêtres sur la dynastie (Mauvaise);;;;;;;;;;;;x
