#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTNAMEOCC.1;The wood is calling me;La forêt m'appelle;;;;;;;;;;;;x
EVTDESC_OCC_1;It's a beautiful night outside, and I'm sick of staying inside. Perhaps I could take a short stroll in the woods?;Il fait une belle nuit dehors, et j'en ai marre de rester à l'intérieur. Je pourrais peut-être faire une petite promenade dans les bois ?;It's a beautiful night outside, and I'm sick of staying inside. Perhaps I could take a short stroll in the woods?;;It's a beautiful night outside, and I'm sick of staying inside. Perhaps I could take a short stroll in the woods?;;;;;;;;;x
EVTOPTAOCC.1;Seems like a great idea;Cela me semble être une excellente idée;;;;;;;;;;;;x
EVTTOOLTIPOCC_1;[Root.GetBestName] sneaks past the guards and heads into the woods;[Root.GetBestName] passe en douce les gardes et se dirige dans les bois.;[Root.GetBestName] sneaks past the guards and heads into the woods;;[Root.GetBestName] sneaks past the guards and heads into the woods;;;;;;;;;x
EVTOPTBOCC.1;On second thought, I can just eat something;En réfléchissant, je peux tout simplement manger quelque chose.;;;;;;;;;;;;x
EVTOPTCOCC.1;Wandering alone in the woods at night is a very bad idea;De se promener seul dans la forêt pendant la nuit est une très mauvaise idée.;;;;;;;;;;;;x
EVTOPTDOCC.1;One more cup of wine and I will forget about it...;Un ver de vin de plus et je vais l'oublier...;;;;;;;;;;;;x
EVTOPTEOCC.1;Why not? My life is worthless anyway;Pourquoi pas ? Ma vie ne vaut rien de toute facon. ;;;;;;;;;;;;x
EVTOPTFOCC.1;This cute courtier seems more interesting than that...;Ce courtisan mignon semble être plus intéressant que cela...;;;;;;;;;;;;x
EVTDESC_OCC_2;It's been so long since I've surveyed my lands that I've forgotten how boring camps are at night. The weather is beautiful tonight, why do I have to stay here?;Cela fait si longtemps que je n'ai pas arpenté mes terres que j'ai oublié à quel point les camps sont ennuyeux la nuit. Le temps est beau ce soir, pourquoi dois-je rester ici ?;It's been so long since I've surveyed my lands that I've forgotten how boring camps are at night. The weather is beautiful tonight, why do I have to stay here?;;It's been so long since I've surveyed my lands that I've forgotten how boring camps are at night. The weather is beautiful tonight, why do I have to stay here?;;;;;;;;;x
EVTOPTAOCC.2;Seems like a great idea;Cela me semble être une excellente idée;;;;;;;;;;;;x
EVTTOOLTIPOCC_2;[Root.GetBestName] sneaks out of the camp and heads into the woods;[Root.GetBestName] passe en douce les gardes et se dirige dans les bois.;[Root.GetBestName] sneaks out of the camp and heads into the woods;;[Root.GetBestName] sneaks out of the camp and heads into the woods;;;;;;;;;x
EVTOPTBOCC.2;On second thought, I can just eat something;En réfléchissant, je peux tout simplement manger quelque chose.;;;;;;;;;;;;x
