#West African Stuff ;;;;;;;;;;;;;;x
EVTNAME1000109211;The Rise of the Songhai Empire;L'essor de l'empire Songhai;;;;;;;;;;;;x
EVTDESC1000109211;My liege, vague rumors of a powerful African warlord, Sunni Ali, have reached us from the depths of the African savanna. It seems that this warlord is uniting the so-called Songhai peoples into a large empire, expanding at the expense of other neighboring realms. Perhaps these are merely rumors, but who knows what threat this warlord could pose to West Africa, upsetting existing Trans-Saharan trade routes? Could this warlord even invade North Africa and beyond?;Mon seigneur, de rumeurs vagues d'un puissant seigneur de guerre africain, Sunni Ali, nous sont parvenues des profondeurs de la savane africaine. Il semble que ce seigneur de guerre unit les soi-disant peuples Songhaï en un grand empire, s'étendant aux dépens d'autres royaumes voisins. Ce ne sont peut-être que des rumeurs, mais qui sait quelle menace ce seigneur de guerre pourrait faire peser sur l'Afrique de l'Ouest, bouleversant les routes commerciales transsahariennes existantes ? Ce seigneur de guerre pourrait-il même envahir l'Afrique du Nord et au-delà ?;;;;;;;;;;;;x
EVTNAME1000109214;Conquest of the Savanna;Conquête de la savane;;;;;;;;;;;;x
EVTDESC1000109214;My liege, the great Songhai warlord Sunni Ali and his skilled commander Askia Mohammed have begun moving their mighty armies into Gurma. It seems like they are intent on marching on Timbuktu and capturing the jewel of West Africa! These will be turbulent times for that region indeed.;Mon seigneur, le grand seigneur de guerre Songhai Sunni Ali et son habile commandant Askia Mohammed ont commencé à déplacer leurs puissantes armées vers Gurma. Il semble qu'ils ont l'intention de marcher sur Tombouctou et de capturer le joyau de l'Afrique de l'Ouest ! Ce sera une période de turbulence pour cette région.;;;;;;;;;;;;x
EVTOPTB1000109214;I fear we may be in for a long fight.;Je crains qu'une longue bataille ne commence.;;;;;;;;;;;;x
EVTOPTC1000109214;Um... what’s “Songhai” again? And Gurma? Never heard of it.;Um.... c'est quoi "Songhai" déjà ? Et Gurma ? Jamais entendu parler.;;;;;;;;;;;;x
EVTOPTD1000109214;Things are going to get interesting...;Les choses vont devenir intéressantes...;;;;;;;;;;;;x
EVTNAME1000109213;Timbuktu Burnt and Razed;Tombouctou est brûlé et rasé;;;;;;;;;;;;x
EVTDESC1000109213;The armies of Songhai have successfully taken Timbuktu after a lengthy siege. Travelers report that the Songhai invaders committed gross iniquity and brutally tortured many people there. The city shall undoubtedly burn for many days and lie in ruin for years. What will become of this city once a center of trade and learning?;Les armées de Songhai ont réussi à prendre Tombouctou après un long siège. Les voyageurs rapportent que les envahisseurs Songhaï ont commis de graves iniquités et torturé brutalement de nombreuses personnes. La ville brûlera sans aucun doute pendant de nombreux jours et sera en ruine pendant des années. Qu'adviendra-t-il de cette ville qui fut un centre de commerce et d'apprentissage ?;;;;;;;;;;;;x
EVTOPTA1000109213;This is a sad day! What tyrants are upon us now?;C'est un triste jour ! Quels tyrans sont sur nous maintenant ?;;;;;;;;;;;;x
EVTOPTB1000109213;What an unfortunate turn of events.;Quelle malheureuse tournure des événements.;;;;;;;;;;;;x
