#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
jinshi;Jinshi;Jinshi;;;;;;;;;;;;x
jinshi_desc;This character has passed the national level of the imperial exams. He is truly a gifted scholar!;Ce personnage a passé le niveau national des examens impériaux. C'est vraiment un érudit doué !;;;;;;;;;;;;x
son_of_heaven;Son of Heaven;Fils du Ciel;;;;;;;;;;;;x
son_of_heaven_desc;This ruler has the Mandate of Heaven. He is respected and feared by all, and it shows in the great amounts of tribute he receives.;Ce souverain a le Mandat du Ciel. Il est respecté et craint de tous, et cela se voit dans les grandes quantités d'hommage qu'il reçoit.;;;;;;;;;;;;x
invite_scholar_to_court;Invite Scholar to Court;Inviter un érudit à la Cour;;;;;;;;;;;;x
invite_scholar_to_court_desc;Our realm is full of ambitious, learned men, knowledgeable in the wisdom of Confucius and our sages. Let us bring them to our court, to help us administer our land justly!;Notre royaume est plein d'hommes ambitieux, érudits, connaissant la sagesse de Confucius et de nos sages. Amenez-les à notre cour, pour nous aider à administrer nos terres avec justice !;;;;;;;;;;;;x
zhongguo.0.name;The Kara-Khitan;Le Kara-Khitan;;;;;;;;;;;;x
zhongguo.0.desc;There are rumors of chaos in the Far East. Merchants speak of how the Middle Kingdom struggles to contain yet another wave of nomadic invasions, this time by a group calling themselves the Jurchen. The Jurchen have supplanted the once-mighty Khitan, or the Liao Dynasty, that once ruled China. Now, remnants of the Buddha-worshipping, Sinicized Khitan march across the ancient Silk Road, under the leadership of a wise and cunning Prince of the Liao Dynasty, Yelu Dashi, who has proclaimed himself the true, legitimate ruler of China. Countless realms and peoples have declared themselves vassals to these powerful and cultured Khitan. As the Khitan continue eastwards, it seems these “refugees” are headed straight to Central Asia!;Il y a des rumeurs de chaos en Extrême-Orient. Les marchands parlent de la façon dont l'Empire du Milieu lutte pour contenir une autre vague d'invasions nomades, cette fois par un groupe se faisant appeler les Jurchen. Les Jurchen ont supplanté le Khitan, ou la dynastie Liao, qui régnait autrefois sur la Chine. Maintenant, vestiges de l'adoration du Bouddha, le Khitan Sinisé marche à travers l'ancienne Route de la Soie, sous la direction d'un prince sage et rusé de la dynastie Liao, Yelu Dashi, qui s'est proclamé le véritable et légitime dirigeant de la Chine. D'innombrables royaumes et peuples se sont déclarés vassaux à ces puissants et cultivés Khitan. Alors que les Khitan continuent vers l'est, il semble que ces "réfugiés" se dirigent tout droit vers l'Asie centrale !;;;;;;;;;;;;x
zhongguo.0.a;Quite a fanciful tale! Helpless “refugees” don’t conquer nations, ha!;Tout à fait un conte fantaisiste ! Les "réfugiés" sans défense ne conquièrent pas les nations, ha !;;;;;;;;;;;;x
zhongguo.1.name;Civilizing the Barbarians;Civiliser les Barbares;;;;;;;;;;;;x
zhongguo.1.desc;In their search for a new homeland following their defeat by the Jurchen, the Khitan have arrived in Central Asia. Seeking to establish a new homeland, the Khitan armies shall not rest until their conquest is complete. Their enemies should be most worried, for the Khitan are not the average nomadic conqueror - besides their military skills inherited from their nomadic ancestors, they also possess both the administrative and engineering knowledge of the Chinese they ruled over and learned from.\n\nIt would be foolish to underestimate the Khitan. What is certain is that they intend to rebuild the great Empire of China in Central Asia.;Dans leur quête d'une nouvelle patrie après leur défaite face aux Jurchen, les Khitan sont arrivés en Asie centrale. Cherchant à établir une nouvelle patrie, les armées khitan ne se reposeront pas jusqu'à ce que leur conquête soit complète. Leurs ennemis devraient être très inquiets, car les Khitan ne sont pas le conquérant nomade moyen - en plus de leurs compétences militaires héritées de leurs ancêtres nomades, ils possèdent aussi les connaissances administratives et techniques des Chinois qu'ils ont gouvernés et dont ils ont appris.\n\nIl serait insensé de sous-estimer le Khitan. Ce qui est certain, c'est qu'ils ont l'intention de reconstruire le grand empire chinois en Asie centrale.;;;;;;;;;;;;x
zhongguo.1.a;We will civilize these insolent barbarians!;Nous civiliserons ces barbares insolents !;;;;;;;;;;;;x
zhongguo.1.b;I, for one, welcome our new Chinese overlords.;Pour ma part, je souhaite la bienvenue à nos nouveaux seigneurs chinois.;;;;;;;;;;;;x
zhongguo.1.c;The Chinese are coming?;Les Chinois arrivent ?;;;;;;;;;;;;x
zhongguo.2.desc;What good fortune! A large group Khitan refugees - including some members of the imperial clan - fleeing from the dishonourable Jurchen have found their way to our court. They include a number of capable soldiers, who will undoubtedly serve us as we establish order in these uncivilised, barbarian realms.;Quelle bonne fortune ! Un grand groupe de réfugiés khitan - dont certains membres du clan impérial - fuyant le déshonorant Jurchen ont trouvé leur chemin jusqu'à notre cour. Ils comprennent un certain nombre de soldats capables, qui nous serviront sans aucun doute lorsque nous établirons l'ordre dans ces royaumes barbares et non civilisés.;;;;;;;;;;;;x
zhongguo.2.a;May our great civilization flourish!;Que notre grande civilisation s'épanouisse !;;;;;;;;;;;;x
zhongguo.3.name;The Khitan Settle Down;Le Khitan s'est installé;;;;;;;;;;;;x
zhongguo.3.desc;Their invasion of Central Asia successful, the Khitan have, thankfully, halted their advance into the Middle East. Perhaps they only desired a new homeland, after all, and they now seem to be establishing a new Chinese Empire in Central Asia. Many say the Khitan are a cosmopolitan, civilised Chinese dynasty, who rule their people justly and live an unmatched life of sophistry and culture, better rulers in any case than the bloodthirsty warlords that once dominated the region - perhaps their appearance isn’t a bad thing. However, the rulers of the world must be wary. The Khitan aren’t the first horde to attack the region, nor will they be the last. A more brutal, ruthless, and inhuman horde of warriors may yet appear from the far east in the future...;Leur invasion de l'Asie centrale réussie, les Khitan ont, heureusement, stoppé leur avancée au Moyen-Orient. Peut-être ne souhaitaient-ils qu'une nouvelle patrie, après tout, et ils semblent maintenant établir un nouvel empire chinois en Asie centrale. Beaucoup disent que les Khitan sont une dynastie chinoise cosmopolite et civilisée, qui gouvernent leur peuple avec justice et mènent une vie inégalée de sophisme et de culture, de meilleurs dirigeants en tout cas que les seigneurs de guerre assoiffés de sang qui ont autrefois dominé la région - peut-être que leur apparence n'est pas une mauvaise chose. Cependant, les dirigeants du monde doivent se méfier. Les Khitan ne sont pas les premiers à attaquer la région, ni les derniers. Une horde de guerriers plus brutale, impitoyable et inhumaine peut encore apparaître de l'Extrême-Orient dans le futur...;;;;;;;;;;;;x
zhongguo.3.a;Ha ha, that last one was a good joke. ;Ha ha, cette dernière était une bonne blague.;;;;;;;;;;;;x
zhongguo.4.desc;Some Khitan refugees, fleeing from the murderous, traitorous, dishonourable Jurchen, have made their way to our court. They are wary from their journey, but their loyalty to the Khitan cause is undeniable.;Certains réfugiés khitans, fuyant le meurtrier, traître et déshonorant Jurchen, ont fait leur chemin jusqu'à notre cours. Ils se méfient de leur voyage, mais leur fidélité à la cause Khitan est indéniable.;;;;;;;;;;;;x
zhongguo.4.a;I am glad they made it.;Je suis heureux qu'ils aient réussi.;;;;;;;;;;;;x
zhongguo.5.desc;Amazing news! Members of your dynasty, the great Yelu clan, have made it to your court. They tell you their riveting tale of how they escape the monstrous Jurchen and made their way to you. Now, they hope that under your guidance you can bring the Khitan great honor. ;Des nouvelles étonnantes ! Les membres de votre dynastie, le grand clan Yelu, se sont rendus à votre cour. Ils vous racontent leur histoire fascinante sur la façon dont ils ont échappé au monstrueux Jurchen et se sont dirigés vers vous. Maintenant, ils espèrent que sous votre direction, vous pouvez apporter le grand honneur Khitan.;;;;;;;;;;;;x
zhongguo.5.a;We shall avenge our defeat in China!;Nous vengerons notre défaite en Chine !;;;;;;;;;;;;x
zhongguo.5.b;Too much family might not be too good... let them settle elsewhere.;Trop de famille n'est peut-être pas trop bien... laissez-les s'installer ailleurs.;;;;;;;;;;;;x
zhongguo.6.desc;I have become [Root.GetTitle], the Mandate of Heaven is mine! I can now be truly considered a Son of Heaven.;Je suis devenu [Root.GetTitle], le Mandat du Ciel est à moi ! Je peux maintenant être vraiment considéré comme un Fils du Ciel.;;;;;;;;;;;;x
zhongguo.6.a;May I rule for ten thousand years, ten thousand years, ten thousand of ten thousand years!;Que je règne pendant dix mille ans, dix mille ans, dix mille de dix mille ans !;;;;;;;;;;;;x
zhongguo.7.desc;I have shamed my ancestors, and can no longer be considered a Son of Heaven.;J'ai humilié mes ancêtres et je ne peux plus être considéré comme un Fils du Ciel.;;;;;;;;;;;;x
zhongguo.7.a;I have lost the Mandate of Heaven!;J'ai perdu le Mandat du Ciel !;;;;;;;;;;;;x
zhongguo.8.desc;Terrifying;Terrifiant;;;;;;;;;;;;x
zhongguo.8.a;Terrifying;Terrifiant;;;;;;;;;;;;x
