EVTNAMEIN1;A Proper Theodosian;;;;;;;;;;;;;x
EVTDESCIN1;[From.GetTitledFirstName], you have become Ruler of the Roman Imperium. The Monarch of the World is again a Theodosian-blooded one. Now all that remains is to take up a more proper, more fitting dEVTWESTO1;I am Imperator Honorius II, after my Great-Great-Great-Uncle!;;;;;;;;;;;;;x
EVTWESTO1;I am Imperator Honorius II, after my Great-Grandfather!;;;;;;;;;;;;;x
EVTWESTO2;I am Imperator Valentinian IV, after my Great-Grandfather!;;;;;;;;;;;;;x
EVTWESTO3;I am Imperator Honorius-Valentinian!;;;;;;;;;;;;;x
EVTNAMEIN2;A Proper Theodosian;;;;;;;;;;;;;x
EVTDESCIN2;[From.GetTitledFirstName], you have become Ruler of the Byzantine Empire. The Monarch of the World is again a Theodosian-blooded one. Now all that remains is to take up a more proper, more fitting dynastic name...;;;;;;;;;;;;;x
EVTEAST1;I am Theodosius III, after my Great-Great-Grandfather and his Grandfather!;;;;;;;;;;;;;x
EVTEAST2;I am Arcadius II, after my Great-Great-Great-Grandfather!;;;;;;;;;;;;;x
EVTEAST3;I am Arcadius-Theodosius;;;;;;;;;;;;;x
EVTEAST4;I am Theodosius-Arcadius;;;;;;;;;;;;;x
EVTNAMEIN3;A Proper Theodosian;;;;;;;;;;;;;x
EVTDESCIN3;[From.GetTitledFirstName], you are an Emperor of the Theodosian Western Imperial Line. Of this branch, there have as of the year 476 AD been two Emperors and two different monarch names: Valentinian III and Honorius. Would you wish to take on one of these great names, to enhance yourself in the eyes of those that would dare to judge you?;;;;;;;;;;;;;x
EVTWESTTHEO1;I am Imperator Honorius!;;;;;;;;;;;;;x
EVTWESTTHEO2;I am Imperator Valentinian!;;;;;;;;;;;;;x
EVTWESTTHEO3;I am Imperator Honorius-Valentinian!;;;;;;;;;;;;;x
EVTWESTTHEO4;I am my own man!;;;;;;;;;;;;;x
EVTNAMEIN4;A Proper Theodosian;;;;;;;;;;;;;x
EVTDESCIN4;[From.GetTitledFirstName], you are an Emperor of the Theodosian Eastern Imperial Line. Of this branch, there have as of the year 476 AD been two Emperors and two different monarch names: Theodosius II and Arcadius. Would you wish to take on one of these great names, to enhance yourself in the eyes of those that would dare to judge you?;;;;;;;;;;;;;x
EVTEASTTHEO1;I am Basileius Theodosius!;;;;;;;;;;;;;x
EVTEASTTHEO2;I am Basileius Arcadius!;;;;;;;;;;;;;x
EVTEASTTHEO3;I am Basileius Arcadius-Theodosius;;;;;;;;;;;;;x
EVTEASTTHEO4;I am Basileius Theodosius-Arcadius;;;;;;;;;;;;;x
EVTEASTTHEO5;I am my own man;;;;;;;;;;;;;x
EVTNAMEIN6;Constantine or Trajan?;;;;;;;;;;;;;x
EVTDESCIN6;[From.GetTitledFirstName], you are a descendant of both the Constantinian dynasty, but also that of Emperor Trajan. Which of these dynasties do you wish to belong to?;;;;;;;;;;;;;x
EVTCONSTRAJ1;I am of you, Great Trajan!;;;;;;;;;;;;;x
EVTCONSTRAJ2;I was born under Constantine and him I will remain.;;;;;;;;;;;;;x
EVTNAMEIN7;Who are you?;;;;;;;;;;;;;x
EVTDESCIN7;[From.GetTitledFirstName], eons ago, your ancestors were Emperors of Rome, but also Kings of Greek Syria and beyond. Now only you remain, of both lines. Which one of these nations do you wish to claim as your destiny?;;;;;;;;;;;;;x
EVTWESTAUGSEL1;The Seleucids will rise again!;;;;;;;;;;;;;x
EVTWESTAUGSEL2;Nobody remembers them. I am a Roman, an Augustian one.;;;;;;;;;;;;;x
