#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
western_regalia;Western Roman Imperial Regalia;Regalia de l'Empire romain d'Occident;;;Regalia del Imperio Romano Occidental;;;;;;;;;x
western_regalia_desc;The Imperial Regalia of Rome are a collection of various objects carried in tow during processions of the emperor. The main items were various lances and spears along with a standard, which was an embroidered banner surmounted by a gold eagle.;La regalia impériale de Rome est une collection d'objets divers portés au cours des processions de l'empereur. Les objets principaux étaient différentes épées et lances avec un étendard, qui était une bannière brodée surmontée d'un aigle doré.;;;La Regalia Imperial de Roma es una colección de varios objetos llevados en remolque durante las procesiones del emperador. Los artículos principales eran varias lanzas y lanzas junto con un estándar, que era una bandera bordada coronada por un águila del oro.;;;;;;;;;x
eastern_regalia;Eastern Roman Imperial Regalia;;;;;;;;;;;;;x
eastern_regalia_desc;The Imperial Regalia of Rome are a collection of various objects carried in tow during processions of the emperor. The main items were various lances and spears along with a standard, which was an embroidered banner surmounted by a gold eagle.;La regalia impériale de Rome est une collection d'objets divers portés au cours des processions de l'empereur. Les objets principaux étaient différentes épées et lances avec un étendard, qui était une bannière brodée surmontée d'un aigle doré.;;;La Regalia Imperial de Roma es una colección de varios objetos llevados en remolque durante las procesiones del emperador. Los artículos principales eran varias lanzas y lanzas junto con un estándar, que era una bandera bordada coronada por un águila del oro.;;;;;;;;;x
silk_dress;Silk Dress;Robe en soie;;;Vestido de seda;;;;;;;;;x
silk_dress_desc;A silk dress.;Une robe de soie.;;;Un vestido de seda;;;;;;;;;x
chess_set;Chess Set;Jeu d'échecs;;;Juego de ajedrez;;;;;;;;;x
chess_set_desc;An old, worn chess set.;Un jeu d'échecs vieux et usé.;;;Un viejo y dañado juego de ajedrez;;;;;;;;;x
world_map;World Map;Carte du monde;;;Mapamundi;;;;;;;;;x
world_map_desc;A world map.;Une carte du monde;;;Mapamundi;;;;;;;;;x
gurzil_image;Image of Gurzil;Image de Gurzil;;;Imagen de Gurzil;;;;;;;;;x
gurzil_image_desc;An image of Gurzil;Une image de Gurzil.;;;Una Imagen de Gurzil;;;;;;;;;x
