#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
BM_LITTLE_AUGUSTUS;Little Augustus;Petit Auguste;Kleiner Augustus;;El pequeño Augustulo;;;;;;;;x
BM_LITTLE_AUGUSTUS_ERA;Little Augustus;Petit Auguste;Kleiner Augustus;;El pequeño Augusto;;;;;;;x
BM_LITTLE_AUGUSTUS_DESC;As the Senate restores Zeno to power in the East, the West will soon fall. The mighty barbarian Odoacer has led his armies to conquer Italy.;Alors que le sénat tente de rétablir Zénon en tant qu'empereur à l'est, l'ouest va bientôt tomber. Le puissant barbare Odoacre mène ses armées à la conquête de l'Italie.;;;Mientras el senado reinstaura a Zenón en el poder en el imperio del Este, el imperio del Oeste pronto cae sin remedio, Odoacro el barbaro dirige sus tropas hacia la conquista de Italia;;;;;;;x
BM_LITTLE_AUGUSTUS_ERA_INFO;As the Senate restores Zeno to power in the East, the West will soon fall. The mighty barbarian Odoacer has led his armies to conquer Italy.;Alors que le sénat tente de rétablir Zénon en tant qu'empereur à l'est, l'ouest va bientôt tomber. Le puissant barbare Odoacre mène ses armées à la conquête de l'Italie.;;;Mientras el senado reinstaura a Zenón en el poder en el imperio del Este, el imperio del Oeste  cae sin remedio, Odoacro el barbaro dirige sus tropas hacia la conquista de Italia;;;;;;;x
BM_JULIUS_NEPOS;Julius Nepos;Julius Nepos;;;Julio Nepote;;;;;;;x
BM_JULIUS_NEPOS_DESC;Overthrown by Orestes, Julius Nepos flees his empire, leaving the Western Roman Empire to Orestes' young son, Romulus Augustus. But, dissatisfied with their rewards, the troops with which Orestes did it then turned to Odoacer, who promptly led a coup to dethrone the kid emperor. Odoacer seizes the Italian Peninsula and his men proclaim him 'rex Italiae' - the King of Italy. However, relegated to a small holdout in Dalmatia, Julius Nepos gears up for a massive invasion to regain his lost empire, one sure to be filled with hardships and perils...;Renversé par Oreste, Julius Nepos s’est enfui de son empire, laissant le trône au jeune fils d’Oreste, Romulus Augustus. Mais, insatisfaits de leurs récompenses, les troupes avec lesquelles Oreste l’a fait se sont tournées vers Odoacre, qui a rapidement mené un coup pour détrôner l’empereur enfant. Odoacre s’empare de la péninsule Italienne, et ses hommes le proclament « rex Italiae » – roi d’Italie. Cependant, relégué à un petit domaine en Dalmatie, Julius Nepos prépare une invasion pour reprendre son empire perdu, ce qui va certainement comporter de nombreuses épreuves et périls…;;;Derrotado por Orestes, Julio Nepote huye de su imperio, dejando el Imperio Romano Occidental al joven hijo de Orestes, Romuluo Augustulo. Pero, insatisfechos con sus recompensas, las tropas con las que Orestes expulsó a Julio se volvieron a favor de Odoacro, quien prontamente condujo un golpe para destronar al niño emperador. Odoacro se apodera de la península italiana y sus hombres le proclaman «rex Italiae» - el rey de Italia. Sin embargo, Julio Nepote,relegado a un pequeño territorio en Dalmacia,se prepara para una invasión masiva para recuperar su imperio perdido, seguro de que estará lleno de dificultades y peligros;;;;;;;x
BM_THE_OLDER_GODS;Shattered Empire;Empire Brisé;;;El imperio partido;;;;;;;x
BM_THE_OLDER_GODS_ERA;Shattered Empire;Empire Brisé;;;El imperio partido;;;;;;;x
BM_THE_OLDER_GODS_DESC;Only four years ago, Odoacer destroyed the Western Roman Empire. Now, Western Europe is in a perpetual state of flux, as horde after horde contests the power vacuum left by the Romans. The Middle East experiences a period of religious upheaval, with the Jewish, Monophysites, and Pagans fighting for supremacy. All the while, the Eastern Roman Empire stands alone, continuing their difficult struggle versus the Sassanids.;Il y a seulement quatre ans, Odoacre a détruit l'Empire romain d'Occident. Maintenant, l’Europe de l’Ouest est perpétuellement dans une phase évolutive, puisqu'une horde après une autre tente de profiter de la vacance du pouvoir laissé par les romains. Le Moyen-Orient traverse une période d’agitation religieuse, avec les juifs, monophysites et païens qui luttent pour la domination. Pendant tout ce temps, l’Empire romain d’Orient est seul dans la continuation de sa lutte difficile contre les Sassanides.;;;Sólo hace cuatro años, Odoacro destruyó el Imperio Romano de Occidente. Ahora, Europa Occidental está en un perpetuo estado de flujo, como horda tras horda compite por el vacío de poder dejado por los romanos. El Oriente Medio experimenta un período de agitación religiosa, con los judíos, monofisitas y paganos que luchan por la supremacía. Mientras tanto, Bizancio está solo, continuando su difícil lucha contra los sasánidas;;;;;;;;;x
BM_THE_OLDER_GODS_ERA_INFO;Only four years ago Odoacer destroyed the Western Roman Empire. Now, the world is in never-ending chaos as horde after horde of "Barbarians" struggle to fill the void. And as the hordes rage across Europe, the Middle East is in religious turmoil, with Jewish, Monophysite, and pagan kingdoms struggling for control as the Eastern Romans stand helpless in their wars with the Sassanids. It seems the whole world has stopped making sense.;Il y a seulement quatre ans, Odoacre a détruit l'Empire romain d'Occident. Maintenant, l’Europe de l’Ouest est perpétuellement dans une phase évolutive, puisqu'une horde après une autre tente de profiter de la vacance de pouvoir laissé par les romains. Le Moyen-Orient traverse une période d’agitation religieuse, avec les juifs, monophysites et païens qui luttent pour la domination. Pendant tout ce temps, l’Empire romain d’Orient est seul dans la continuation de sa lutte difficile contre les Sassanides.;;;Sólo hace cuatro años, Odoacro destruyó el Imperio Romano de Occidente. Ahora, Europa Occidental está en un perpetuo estado de flujo, como horda tras horda compite por el vacío de poder dejado por los romanos. El Oriente Medio experimenta un período de agitación religiosa, con los judíos, monofisitas y paganos que luchan por la supremacía. Mientras tanto, Bizancio está solo, continuando su difícil lucha contra los sasánidas.;;;;;;;x;;;;;;;x
BM_FRANKISH_STEEL;Frankish Steel;L'Unification des Francs;;;La unificación de los Francos;;;;;;;x
BM_FRANKISH_STEEL_ERA;Frankish Steel;L'Unification des Francs;;;La unificación de los Francos;;;;;;;x
