#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
###### Realm decisions;;;;;;;;;;;;x
ask_for_hre;Ask Pope for Coronation;Demander un sacre au Pape;;;Pedir al papa que te corone.;;;;;;;x
ask_for_hre_desc;Ask if the Pope may recognize you as the legitimate successor to the Western Roman Empire.;Demander si le Pape peut vous reconnaître en tant que le successeur légitime de l'Empire Romain d'Occident.;;;Pregunte si el Papa puede reconocerlo como el sucesor legítimo del Imperio Romano de Occidente.;;;;;;;x
ask_for_wre;Ask for Western Roman Empire;Demander l'Empire Romain d'Occident;;;Demandar el Imperio Romano Occidental;;;;;;;x
ask_for_wre_desc;Ask the Eastern Emperor to grant you the crown of the Western Roman Empire.;Demander à l'empereur d'Orient de vous accorder la couronne de l'Empire Romain d'Occident.;;;Pídele al emperador oriental que te otorgue la corona del Imperio Romano de Occidente.;;;;;;;x
organize_scholae_palatinae;Reorganize Eastern Scholae Palatinae;Réorganiser le Scholae Palatinae de l'Orient;;;Reorganizar la Escuela Palatina de Oriente;;;;;;;x
organize_scholae_palatinae_desc;Reorganize the Scholae Palatinae, an elite corps of guardsmen.;Réorganiser le Scholae Palatinae, un corps de gardes d'élite.;;;Reorganizar la Escuela Palatina, un cuerpo de guardias de élite;;;;;;;x
scholae_organized;The Scholae Palatinae is reorganized.;Le Scholae Palatinae est réorganisé.;;;La Escuela Palatina ha sido reorganizada;;;;;;;x
reorganize_western_scholae_palatinae;Reorganize Western Scholae Palatinae;Réorganiser le Scholae Palatinae d'Occident;;;Reorganizar la Escuela Palatina de Occidente;;;;;;;x
reorganize_western_scholae_palatinae_desc;Reorganize the Scholae Palatinae, an elite corps of guardsmen.;Réorganiser le Scholae Palatinae, un corps de gardes d'élite.;;;Reorganizar la escuela palatina, un cuerpo de élite de guardias.;;;;;;;x
organize_excubitors;Organize Excubitors;Fonder les Excubites;;;Fundar los Excubitores;;;;;;;x
organize_excubitors_desc;Organize the Excubitors, an elite guard recruiting from the barbarians to the East, from sturdy Isaurians to swift Arabs, it will be a powerful shield of the Empire.;Fonder les Excubites, un corps de gardes d'élite qui recrute des barbares de l'Est, des robustes Isauriens aux rapides Arabes, qui va être un puissant bouclier de défense pour l'empire.;;;Organiza a los Excubitores, un cuerpo de guardia de élite que recluta a los bárbaros en el este, desde robustos Isauros hasta veloces árabes, será un poderoso escudo del Imperio.;;;;;;;x
excubitors_organized;The Excubitors are formed.;Les Excubites est fondé.;;;Los Excubitores han sido fundados;;;;;;;x
reorganize_praetorian_guard;Recreate the Praetorian Guard;Recréer la garde prétorienne;;;;;;;;;;x
reorganize_praetorian_guard_desc;Recreate the Praetorian Guard, an elite corps of guardsmen. The troublesome guard was disbanded by Constantine I in 312 after they had been defeated in their support of a rival emperor.;Recréez la garde prétorienne, un corps d'élite de gardes. Cette garde problématique avait été dissoute par Constantin I en 312 après qu'ils furent vaincus dans leur soutien d'un empereur rival.;;;;;;;;;;x
praetorian_guard_recreated;The Praetorian Guard is recreated.;La garde prétorienne est recréée.;;;;;;;;;;x
reform_imperial_fleet_ere;Reform the Eastern Imperial Fleet;Réformer la flotte impériale d'Orient;;;Reformar la flota imperial de Oriente.;;;;;x 
reform_imperial_fleet_ere_desc;Mainly defending the straits of the Bosphorus and the imperial capital of Constantinople, the Eastern Roman Navy was a pillar in the defence of the empire. With the area once again in your hands, you may restore the important institution, giving the fleet its former glory.;Défendant principalement les détroits du Bosphore et la capitale impériale Constantinople, la marine de l'Empire romain d'Orient était un pilier dans la défense de l'empire. Avec cette région de nouveau sous votre contrôle, vous pouvez restaurer cette institution importante, rendant à la marine sa gloire de jadis.;;;Principalmente defendiendo los estrechos del Bósforo y la capital imperial de Constantinopla, la marina romana de Oriente fue un pilar en la defensa del imperio. Con el área una vez más en sus manos, puede restaurar la importante institución, dándole a la flota su antigua gloria.;;;;;x
reform_imperial_fleet_wre;Reform the Western Imperial Fleet;Réformer la flotte impériale d'Occident;;;Reformar la flota imperial de Occidente;;;;;x
reform_imperial_fleet_wre_desc;After the disastrous defeat in the hands of the Vandals at the Battle of Cape Bon, the Western Roman Navy was irremediably damaged and only a shadow of its former self. Yet, if you were to invest some funds into the project and send men to recruit sailors, you could restore the navy, giving it back its illustrious dominance.;Suite à désastreuse défaite face aux vandales lors de la bataille du Cap Bon, la marine de l'Empire romain d'Occident a été irrémédiablement endommagée et n'est plus qu'une ombre de son ancienne grandeur. Cependant, si vous investissez de l'argent dans un projet de réformation et commencez à recruter des marins, vous pouvez restaurer la marine, lui rendant sa glorieuse position d'antan.;;;Después de la desastrosa derrota en manos de los vándalos en la Batalla de Cabo Bon, la Armada Romana Occidental fue dañada irremediablemente y solo una sombra de lo que fue. Sin embargo, si invirtiera algunos fondos en el proyecto y enviara hombres para reclutar marineros, podría restaurar la armada, devolviéndole su predominio ilustre.;;;;;x
rebuild_circus_maximus;Rebuild the Circus Maxiumus;Reconstruire le Circus Maximus;;;Reconstruir el circo máximo;;;;;;;x
rebuild_circus_maximus_desc;Rebuild and renovate the crumbling Circus Maximus.;Reconstruire et rénover le Circus Maximus croulant;;;Reconstruir y renovar el Circo máximo.;;;;;;;x
build_hagia_sophia;Build Hagia Sophia;Construire la basilique Sainte-Sophie;;;Construir la basílica de Santa Sofía;;;;;;;x
build_hagia_sophia_desc;Build Hagia Sophia, a new cathedral for Constantinople, symbol of wealth and power of the Eastern Roman Empire.;Construire Sainte-Sophie, une nouvelle basilique pour Constantinople, symbole de la richesse et du pouvoir de l'Empire romain d'Orient.;;;Construye Hagia Sophia, una nueva catedral para Constantinopla, símbolo de la riqueza y el poder del Imperio Romano de Oriente.;;;;;;;x
support_blues;Support the Blues;Soutenir les bleus;;;Apoyar a los Azules;;;;;;;x
support_blues_desc;The Blues are the chariot team for the nobility, centred on courtly intrigue and diplomacy.;L'équipe de char des bleus est celle de la nobilité, centrée autour des intrigues de la cour et la diplomatie.;;;Los Azules son el equipo de carros para la nobleza, centrado en la intriga cortesana y la diplomacia.;;;;;;;x
support_greens;Support the Greens;Soutenir les verts;;;Apoyar a los verdes;;;;;;;x
support_greens_desc;The Greens are the chariot team for the working class, violent and hardworking are perfect words to describe Green fans.;L'équipe de char des verts est celle de la classe ouvrière. Les mots "violents" et "travailleurs" sont parfaits pour décrire les supporteurs des verts.;;;Los Verdes son el equipo de carros para la clase trabajadora, violentos y trabajadores son palabras perfectas para describir a los fanáticos Verdes.;;;;;;;x
restore_italia;Restore Italia;Restaurer Italia;;;Restaurar Italia;;;;;;;x
restore_italia_desc;Restore the Roman Infrastructure in Italia.;Restaurer l'infrastructure romaine dans la province d'Italia;;;Restaurar la infraestructura romana en Italia.;;;;;;;x
abolish_masmuda;Abolish the Confederacy;Mettre un terme à la confédération;;;Abolir la confederación.;;;;;;;x
