#Decisions NOT used;;;;;;;;;;;;x
#;;;;;;;;;;;;x
# Unused;;;;;;;;;;;;x
#;;;;;;;;;;;;x
ask_for_seven_province_trade;Ask for Seven Province Trade;Faire une demande de commerce aux Sept-Provinces;;;;;;;;;;x
ask_for_seven_province_trade_desc;Ask the ruler of Tolosa for trade in the Seven Provinces.;Faire une demande au dirigeant de Tolosa pour faire du commerce avec les Sept-Provinces.;;;;;;;;;;x
end_seven_province_trade;End Seven Province Trade;Terminer le commerce avec les Sept-Provinces;;;;;;;;;;x
end_seven_province_trade_desc;End the bustling trade in the Seven Provinces.;Mettre fin au commerce qui anime les Sept-Provinces.;;;;;;;;;;x
ask_for_lugdunensis_trade;Ask for Lugdunensis Trade;Faire une demande de commerce à Lugdunensis;;;;;;;;;;x
ask_for_lugdunensis_trade_desc;Ask the ruler of Paris for trade in the Lugdunensis.;Faire une demande au dirigeant de Paris pour faire du commerce avec Lugdunensis.;;;;;;;;;;x
open_trade;Open Trade;Commerce ouvert;;;Libre Comercio;;;;;;;x
open_trade_desc;This province is experiencing open trade, causing an influx of cultures, religions, and wealth into the area.;Cette province connaît un commerce ouvert, provoquant un afflux de cultures, de religions et de la richesse dans la région.;;;Esta provincia está experimentando el comercio abierto, causando una afluencia de culturas, religiones y riqueza en el área.;;;;;;;x
unsafe_trade;Unsafe Trade;Commerce hasardeux;;;;;;;;;;x
unsafe_trade_desc;The trade routes in this provinces are not very safe, causing many merchants to travel in fear, if they do at all.;Les routes commerciales dans cette province ne sont pas très sûres, ce qui fait que de nombreux marchands voyagent avec la peur, s'ils osent voyager du tout.;;;;;;;;;;x
become_a_galli;Become a Galli;Devenir un galle;;;;;;;x
become_a_galli_desc;To show your ultimate devotion to the divine Cybele, you may take the option to castrate yourself in the memory of Attis.;Pour montrer votre dévotion ultime à la Cybèle divine, vous pouvez choisir de vous castrer dans la mémoire d'Attis.;;;;;;;x
hold_taurobolium;Hold Taurobolium;Tenir Taurobolium;;;;;;;x
hold_taurobolium_desc;As Romans are forbidden to castrate themselves in the name of Attis, Latin rulers can instead hold a Taurobolium to appease the Magna Mater.;Puisque les Romains sont interdits de se castrer au nom d'Attis, les dirigeants latins peuvent à la place tenir un Taurobolium pour apaiser la Magna Mater.;;;;;;;x
high_german_decision;Create a Pan-German Language;Créer un langage pan-germanique;;;;;;;;;;x
high_german_decision_desc;The people of the Holy Roman Empire speak a variety of Germanic languages. The creation of a single, unified Germanic language could be a first step in a Pan-Germanic Ideology.;Le peuple du Saint-Empire Romain Germanique parle une variété de différentes langues germaniques. La création d'un seul langage germanique pourrait être la première étape d'une idéologie pan-germanique.;;;;;;;;;;x
borrow_money_agonistici;Borrow money from the Agonistici;Emprunter de l'argent des Agonistici;;;;;;;;;;x
borrowed_from_agonisticis;Borrowed from Agonisticis;A emprunté de l'argent des Agonistici;;;;;;;;;;x
expelled_d_agonisticis;Expelled Agonisticis;Agonisticis expulsés;;;;;;;;;;x
patrons_root_west_crane;Dedicate Yourself to the Blackheaded or the Redfaced;Se dédier à la tête noire ou la tête rouge;;;;;;;;;x
patrons_root_west_crane_desc;There are two great beings in the Root West faith. Each represent a core demographic of the faith: the Great Crane embodies the Blackheaded, the priests who intercede on our behalf. The Monkeys represent both the Redfaced- me and my fellow rulers -and the common man. It is from them that my right and power to rule descends. Either would be meaningful to myself and my people. Whom should I serve?;Il y a deux grands êtres dans la foi tangoute. Chacun représente un noyau démographique de la foi : le grand crane incarne les têtes noires, les prêtres qui intercèdent en notre faveur. Les singes représentent à la fois les têtes rouges- moi et mes collègues dirigeants - et le roturier. C'est d'eux qu'émane mon pouvoir et mon droit de gouverner. L'un ou l'autre serait significatif pour moi et pour mon peuple. Quel intérêt dois-je servir ?;;;;;;;;;x
patrons_root_west_monkey;Dedicate Yourself to the Redfaced and the Monkeys;Se dédier à la tête rouge et les singes;;;;;;;;;x
patrons_root_west_monkey_desc;There are two great beings in the Root West faith. Each represent a core demographic of the faith: the Great Crane embodies the Blackheaded, the priests who intercede on our behalf. The Monkeys represent both the Redfaced- me and my fellow rulers -and the common man. It is from them that my right and power to rule descends. Either would be meaningful to myself and my people. Whom should I serve?;Il y a deux grands êtres dans la foi tangoute. Chacun représente un noyau démographique de la foi : le grand crâne incarne les têtes noires, les prêtres qui intercèdent en notre faveur. Les singes représentent à la fois les têtes rouges- moi et mes collègues dirigeants - et le roturier. C'est d'eux qu'émane mon pouvoir et mon droit de gouverner. L'un ou l'autre serait significatif pour moi et pour mon peuple. Quel intérêt dois-je servir ?;;;;;;;;;x
create_mediterranean_empire;Create Mediterranean Empire;Créer un Empire Méditerranéen;;;;;;;;;;x
create_mediterranean_empire_desc;You now control the entire Mediterranean World, truly qualifying as an Empire.;Vous contrôlez désormais l'ensemble du monde méditerranéen, vraiment qualifié d'Empire.;;;;;;;;;;x
