phrygian_group;Phrygian Group;;;;;;;;;;;x
e_thuringia;Thuringian Empire;;;;;;;;;;;x
e_thuringia_adj;Thuringian;;;;;;;;;;;x
e_alamannia;Alamannian Empire;;;;;;;;;;;x
e_alamannia_adj;Alamannian;;;;;;;;;;;x
e_gepids;Gepid Empire;;;;;;;;;;;x
e_gepids_adj;Gepid;;;;;;;;;;x
k_republic;Res Publica;;;;;;;;;;;x
k_republic_adj;Roman;;;;;;;;;;;x
CONSUL;Consul;;;;;;;;;;;x
CONSUL_FOA;Gloriosa Consulem;;;;;;;;;;;x
e_burgundy;Burgundian Empire;;;;;;;;;;;x
e_burgundy_adj;Burgundian;;;;;;;;;;;x
e_saxony;Saxon Empire;;;;;;;;;;;x
e_saxony_adj;Saxon;;;;;;;;;;;x
e_goths;Gothic Empire;;;;;;;;;;;x
e_goths_adj;Gothic;;;;;;;;;;;x
e_moors;Moorish Empire;;;;;;;;;;;x
e_moors_adj;Moorish;;;;;;;;;;;x
e_vandalica;Vandal Empire;;;;;;;;;;;x
e_vandalica_adj;Vandalic;;;;;;;;;;;x
e_mediterranean;Mediterranean Empire;;;;;;;;;;;x
e_mediterranean_adj;Mediterranean;;;;;;;;;;;x
duke_thuringian;Herzoj;;;;;;;;;;;x
count_thuringian;Zählen;;;;;;;;;;;x
king_thuringian;Khönij;;;;;;;;;;;x
county_of_thuringian;Jrafschafs of;;;;;;;;;;;x
duchy_of_thuringian;Herzojsum of;;;;;;;;;;;x
kingdom_of_thuringian;Reich of;;;;;;;;;;;x
city_baron_thuringian;Bürjermeisser;;;;;;;;;;;x
city_barony_of_thuringian;Ssads of;;;;;;;;;;;x
baron_thuringian;Jebieser;;;;;;;;;;;x
barony_of_thuringian;Schloss of;;;;;;;;;;;x
king_east_gallic;Hendinos;;;;;;;;;;;x
duke_east_gallic;Leuds;;;;;;;;;;;x
kingdom_of_east_gallic;Hendinum of;;;;;;;;;;;x
duchy_of_east_gallic;Leudi of;;;;;;;;;;;x
temple_baron_east_gallic;Sinistus;;;;;;;;;;;x
job_marshal_east_gallic;Stiurilings;;;;;;;;;;;x
job_treasurer_east_gallic;Ãžeus;;;;;;;;;;;x
job_spymaster_east_gallic;Wulwa;;;;;;;;;;;x
count_east_gallic;Walda;;;;;;;;;;;x
county_of_east_gallic;Waldan of;;;;;;;;;;;x
city_barony_of_east_gallic;Haims of;;;;;;;;;;;x
city_barony_of_suebian;Burjo of;;;;;;;;;;;x
duke_vandalic;Froja;;;;;;;;;;;x
duchy_of_vandalic;Froj of;;;;;;;;;;;x
job_marshal_vandalic;Gardingus;;;;;;;;;;;x
title_scop;Scop;;;;;;;;;;;x
title_scop_desc;A Scop is a form of Anglo-Saxon bard, who is a favored entertainer in the rulers' court.;;;;;;;;;;;x
title_helm_desc;The Helm is a chosen protector of the ruler, and a valued confidant in times of trouble.;;;;;;;;;;;x
title_helm;Helm;;;;;;;;;;;x
title_folcwine;Folcwine;;;;;;;;;;;x
title_folcwine_desc;A Folcwine is a friend of the people, and it is a honor to be considered so by the ruler.;;;;;;;;;;;x
title_sigecempa;The Sigecempa is an incredible honor, being the victorious champion of your people.;;;;;;;;;;;x
king_old_frankish;Cuning;;;;;;;;x
duke_old_frankish;Artug;;;;;;;;;;;x
count_old_frankish;Tellen;;;;;;;;;;;x
baron_old_frankish;Hier;;;;;;;;;;;x
kingdom_of_old_frankish;Cuninkrek of;;;;;;;;;;;x
duchy_of_old_frankish;Artogdom of;;;;;;;;;;;x
county_of_old_frankish;Pronvincie of;;;;;;;;;;;x
barony_of_old_frankish;Castiel of;;;;;;;;;;;x
king_old_frisian;Tsening;;;;;;;;;;;x
kingdom_of_old_frisian;Tseninkryts of;;;;;;;;;;;x
duke_old_frisian;Hartoch;;;;;;;;;;;x
duchy_of_old_frisian;Hartochdom;;;;;;;;;;;x
count_old_frisian;Tserekkenje;;;;;;;;;;;x
county_of_old_frisian;Griefstsip of;;;;;;;;;;;x
baron_old_frisian;Mynhier;;;;;;;;;;;x
city_baron_old_frisian;Boorgemaler;;;;;;;;;;;x
temple_baron_old_frisian;Pastoar;;;;;;;;;;;x
temple_barony_of_old_frisian;Tzirke of;;;;;;;;;;;x
city_barony_of_old_frisian;Sted of;;;;;;;;;;;x
barony_of_old_frisian;Tsastiel of;;;;;;;;;;;x
king_high_german;KÃ¶nig;;;;;;;;;;;x
kingdom_of_high_german;Reich of;;;;;;;;;;;x
duke_high_german;Herzog;;;;;;;;;;;x
duchy_of_high_german;Herzogtum;;;;;;;;;;;x
count_high_german;Zählen;;;;;;;;;;;x
county_of_high_german;Grafschaft of;;;;;;;;;;;x
baron_high_german;Meister;;;;;;;;;;;x
city_baron_high_german;Bürjermeisser;;;;;;;;;;;x
temple_baron_high_german;Priester;;;;;;;;;;;x
temple_barony_of_high_german;Kirche of;;;;;;;;;;;x
city_barony_of_high_german;Stadt of;;;;;;;;;;;x
barony_of_high_german;Schloss of;;;;;;;;;;;x
high_german_decision;Create a Pan-German Language;;;;;;;;;;;x
high_german_decision_desc;The people of the Holy Roman Empire speak a variety of Germanic languages. The creation of a single, unfied Germanic language could be a frst step in a Pan-Germanic Ideology.;;;;;;;;;;;x
indulgent;Indulgent;;;;;;;;;;;x
samosatan;Samosatan;;;;;;;;;;;x
duke_alamannian;Gova;;;;;;;;;;;x
duchy_of_alamannia;Goviae of;;;;;;;;;;;x
INQUISITION;[Root.PrimaryTitle.GetAdjective] Inquisition;;;;;;;;;;;;;x
tyrant;Tyrant;;;;;;;;;;;x
tyrant_DESC;This character is a cruel tyrant, subjugating the people, and reaping the rewards.;;;;;;;;;;;x
tyrant_desc;This character is a cruel tyrant, subjugating the people, and reaping the rewards.;;;;;;;;;;;x
tyranny_0_desc;This kingdom is ruling normally, without the aid of tyranny.;;;;;;;;;;;x
tyranny_0;No Tyranny;;;;;;;;;;;x
tyranny_1;Tyranny;;;;;;;;;;;x
tyranny_1_desc;This kingdom is ruled with an iron fist, angering the people but instilling fear into many.;;;;;;;;;;;x
e_league;League of Old Rites;;;;;;;;;;;x
e_league_adj;League;;;;;;;;;;;x
hunas;Hunas;;;;;;;;;;;x
k_hunas;Hunas;;;;;;;;;;;x
k_hunas_adj;Huni;;;;;;;;;;;x
warnic;Warnic;;;;;;;;;;;x
old_bavarian;Bavari;;;;;;;;;;;x
d_bavari;Bavari;;;;;;;;;;;x
d_rugii;Rugii;;;;;;;;;;;x
e_oriens;Oriens;;;;;;;;;;;x
e_oriens_adj;Oriental;;;;;;;;;;;x
d_scholae_palatinae;Scholae Palatinae;;;;;;;;;;;x
d_scholae_palatinae_adj;Palatinaen;;;;;;;;;;;x
d_excubitors;Excubitors;;;;;;;;;;;x
d_excubitors_adj;Excubitian;;;;;;;;;;;x
scholae_organized;The Scholae Palatinae is formed.;;;;;;;;;;;;x
organize_scholae_palatinae_desc;Organize the Scholae Palatinae, an elite corps of guardsmen.;;;;;;;;;;;x
organize_scholae_palatinae;Organize Scholae Palatinae;;;;;;;;;;;x
excubitors_organized;The Excubitors are formed.;;;;;;;;;;;;x
organize_excubitors;Organize Excubitors;;;;;;;;;;;x
organize_excubitors_desc;Organize the Excubitors, and elite guard recruiting from the barbarians to the East, from sturdy Isaurians to swift Arabs, it will be a powerful shield of the Empire.;;;;;;;;;;;x
king_tocharian;Lánt;;;;;;;;;;;x
