#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
###### Misc events, decisions, modifiers;;;;;;;;;;;;x
###### Georgian Schism;;;;;;;;;;;;x
GEORGIAN.1.title;The Georgian Church;L'Église géorgienne;;;La iglesia Georgiana;;;;;;;x
GEORGIAN.1.desc;Talks between the Patriarchs of many Christian churches has led to a decision. The Georgian Church will be joining in communion with either the Nicene or Armenian church. As a ruler, it is your decision to decide which faith you will join.;Les pourparlers entre les Patriarches de nombreuses églises chrétiennes ont conduit à une décision. L'Église géorgienne se joindra en communion soit avec l'Église nicéenne soit l'Église arménienne. En tant que souverain, il est en votre pouvoir de décider quelle foi vous rejoindrez.;;;Las conversaciones entre los patriarcas de muchas iglesias cristianas han llevado a una decisión. La Iglesia georgiana se unirá en comunión con la iglesia de Nicea o armenia. Como regla, es su decisión decidir a qué fe se unirá.;;;;;;;x
GEORGIAN.1.a;We shall join the main faith;Nous allons rejoindre la foi principale;Nous devrions rejoindre la foi principale;;;Nos uniremos a la fé principal.;;;;;;x
GEORGIAN.1.b;Glory to the Armenian Church!;Gloire à l'Église arménienne !;;;Gloria a la iglesia Armenia;;;;;;;x
GEORGIAN.1.c;We shall remain true!;Nous devrions rester dans le vrai !;;;¡Permaneceremos con la verdad!;;;;;;;x
GEORGIAN.2.desc;[From.GetTitledName] has decided to convert to [From.Religion.GetName] and commands all [From.GetHerHis] subjects to follow suit.;[From.GetTitledName] a décidé de se convertir au [From.Religion.GetName] et ordonne à tout ses sujets d'en faire de même.;;;[From.GetTitledName] ha decidido convertir a [From.Religion.GetName] y le ordena a todos los sujetos [From.GetHerHis] que hagan lo mismo.;;;;;;;x
GEORGIAN.2.a;As the [From.GetTitle] commands!;Comme le [From.GetTitle] l'ordonne !;;;Como [From.GetTitle] comande!;;;;;;;x
GEORGIAN.2.b;I refuse!;Je refuse !;;;¡Me niego!;;;;;;;x
###### Misc events;;;;;;;;;;;;x 
EVTDESC40076589;While sailing with your men, you have encountered a great storm. Many are in despair, and they look to you for safety.;Tandis que vous êtes en train de naviguer avec vos hommes, vous vous êtes retrouvés face à une grande tempête. Un grand nombre sont désespérés, et ils se tournent vers vous pour la sûreté. ;;;Mientras navegas con tus hombres, te has encontrado con una gran tormenta. Muchos están desesperados, y te buscan por seguridad.;;;;;;;x
EVTOPTA40076589;Save yourself!;Sauvez-vous !;;;¡Salvate a ti mismo!;;;;;;;x
EVTOPTB76589;Take control of the situation!;Prendre le contrôle de la situation !;;;¡Toma el control de la situación!;;;;;;;x
EVTDESC40076591;A villager has come to your court, claiming that he saw a magical creature in the woods. Surely such creatures don't actually exist?;Un villageois est venu à votre cour, affirmant qu'il a vu une créature magique dans les bois. Assurément ces créatures n'existent réellement pas ?;;;Un aldeano ha venido a tu corte, alegando que vio una criatura mágica en el bosque. Seguramente tales criaturas realmente no existen?;;;;;;;x
