#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#### Stuff that doesn't fit into a specific category;;;;;;;;;;;;;;x
#### Diseases;;;;;;;;;;;;;;x
justinian_plague;Bubonic Plague;Peste bubonique;Beulenpest;;Peste bubónica;;;;;;;;;x
justinian_plague_recurrence_1;Bubonic Plague;Peste bubonique;Beulenpest;;Peste bubónica;;;;;;;;;x
justinian_plague_recurrence_2;Bubonic Plague;Peste bubonique;Beulenpest;;Peste bubónica;;;;;;;;;x
JUSTINIAN_PLAGUE_INFO;A terrible plague is devastating this county.;Une terrible peste ravage ce comté.;;;;;;;;;;;;x
#### Religious modifiers;;;;;;;;;;;;;;x
affected_by_pestilence;Affected by the pestilence;Atteint de la pestilence;;;;;;;;;;;;x
#### Governments;;;;;;;;;;;;;;x
bureaucratic_government;Bureaucratic;Bureaucratie;;;;;;;;;;;;x
bureaucratic_government_desc;A bureaucratic administration relies on civil administrators, that can be appointed and dismissed at will, and less on landed vassals. Rulers can personally rule more territory and gain more taxes, and maintain more experienced professional soldiers at the cost of being able to raise less.;Une administration bureaucratique dépend d'administrateurs civils, qui peuvent être nommés et renvoyés à volonté, et moins des vassaux fonciers. Les dirigeants peuvent personnellement gouverner sur plus de territoires, et maintenir des soldats professionnels plus expérimentés.;;;;;;;;;;;;x
bureaucratic_government_adoption;Adoption of a bureaucratic government;Adoption d'un gouvernement bureaucratique;;;;;;;;;;x
gov_sassanid;Eranshahr;;;;;;;;;;;;;x
gov_sassanid_government;Iranian Principality;Principauté iranienne;;;;;;;;;;;;x
gov_soissons;Regnum Romanorum;Regnum Romanorum;;;;;;;;;;;;x
sassanid_government;Eranshahr;;;;;;;;;;;;;x
sassanid_government_desc;The Sassanid form of government is the absolute fusion of church and state, entertaining a precarious balance of power between local lord and Shahanshah. Further bolstered by a power beauracracy and priesthood, this government is the produc of centuries of Sassanid rule.;;;;;;;;;x;
legion_government;Legion;;;;;;;;;;;;;x
legion_government_desc;The Roman legions were emblematic of the organization and discipline of the Roman Empire in its heyday, and as elite heavy infantry of the Roman army form the backbone of the Imperial army. Under Imperial governments, the legions represent the military as fully distinct from the civil administration. Only legionary commanders are allowed to be marshal and command armies apart from the Imperator and the Caesar, and each commander is tied to his respective legion under his liege while barred from holding other titles while in command. Legions that have lost their legionary base and are annihilated in battle will be destroyed, but a Roman Emperor that manages to reconquer a legion's base and area can restore them by decision.;;;;;;;;;;;;;x
legion_government_FEATURES;§Y*§! Not allowed to hold landed titles simultaneously with a legion or multiple legion commands\n§Y*§! Cannot be transferred to other vassals;;;;;;;;;;;;;x
#### Laws;;;;;;;;;;;;;;x
stability;Stability;Stabilité;;;;;;;;;;;;x
stability_desc;Stability measures how stable the government is against both internal and external threats. At lower stability, our tax efficiency decreases and we may even face challenges from ambitious generals and governors.;La stabilité mesure à quel point un gouvernement est stable face à des menaces internes et externes. À faible stabilité, notre efficacité fiscale diminue et nous pouvons même faire face à des défis de la part d'ambitieux généraux et gouverneurs.;;;;;;;;;;;;x
stability_2;Normal;Normal;;;;;;;;;;;;x
stability_2_desc;The realm is stable.;Le royaume est stable;;;;;;;;;;;;x
stability_1;Low Stability;Faible stabilité;;;;;;;;;;;;x
stability_1_desc;The realm is slightly destabilized. Ambitious governors may seek fame and fortune by launching foreign expeditions on their own realm.;Le royaume est légèrement déstabilisé. Des gouverneurs ambitieux peuvent chercher gloire et fortune en lançant des expéditions étrangères sur leur propre royaume.;;;;;;;;;;;;x
stability_0;Very Low Stability;Stabilité très faible;;;;;;;;;;;;x
stability_0_desc;The realm is greatly destabilized. Squabbles between governors may turn into all-out-war, and ambitious governors may turn their attentions towards their weak ruler (which would be you).;Le domaine est fortement déstabilisé. Les querelles entre les gouverneurs peuvent se transformer en va-en-guerre, et les gouverneurs ambitieux peuvent tourner leur attention vers leur faible souverain (c'est à dire vous).;;;;;;;;;;;;x
aristocracy_plutocracy;Bureaucracy;Bureaucratie;;;;;;;;;;;;x
aristocracy_plutocracy_desc;Our Bureaucracy can either be aristocratic, relying more in soldiers and military commanders, or plutocratic, relying instead in proper administrators.;Notre bureaucratie peut être soit aristocratique, comptant plus de soldats et de commandants militaires, soit ploutocratique, comptant plutôt sur les administrateurs appropriés.;;;;;;;;;;;;x
aristocracy_plutocracy_0;Plutocratic;Ploutocratique;;;;;;;;;;;;x
aristocracy_plutocracy_0_desc;The governors of our territories are expected to provide even more taxes rather than soldiers.;Les gouverneurs de nos territoires devraient fournir encore plus d'impôts plutôt que des soldats.;;;;;;;;;;;;x
aristocracy_plutocracy_1;Slightly Plutocratic;Légèrement ploutocratique;;;;;;;;;;;;x
aristocracy_plutocracy_1_desc;The governors of our territories are expected to provide taxes rather than soldiers.;Les gouverneurs de nos territoires sont censés fournir des impôts plutôt que des soldats.;;;;;;;;;;;;x
aristocracy_plutocracy_2;Mixed;Mixe;;;;;;;;;;;;x
aristocracy_plutocracy_2_desc;The governors of our territories are expected to provide taxes and soldiers in equal amounts.;Les gouverneurs de nos territoires sont censés fournir des taxes et des soldats en quantités égales.;;;;;;;;;;;;x
aristocracy_plutocracy_3;Slightly Aristocratic;Aristocratique;;;;;;;;;;;;x
aristocracy_plutocracy_3_desc;The governors of our territories are expected to provide soldiers rather than taxes.;Les gouverneurs de nos territoires sont censés fournir des soldats plutôt que les taxes.;;;;;;;;;;;;x
aristocracy_plutocracy_4;Aristocratic;Aristocratique;;;;;;;;;;;;x
aristocracy_plutocracy_4_desc;The governors of our territories are expected to provide even more soldiers rather than taxes.;Les gouverneurs de nos territoires doivent fournir encore plus de soldats plutôt que de taxes.;;;;;;;;;;;;x
#### Minor Titles;;;;;;;;;;;;;;x
title_il_caesar;Caesar;César;;;;;;;;;;;;x
title_il_caesar_desc;Caesar was a title usually bestowed upon a designated heir and then retained upon ascension.;César était un titre habituellement accordé à un héritier désigné, puis conservé à l'ascension;;;;;;;;;;;;x
title_il_proconsul;Proconsul;Proconsul;;;;;;;;;;;;x
title_il_proconsul_desc;Proconsul was a title bestowed upon provincial governors such as Vicars.;Proconsul était un titre accordé à des gouverneurs provinciaux tels que les vicaires.;;;;;;;;;;;;x
title_il_adiutor;Adiutor;;;;;;;;;;;;;x
title_il_adiutor_desc;Adiutor was a title denoting a senior court adjutant or assistant.;;;;;;;;;;;;;x
title_il_subadiuvae;Subadiuvae;;;;;;;;;;;;;x
title_il_subadiuvae_desc;Subadiuvae was a title denoting lesser court adjutants or assistants;;;;;;;;;;;;;x
title_il_commentariensis;Commentariensis;Commentariensis;;;;;;;;;;;;x
title_il_commentariensis_desc;The Commentariensis was the keeper of the Commentary, or of the official diary.;Le Commentariensis était le gardien du commentaire ou du journal officiel.;;;;;;;;;;;;x
title_il_ab_actis;Ab actis;Ab Actis;;;;;;;;;;;;x
title_il_ab_actis_desc;The Ab actis, literally "Acts Keeper", was the court archivist.;Le Ab Actis, littéralement «Gardien des actes», était l'archiviste de la cour.;;;;;;;;;;;;x
title_il_cura_epistolarum;Cura Epistolarum;Cura Epistolarum;;;;;;;;;;;;x
title_il_cura_epistolarum_desc;The Cura Epistolarum was the curator of correspondence in the late Roman Empire.;Le Cura Epistolarum était le conservateur de la correspondance dans la fin de l'Empire romain.;;;;;;;;;;;;x
title_il_comes_dispositonum;Comes Dispositonum;Comes Dispositonum;;;;;;;;;;;;x
title_il_comes_dispositonum_desc;The major departments of the Emperor's court and household had a chief that was styled "Comes", with an officium (staff) quite similar to that of a governor. The Comes Dispositonum was responsible for organizing the imperial calendar and preparing the correspondence for distribution to the proper offices for transcription.;Les principaux ministères de la cour et la maison de l'Empereur avaient un chef qui s'appelait "Comes", avec un officium (personnel) tout à fait semblable à celle d'un gouverneur. Le Comes Dispositonum était responsable de l'organisation du calendrier impérial et de la préparation de la correspondance pour la distribution dans les bureaux appropriés pour la transcription.;;;;;;;;;;;;x
title_il_comes_domesticorum;Comes Domesticorum;Comes Domesticorum;;;;;;;;;;;;x
title_il_comes_domesticorum_desc;The major departments of the Emperor's court and household had a chief that was styled "Comes", with an officium (staff) quite similar to that of a governor. The Comes Domesticorum was the head of the Domestici, a company of bodyguards stationed in the imperial palace with the task of protecting the emperor.;Les principaux ministères de la cour et la maison de l'Empereur avaient un chef qui a été appelait "Comes", avec un officium (personnel) tout à fait semblable à celle d'un gouverneur. Le Comes domesticorum était le chef de la Domestici, une compagnie de gardes du corps stationnée dans le palais impérial avec la tâche de protéger l'empereur.;;;;;;;;;;;;x
title_il_comes_rerum_privatarum;Comes Rerum Privatarum;Comes Rerum Privatarum;;;;;;;;;;;;x
