#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
###### Religion names, descriptions, titles, gods etc.;;;;;;;;;;;;x
###### Misc;;;;;;;;;;;;x
HIGH_PATRIARCH;High Patriarch;;;;;;;;;;;x
GOD_MASTIMAN;Mastiman;;;;;;;;;;;x
GOD_AMUN;Amun;;;;;;;;;;;x
GOD_GURZIL;Gurzil;;;;;;;;;;;x
###### Misc Catholic;;;;;;;;;;;;x
paulican;Paulican;;;;;;;;;;;x
paulican_DESC;The Paulicians were a Christian Adoptionist sect, also accused by medieval sources of being Gnostic and quasi Manichaean Christian. They flourished between 650 and 872 in Armenia and the Eastern Themes of the Byzantine Empire. According to medieval Byzantine sources, the group's name was derived from the 3rd century Bishop of Antioch, Paul of Samosata.;;;;;;;;;;;x
aquileian;Aquileian;;;;;;;;;;;x
aquileian_DESC;The Holy See of Aquilea, together with other northern Italian bishops split from the church in Rome in 553 from the disagreement regarding the 2nd Council of Constantinople, attempting to reconcile western and middle-eastern Christian views on the nature of Christ. They proclaimed a Patriarch in Aquilea, thus beginning what would be known as the "Schism of the Three Chapters". .;;;;;;;;;;;x
d_aquileia_church;Aquileian Patriarchate;;;;;;;;;;;x
d_aquileia_church_adj;Aquileian;;;;;;;;;;;x
total_depravity;Total Depravity;;;;;;;;;;;x
total_depravity_DESC;Total depravity is a theological doctrine derived from the Augustinian concept of original sin. It is the teaching that, as a consequence of the Fall of Man, every person born into the world is enslaved to the service of sin and, apart from the efficacious or prevenient grace of God, is utterly unable to choose to follow God, refrain from evil, or accept the gift of salvation as it is offered.;;;;;;;;;;;x
eutychian;Eutychian;;;;;;;;;;;x
eutychian_DESC;A heresy espoused by the Presbyter Eutyches in Contantinple, in reaction to the Nestorian controversy. He claimed that Christ was a fusion of human and divine elements.;;;;;;;;;;;x
binitarian;Binitarian;;;;;;;;;;;x
binitarian_DESC;Binitarianism is a Christian theology of duality, two personae, two individuals, or two aspects in one Godhead (or God). Classically, binitarianism is understood as a form of monotheism — that is, that God is an absolutely single being, and yet with binitarianism there is a "twoness" in God. The other common forms of monotheism are "unitarianism", a belief in a single God with one aspect, and "trinitarianism", a belief in a single God with three aspects.;;;;;;;;;;;x
d_binitarian;Binitarian Patriarchy;;;;;;;;;;;x
pelagianism;Pelagian;;;;;;;;;;;x
pelagianism_DESC;Pelagianism is the belief that original sin did not taint human nature and that mortal will is still capable of choosing good or evil without special Divine aid. This is still sometimes called Limited Depravity. Thus, in contrast to 1 Corinthians 15:19-22, Adam's sin was "to set a bad example" for his progeny, but his actions did not have the other consequences imputed to original sin. Pelagianism views the role of Jesus as "setting a good example" for the rest of humanity as well as providing an atonement for our sins. In short, humanity has full control, and thus full responsibility, for obeying the Gospel in addition to full responsibility for every sin. According to Pelagian doctrine, because humans are sinners by choice, they are therefore criminals who need the atonement of Jesus Christ. Sinners are not victims, they are criminals who need pardon.;;;;;;;;;;;x
antinomianism;Antinomian;;;;;;;;;;;x
antinomianism_DESC;Any view which holds that Christians are freed by grace from obligations of any moral law. St Paul had to refute a charge of this type made by opponents because of his attitude to the Mosaic Law ;;;;;;;;;;;x
ebionites;Ebionite;;;;;;;;;;;x
