#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
####### Titles (excluding County/Barony Titles);;;;;;;;;;;x
BISHOP_CARTHAGE;Grand Bishop;Grand Évêque;;;;;;;;;;x
MARTYR_WAR;Great Martyr War;Grande Guerre de Martyrs;;;;;;;;;;x
BLOODBROTHER;Blood Brother;Frère de Sang;;;;;;;;;;x
LURREKO_AMA;Lurreko Ama;;;;;;;;;;;x
REGEM_OF;Regem of;Regem de;;;;;;;;;;x
REX;Rex;Rex;;;;;;;;;;x
REX_FOA;Your Tyrannical Majesty;Votre Majesté Tyrannique;;;;;;;;;;x
REGINA;Regina;Regina;;;;;;;;;;x
BACCINBAXABA;Baccinbaxaba;;;;;;;;;;;x
PREATORIAN_PREFECT;Praetorian Prefect;Préfet du prétoire;;;;;;;;;;x
PREATORIAN_PREFECTURE_OF;Praetorian Prefecture of;Préfecture du prétoire de;;;;;;;;;;x
PRINCEPS_SENATUS;Princeps Senatus;Princeps Senatus;;;;;;;;;;x
TRIBUNUS_PALATINAE;Tribunus Palatinae;Tribunus Palatinae;;;;;;;;;;x
PRAEFECTUS_URBI;Praefectus Urbi;Praefectus Urbi;;;;;;;;;;x
EMPEROR;Emperor;Empereur;;;;;;;;;;x
EMPRESS;Empress;Impératrice;;;;;;;;;;x
COMES_ORIENTIS;Comes Orientis;Comes Orientis;;;;;;;;;;x
COMES_ORIENTIS_EMPEROR;Gloriosissimus Orientis;;;;;;;;;;x
COMES_ORIENTIS_EMPEROR_FEMALE;Imperatrix Orientis;;;;;;;;;;x
COMES_ORIENTIS_EMPEROR_FOA;Gloriosa Ductor;Gloriosa Ductor;;;;;;;;;;x
CONSUL;Consul;Consul;;;;;;;;;;x
CONSUL_FOA;Gloriosa Consulem;Gloriosa Consulem;;;;;;;;;;x
PROCONSUL_FOA;Gloriosa Consulem;Gloriosa Consulem;;;;;;;;;;x
KOMES_EXKOUBITON;Komes Exkoubiton;Komes Exkoubiton;;;;;;;;;;x
BISHOPRIC_OF;Bishopric of;Évêché de;;;;;;;;;;x
SENAPATI;Senapati;Senapati;;;;;;;;;;x
EXARCH;Exarch;Exarque;;;;;;;;;;x
EXARCHATE_OF;Exarchate of;Exarchat de;;;;;;;;;;x
REBEL_LEADER;Rebel Leader;Meneur de rebelles;;;;;;;;;;x
ASSYRIAN_KING;Sarrum;Sarrum;;;;;;;;;;x
ASSYRIAN_QUEEN;Sarrumi;Sarrumi;;;;;;;;;;x
king_assyrian;Sarrum;Sarrum;;;;;;;;;;x
king_assyrian_female;Sarrumi;Sarrum;;;;;;;;;;x
DIADOCHI;Diadokhoi;Diadoque;;;;;;;;;;x
HIGH_KING;High King;Grand Roi;;;;;;;;;;x
HIGH_QUEEN;High Queen;Grande Reine;;;;;;;;;;x
RUS_KHAGANATE;Slavic Empire;Empire slave;;;;;;;;;;x
RUS_KHAGANATE_adj;Slavic;Slave;;;;;;;;;;x
BYZANTINE_EGYPT;Byzantine Egypt;Égypte byzantine;;;;;;;;;;x
BYZANTINE_EGYPT_adj;Byzantine Egyptian;égyptien byzantin;;;;;;;;;;x
BALTIJOS;Baltijos;;;;;;;;;;;x
BALTIJOS_adj;Baltijos;;;;;;;;;;;x
ARMENIAN_REVOLT;Armenian Nobility;;;;;;;;;;;;;x
LEONTIUS_EMPEROR;"Emperor";"Empereur";;;;;;;;;;;;x
THE_EMPIRE_IN_ANTIOCH;Empire-in-Antioch;Empire d'Antioche;;;;;;;;;;;;x
KANARANG;Kanarang;;;;;;;;;;;;;x
ESPOOHRAN;Espoohran;;;;;;;;;;;;;x
NAXVADAR;Naxvadar;;;;;;;;;;;;;x
#COMES;Comes;;;;;;;;;;;;;x
DOGE;Doge;;;;;;;;;;;;;x
ROSH_GALUT;Rosh Galut;;;;;;;;;;;;;x
