#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
###### Mercenaries, Cassus Belli, retinue, tactics...;;;;;;;;;;;;x
###### Mercenaries;;;;;;;;;;;;x
d_sunni_cuman_company;Bolghar Company;Compagnie Khazar;Khazar Kompanie;;Compañía Esteparia;;;;;;;x
d_sunni_cuman_company_adj;Bolghar;Khazare;Chasaren;;Mercenaria;;;;;;;x
d_shiite_cuman_company;Steppe Company;Compagnie des Steppes;Steppenkompanie;;Compañía Esteparia;;;;;;;x
d_shiite_cuman_company_adj;Steppe;Steppe;Steppe;;Mercenaria;;;;;;;x
d_sunni_turkic_company;Avar Company;Compagnie Turcmène;Turkmenen-Kompanie;;Compañía Tucomana;;;;;;;x
d_sunni_turkic_company_adj;Avar;Turcmène;Turkmenisch;;Mercenaria;;;;;;;x
d_shiite_turkic_company;Dizeng Riders;Compagnie Turkomane;Turkomanische Kompanie;;Compañía Tucomana;;;;;;;x
d_shiite_turkic_company_adj;Dizeng;Turkomane;Turkomanisch;;Mercenaria;;;;;;;x
d_sunni_berber_company;Knights of Valentinian;Compagnie Berbère;Berber-Kompanie;;Compañía Bereber;;;;;;;x
d_sunni_berber_company_adj;Kinghtly;Berbère;Berber;;Mercenaria;;;;;;;x
d_shiite_berber_company;The Aserdas;Compagnie Touareg;Tuareg-Kompanie;;Compañía Tuareg;;;;;;;x
d_shiite_berber_company_adj;Aserdi;Touareg;Berber-;;Mercenaria;;;;;;;x
d_sunni_bedouin_company;Arab Company;Compagnie Arabe;Arabische Kompanie;;Compañía Árabe;;;;;;;x
d_sunni_bedouin_company_adj;Arab;Arabe;Arabisch;;Mercenaria;;;;;;;x
d_shiite_bedouin_company;Desert Company;Compagnie Bédouine;Beduinen-Kompanie;;Compañía Beduina;;;;;;;x
d_shiite_bedouin_company_adj;Desert;Bédouine;Beduinen;;Mercenaria;;;;;;;x
d_teutonic_order;Teutonic Order;Ordre Teutonique;Deutscher Orden;;Orden Teutónica;;;;;;;x
d_teutonic_order_adj;Teutonic;Teutonique;Deutsch;;Germánica;;;;;;;x
d_knights_templar;Knights Templar;Ordre du Temple;Tempelritter;;Orden del Temple;;;;;;;x
d_knights_templar_adj;Templar;Templière;Tempel;;Templaria;;;;;;;x
d_knights_hospitaler;Knights Hospitaller;Ordre de l'Hospital;Malteserorden;;Orden Hospitalaria;;;;;;;x
d_knights_hospitaler_adj;Hospitaller;Hospitalière;Malteser;;Hospitalaria;;;;;;;x
d_varangian_guard;Varangian Guard;Garde Varègue;Varanger Garde;;Guardia Varega;;;;;;;x
d_varangian_guard_adj;Varangian;Varègues;Varanger;;Varega;;;;;;;x
d_cuman_company;Bolghar Band;Compagnie Coumane;Cuman-Kompanie;;Compañía Cumana;;;;;;;x
d_cuman_company_adj;Bolghar;Coumane;Cuman;;Mercenaria;;;;;;;x
d_rus_company;Slav Company;Compagnie Rus;Rus-Kompanie;;Compañía Rusa;;;;;;;x
d_rus_company_adj;Slav;Russes;Rus;;Mercenaria;;;;;;;x
d_pecheneg_company;Dneiper Company;Compagnie Petchénègue;Pecheneg-Kompanie;;Compañía Pechenega;;;;;;;x
d_pecheneg_company_adj;Dneiper;Petchénègue;Pecheneg;;Mercenaria;;;;;;;x
d_bulgarian_company;Gothic Band;Compagnie Bulgare;Bulgarische Kompanie;;Compañía Búlgara;;;;;;;x
d_bulgarian_company_adj;Gothic;Bulgare;Bulgaren;;Mercenaria;;;;;;;x
d_turkic_company;Magyar Company;Compagnie Turque;Türkische Kompanie;;Compañía Turca;;;;;;;x
d_turkic_company_adj;Magyar;Turc;Türkisch;;Mercenaria;;;;;;;x
d_breton_company;Armorican Knights;Compagnie Bretonne;Bretonische Kompanie;;Compañía Bretona;;;;;;;x
d_breton_company_adj;Armorican;Bretonne;Bretonisch;;Mercenaria;;;;;;;x
d_swiss_company;Galllic Company;Compagnie Suisse;Schweizer Kompanie;;Guardia Suiza;;;;;;;x
d_swiss_company_adj;Gallic;Suisse;Schweizer ;;Mercenaria;;;;;;;x
d_navarrese_company;Basque Company;Compagnie Navarraise;Navarreser Kompanie;;Compañía Navarra;;;;;;;x
d_navarrese_company_adj;Basque;Navarraise;Navarreser Kompanie;;Mercenaria;;;;;;;x
d_catalan_company;Hispanic Company;Compagnie Catalane;Katalanische Kompanie;;Compañía Almogávar;;;;;;;x
d_catalan_company_adj;Hispanic;Catalane;Katalanisch;;Almogávar;;;;;;;x
d_rose_company;Company of Arius;Compagnie de la Rose;Kompanie der Rose;;Compañía de la Rosa;;;;;;;x
d_rose_company_adj;Arian;Rose;Rose;;Mercenaria;;;;;;;x
d_little_hat_company;Company of the Car;Compagnie du Chapeau;Kompanie des Hutes;;Compañía del Sombrerito;;;;;;;x
d_little_hat_company_adj;Feline;Chapeau;Hat;;Mercenaria;;;;;;;x
d_star_company;Company of the Star;Compagnie de l’Étoile;Kompanie des Sterns;;Compañía de la Estrella;;;;;;;x
d_star_company_adj;Star;Étoile;Stern;;Mercenaria;;;;;;;x
d_company_of_st_george;Company of St. George;Compagnie de Saint-Georges;Kompanie von St. Georg;;Compañía de San Jorge;;;;;;;x
d_company_of_st_george_adj;St. Georgian;Saint-georgien;St. Georger;;Mercenaria;;;;;;;x
d_great_company;Soldiers of Swarticke;Grande Compagnie;Große Kompanie;;La Gran Compañía;;;;;;;x
d_great_company_adj;Mercenary;Mercenaire;Söldner;;Mercenaria;;;;;;;x
d_white_company;Swiþlichæleþ;Compagnie Blanche;Weiße Kompanie;;Compañía Blanca;;;;;;;x
d_white_company_adj;Mercenary;Mercenaire;Söldner;;Mercenaria;;;;;;;x
d_victual_brothers;The Wayfarers;Frères Vitaliens;Vitalienbrüder;;Hermandad Vitaliana;;;;;;;x
d_victual_brothers_adj;Wayfarer;Vitalienne;Vitalien;;Mercenaria;;;;;;;x
d_koln;Köln;Cologne;Köln;;Colonia;;;;;;;x
d_koln_adj;Colognian;Colognaise;Kölner;;Coloniense;;;;;;;x
d_lombard_band;Lombard Band;Bande Lombarde;Lombardei-Trupp;;Banda Lombarda;;;;;;;x
d_lombard_band_adj;Lombard;Lombarde;Lombardisch;;Mercenaria;;;;;;;x
d_swiss_band;Swiss Band;Bande Suisse;Schweizer Trupp;;Banda Suiza;;;;;;;x
d_swiss_band_adj;Swiss;Suisse;Schweizer ;;Mercenaria;;;;;;;x
d_breton_band;Breton Band;Bande Bretonne;Bretonischer Trupp;;Banda Bretona;;;;;;;x
d_breton_band_adj;Breton;Bretonne;Bretonisch;;Mercenaria;;;;;;;x
d_catalan_band;Hispanic Legion;Bande Catalane;Katalanischer Trupp;;Banda Catalana;;;;;;;x
d_catalan_band_adj;Hispanic;Catalane;Katalanisch;;Mercenaria;;;;;;;x
d_saxon_band;The Brothers Witta and Wod;Bande Saxonne;Sächsischer Trupp;;Banda Sajona;;;;;;;x
d_saxon_band_adj;Brotherly;Saxonne;Sächsische;;Mercenaria;;;;;;;x
d_cuman_band;Hunnic Band;Bande Coumane;Cuman-Trupp;;Banda Cumana;;;;;;;x
d_cuman_band_adj;Hunnic;Coumane;Cuman;;Mercenaria;;;;;;;x
d_rus_band;Rivermen;Bande Rus;Rus-Trupp;;Banda Rusa;;;;;;;x
d_rus_band_adj;Riverman;Russe;Rus;;Mercenaria;;;;;;;x
d_pecheneg_band;Dacian Band;Bande Petchénègue;Pecheneg-Trupp;;Banda Pechenega;;;;;;;x
d_pecheneg_band_adj;Dacian;Petchénègue;Pecheneg;;Mercenaria;;;;;;;x
d_bulgarian_band;Inuharma-hairtiaþa;Bande Bulgare;Bulgarischer Trupp;;Banda Búlgara;;;;;;;x
d_bulgarian_band_adj;Inuharman;Bulgare;Bulgarisch;;Mercenaria;;;;;;;x
d_turkic_band;The Auks;Bande Turque;Türkischer Trupp;;Banda Turca;;;;;;;x
d_turkic_band_adj;Tocharian;Turque;Türkisch;;Mercenaria;;;;;;;x
d_scottish_band;Pict Band;bande écossaise;Schottischer Trupp;;Banda Escocesa;;;;;;;x
d_scottish_band_adj;Pictish;Écossais;Schottisch;;Escocesa;;;;;;;x
###### Tactics;;;;;;;;;;;;x
woad_raid_tactic;Woad Raid;;;;;;;;;;;x
bait_and_harass;Bait and Swarm;;;;;;;;;;;x
saxon_charge_tactic;Mægenellenáflygennes;;;;;;;;;;;x
###### Retinue;;;;;;;;;;;;x
RETTYPE_CUL_PICTISH;Woad Raider Retinue;;;;;;;;;;;x
RETTYPE_CUL_THUR;Schnurper Band;;;;;;;;;;;x
RETTYPE_CUL_FRANK;Leudes;;;;;;;;;;;x
RETTYPE_CUL_LOMB;Vir Devotii;;;;;;;;;;;x
RETTYPE_CUL_ALAM;Armati;;;;;;;;;;;x
RETTYPE_CUL_GOTH;Hundafaþ;;;;;;;;;;;x
RETTYPE_CUL_BURG;Raider;;;;;;;;;;;x
RETTYPE_CUL_SUEB;Swabaharjaz;;;;;;;;;;;x
RETTYPE_CUL_AFR;Equitum Africanus;;;;;;;;;;;x
RETTYPE_CUL_GAL;Cohortis Gallorum;;;;;;;;;;;x
RETTYPE_CUL_BRIT;Marchogion;;;;;;;;;;;x
RETTYPE_CUL_ARM;Isbeilor;;;;;;;;;;;x
RETTYPE_CUL_GALA;Hurrfiwor;;;;;;;;;;;x
###### CB;;;;;;;;;;;;x
byzantine_invasion_desc;§Y$CLAIMANT$§! can fund a major invasion of the land of §Y$TITLE$§!. If successful, the titles to all currently occupied holdings will be seized.;;;;;;;;;;;x
byzantine_invasion;Campaign for §Y$TITLE$§!;;;;;;;;;;;x
