zusk_islam_event.2.desc;The angel Gabriel has given me a great vision! I now see the true ways!;;;;;;;;;;;;;x
the_prophet;The Prophet;;;;;;;;;;;;;x
the_prophet_desc;The last Prophet of God in the Islam Faith;;;;;;;;;;;;;x
zusk_islam_event.4.desc;My faith, the faith of Islam is gaining many followers. I should speak to the ruler of this land so that I may find a home for my people.;;;;;;;;;;;;;x
zusk_islam_event.5.desc;The Prophet of Islam would speak to you, seeking to find a land for his "Muslims". You could grant him a plot of land to live in, try to arrest the heretic or even convert to his faith!;;;;;;;;;;;;;x
ZUSK5ISLAMOP1;Teach me of this "Islam";;;;;;;;;;;;;x
ZUSK5ISLAMOP2;Grant him a plot of land;;;;;;;;;;;;;x
ZUSK5ISLAMOP3;Arrest the fool! I will have none of this.;;;;;;;;;;;;;x
zusk_islam_event.6.desc;Muslims from all across Arabia are coming under our banner, praise god!;;;;;;;;;;;;;x
zusk_islam_event.7.desc;We have forged an empire of Islam! It was a hard battle and many were lost. Many new Muslim converts from our new rich lands have joined our cause to replenish the ranks! Praise god!;;;;;;;;;;;;;x
zusk_islam_event.8.desc;The issue of inheritance is becoming a larger issue then we expected. While most of the realm seems to agree with our decision there are a a few of us that believe otherwise.;;;;;;;;;;;;;x
